"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
BMI	20-49	Men	Colorectum	Rate	0	15	2	13	0.019912	0.001532	Uncorrelated	0	NA	NA	NA	-47.532365	4.705824	-10.100752	0.000000	0.024737	0.002339	10.576489	0.000000	NA	NA	NA	NA	22.144782	-0.011006	0.000005	1.000000	-0.999998	1.000000
BMI	20-49	Men	Colorectum	attributable_rate	1	15	4	11	0.017244	0.001568	Uncorrelated	0	NA	NA	NA	-94.735133	12.796098	-7.403439	0.000023	0.047288	0.006371	7.422356	0.000023	NA	NA	NA	NA	163.740120	0.000000	396.112796	1.000000	0.000000	1.000000
BMI	20-49	Men	Colorectum	attributable_rate	1	15	4	11	0.017244	0.001568	Uncorrelated	1	2013	2010	2017	-34.700217	19.902583	-1.743503	0.111850	0.017464	0.009870	1.769426	0.107252	-0.029824	0.011747	-2.538723	0.029428	0.000041	0.000000	0.000097	1.000000	0.000000	1.000000
BMI	20-49	Men	Colorectum	non_attributable_rate	0	15	2	13	0.019858	0.001528	Uncorrelated	0	NA	NA	NA	-43.910209	4.699427	-9.343736	0.000000	0.022854	0.002336	9.784549	0.000000	NA	NA	NA	NA	22.084618	-0.010976	0.000005	1.000000	-0.999998	1.000000
BMI	20-49	Men	Gallbladder	Rate	0	15	2	13	0.616236	0.047403	Uncorrelated	0	NA	NA	NA	-55.065904	26.178916	-2.103445	0.055465	0.026672	0.013011	2.049931	0.061104	NA	NA	NA	NA	685.335663	-0.340623	0.000169	1.000000	-0.999998	1.000000
BMI	20-49	Men	Gallbladder	attributable_rate	0	15	2	13	0.779615	0.059970	Uncorrelated	0	NA	NA	NA	-108.941235	29.445471	-3.699762	0.002671	0.052285	0.014635	3.572605	0.003406	NA	NA	NA	NA	867.035741	-0.430930	0.000214	1.000000	-0.999998	1.000000
BMI	20-49	Men	Gallbladder	non_attributable_rate	0	15	2	13	0.604799	0.046523	Uncorrelated	0	NA	NA	NA	-49.944602	25.934862	-1.925771	0.076287	0.024076	0.012890	1.867828	0.084490	NA	NA	NA	NA	672.617087	-0.334301	0.000166	1.000000	-0.999998	1.000000
BMI	20-49	Men	Kidney	Rate	1	15	4	11	0.013627	0.001239	Uncorrelated	0	NA	NA	NA	-115.344752	6.366191	-18.118330	0.000000	0.058090	0.003167	18.340860	0.000000	NA	NA	NA	NA	40.528388	0.000000	2246.835212	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	Rate	1	15	4	11	0.013627	0.001239	Uncorrelated	1	2016	2013	2017	43.765962	47.400793	0.923317	0.377582	-0.020834	0.023489	-0.886959	0.395931	-0.078924	0.023702	-3.329905	0.007619	0.000010	0.000000	0.000552	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	attributable_rate	1	15	4	11	0.013828	0.001257	Uncorrelated	0	NA	NA	NA	-168.940729	9.267630	-18.229119	0.000000	0.083889	0.004613	18.185116	0.000000	NA	NA	NA	NA	85.888962	0.000000	519.445543	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	attributable_rate	1	15	4	11	0.013828	0.001257	Uncorrelated	1	2014	2013	2016	-9.144237	22.791348	-0.401215	0.696701	0.004546	0.011300	0.402318	0.695915	-0.079343	0.012205	-6.500853	0.000069	0.000021	0.000000	0.000128	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	non_attributable_rate	1	15	4	11	0.013523	0.001229	Uncorrelated	0	NA	NA	NA	-108.427891	6.442415	-16.830317	0.000000	0.054554	0.003205	17.020734	0.000000	NA	NA	NA	NA	41.504715	0.000000	2300.961363	1.000000	0.000000	1.000000
BMI	20-49	Men	Kidney	non_attributable_rate	1	15	4	11	0.013523	0.001229	Uncorrelated	1	2016	2013	2017	36.536763	47.968337	0.761685	0.463833	-0.017353	0.023770	-0.730013	0.482133	-0.071907	0.023985	-2.997957	0.013390	0.000010	0.000000	0.000565	1.000000	0.000000	1.000000
BMI	20-49	Men	Liver	Rate	0	15	2	13	0.252342	0.019411	Uncorrelated	0	NA	NA	NA	-20.307935	16.752251	-1.212251	0.246988	0.010198	0.008326	1.224864	0.242358	NA	NA	NA	NA	280.637927	-0.139481	0.000069	1.000000	-0.999998	1.000000
BMI	20-49	Men	Liver	attributable_rate	1	15	4	11	0.178096	0.016191	Uncorrelated	0	NA	NA	NA	-251.017814	115.737804	-2.168849	0.055277	0.124269	0.057681	2.154398	0.056643	NA	NA	NA	NA	13395.239174	0.000000	818.320614	1.000000	0.000000	1.000000
BMI	20-49	Men	Liver	attributable_rate	1	15	4	11	0.178096	0.016191	Uncorrelated	1	2009	2007	2017	1.816600	28.606304	0.063503	0.950617	-0.001582	0.014200	-0.111416	0.913491	-0.125851	0.059404	-2.118572	0.060168	0.003327	0.000000	0.000202	1.000000	0.000000	1.000000
BMI	20-49	Men	Liver	non_attributable_rate	0	15	2	13	0.237417	0.018263	Uncorrelated	0	NA	NA	NA	-13.591203	16.249266	-0.836419	0.418029	0.006755	0.008076	0.836421	0.418028	NA	NA	NA	NA	264.038638	-0.131231	0.000065	1.000000	-0.999998	1.000000
BMI	20-49	Men	MultipleMyeloma	Rate	0	15	2	13	0.223596	0.017200	Uncorrelated	0	NA	NA	NA	-77.392623	15.769234	-4.907824	0.000286	0.038641	0.007838	4.930215	0.000275	NA	NA	NA	NA	248.668735	-0.123592	0.000061	1.000000	-0.999998	1.000000
BMI	20-49	Men	MultipleMyeloma	attributable_rate	1	15	4	11	0.141828	0.012893	Uncorrelated	0	NA	NA	NA	-167.799946	29.826323	-5.625901	0.000220	0.082400	0.014850	5.548831	0.000244	NA	NA	NA	NA	889.609556	0.000000	2152.103768	1.000000	0.000000	1.000000
BMI	20-49	Men	MultipleMyeloma	attributable_rate	1	15	4	11	0.141828	0.012893	Uncorrelated	1	2013	2010	2017	1.125557	46.390772	0.024263	0.981121	-0.001517	0.023006	-0.065937	0.948727	-0.083917	0.027382	-3.064675	0.011949	0.000221	0.000000	0.000529	1.000000	0.000000	1.000000
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	0	15	2	13	0.221336	0.017026	Uncorrelated	0	NA	NA	NA	-75.647748	15.689333	-4.821604	0.000334	0.037730	0.007798	4.838531	0.000324	NA	NA	NA	NA	246.155170	-0.122343	0.000061	1.000000	-0.999998	1.000000
