"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
BMI	20-49	Men	Colorectum	Rate	1	0	15	2	13	       0.0199120	      -6.2634097	      -6.2634097	       0.0000000	      -6.2634097
BMI	20-49	Men	Colorectum	Rate	2	1	15	4	11	       0.0178186	      -6.0134176	      -5.8328809	       0.1051340	      -5.9944371
BMI	20-49	Men	Colorectum	Rate	3	2	15	6	9	       0.0133455	      -5.9414026	      -5.5803292	       0.4069035	      -5.7944806
BMI	20-49	Men	Colorectum	attributable_rate	1	0	15	2	13	       0.0321863	      -5.7831925	      -5.7831925	       0.0000000	      -5.7831925
BMI	20-49	Men	Colorectum	attributable_rate	2	1	15	4	11	       0.0172435	      -6.0462210	      -5.8656843	       0.4642576	      -5.9624054
BMI	20-49	Men	Colorectum	attributable_rate	3	2	15	6	9	       0.0112498	      -6.1122363	      -5.7511629	       0.5511796	      -5.9132200
BMI	20-49	Men	Colorectum	non_attributable_rate	1	0	15	2	13	       0.0198579	      -6.2661302	      -6.2661302	       0.0000000	      -6.2661302
BMI	20-49	Men	Colorectum	non_attributable_rate	2	1	15	4	11	       0.0168258	      -6.0707474	      -5.8902108	       0.1526916	      -6.0431810
BMI	20-49	Men	Colorectum	non_attributable_rate	3	2	15	6	9	       0.0140061	      -5.8930914	      -5.5320180	       0.3861298	      -5.7536702
BMI	20-49	Men	Gallbladder	Rate	1	0	15	2	13	       0.6162356	      -2.8311028	      -2.8311028	       0.0000000	      -2.8311028
BMI	20-49	Men	Gallbladder	Rate	2	1	15	4	11	       0.5479097	      -2.5875483	      -2.4070116	       0.1108762	      -2.5675310
BMI	20-49	Men	Gallbladder	Rate	3	2	15	6	9	       0.5131458	      -2.2920254	      -1.9309521	       0.2276379	      -2.2098314
BMI	20-49	Men	Gallbladder	attributable_rate	1	0	15	2	13	       0.7796154	      -2.5959314	      -2.5959314	       0.0000000	      -2.5959314
BMI	20-49	Men	Gallbladder	attributable_rate	2	1	15	4	11	       0.5822350	      -2.5267846	      -2.3462479	       0.2531766	      -2.4810769
