"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
BMI	50+	Women	Breast	attributable_rate	1	Full Range	2005	2019	1.0096	0.6425	1.3781	1	5.4072	0.000000
BMI	50+	Women	Breast	non_attributable_rate	0	Full Range	2005	2019	0.3260	0.1029	0.5495	1	3.1590	0.007540
BMI	50+	Women	Breast	rate	0	Full Range	2005	2019	0.3862	0.1658	0.6071	1	3.7881	0.002258
BMI	20-49	Men	Colorectum	attributable_rate	0	Full Range	2005	2019	3.8653	3.2911	4.4427	1	14.7793	0.000000
BMI	50+	Men	Colorectum	attributable_rate	2	Full Range	2005	2019	0.7834	0.3766	1.1918	1	3.7817	0.000156
BMI	20-49	Women	Colorectum	attributable_rate	2	Full Range	2005	2019	4.2795	1.7927	6.8271	1	3.4028	0.000667
BMI	50+	Women	Colorectum	attributable_rate	1	Full Range	2005	2019	0.7382	0.2068	1.2724	1	2.7257	0.006417
BMI	20-49	Men	Colorectum	non_attributable_rate	0	Full Range	2005	2019	2.4794	1.9417	3.0200	1	10.0568	0.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	Full Range	2005	2019	-0.7845	-1.6379	0.0763	0	-1.7868	0.073966
BMI	20-49	Women	Colorectum	non_attributable_rate	0	Full Range	2005	2019	3.1789	2.6053	3.7556	1	12.1281	0.000000
BMI	50+	Women	Colorectum	non_attributable_rate	2	Full Range	2005	2019	-0.0272	-0.6276	0.5769	0	-0.0884	0.929529
BMI	20-49	Men	Colorectum	rate	0	Full Range	2005	2019	2.6867	2.1612	3.2150	1	11.1621	0.000000
BMI	50+	Men	Colorectum	rate	2	Full Range	2005	2019	-0.5075	-1.3160	0.3076	0	-1.2223	0.221607
BMI	20-49	Women	Colorectum	rate	0	Full Range	2005	2019	3.3923	2.8035	3.9844	1	12.6196	0.000000
BMI	50+	Women	Colorectum	rate	2	Full Range	2005	2019	0.1233	-0.5077	0.7582	0	0.3819	0.702512
BMI	20-49	Women	Endometrium	attributable_rate	0	Full Range	2005	2019	3.7971	3.0945	4.5045	1	11.8542	0.000000
BMI	50+	Women	Endometrium	attributable_rate	1	Full Range	2005	2019	2.1828	1.7444	2.6231	1	9.8438	0.000000
BMI	20-49	Women	Endometrium	non_attributable_rate	0	Full Range	2005	2019	1.7086	1.0252	2.3966	1	5.4290	0.000115
BMI	50+	Women	Endometrium	non_attributable_rate	1	Full Range	2005	2019	0.8006	0.3417	1.2616	1	3.4250	0.000615
BMI	20-49	Women	Endometrium	rate	0	Full Range	2005	2019	2.2901	1.6224	2.9622	1	7.4698	0.000005
BMI	50+	Women	Endometrium	rate	1	Full Range	2005	2019	1.2939	0.8727	1.7169	1	6.0465	0.000000
BMI	20-49	Men	Gallbladder	attributable_rate	0	Full Range	2005	2019	5.5689	3.0457	8.1539	1	4.8398	0.000323
BMI	50+	Men	Gallbladder	attributable_rate	0	Full Range	2005	2019	5.2724	4.2938	6.2601	1	11.8855	0.000000
BMI	20-49	Women	Gallbladder	attributable_rate	0	Full Range	2005	2019	4.3132	2.2751	6.3919	1	4.6234	0.000477
BMI	50+	Women	Gallbladder	attributable_rate	1	Full Range	2005	2019	4.0262	3.1115	4.9490	1	8.7598	0.000000
