"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
BMI	50+	Women	Breast	attributable_rate	1	0	2005	2014	1.4355	1.0494	1.8230	1	8.3285	0.000008
BMI	50+	Women	Breast	attributable_rate	1	1	2014	2019	0.2476	-0.6844	1.1883	0	0.5899	0.568315
BMI	50+	Women	Breast	non_attributable_rate	0	0	2005	2019	0.3260	0.1029	0.5495	1	3.1590	0.007540
BMI	50+	Women	Breast	rate	0	0	2005	2019	0.3862	0.1658	0.6071	1	3.7881	0.002258
BMI	20-49	Men	Colorectum	attributable_rate	0	0	2005	2019	3.8653	3.2911	4.4427	1	14.7793	0.000000
BMI	50+	Men	Colorectum	attributable_rate	2	0	2005	2011	2.6427	2.1834	3.1041	1	13.7527	0.000003
BMI	50+	Men	Colorectum	attributable_rate	2	1	2011	2015	-2.2677	-3.5557	-0.9625	1	-4.0885	0.004640
BMI	50+	Men	Colorectum	attributable_rate	2	2	2015	2019	1.1187	0.2738	1.9707	1	3.1352	0.016490
BMI	20-49	Women	Colorectum	attributable_rate	2	0	2005	2009	2.5070	-1.3209	6.4833	0	1.5384	0.167833
BMI	20-49	Women	Colorectum	attributable_rate	2	1	2009	2012	10.1488	-2.3409	24.2358	0	1.8992	0.099320
BMI	20-49	Women	Colorectum	attributable_rate	2	2	2012	2019	2.8637	1.2226	4.5314	1	4.1514	0.004288
BMI	50+	Women	Colorectum	attributable_rate	1	0	2005	2009	3.0264	1.1965	4.8894	1	3.7069	0.004062
BMI	50+	Women	Colorectum	attributable_rate	1	1	2009	2019	-0.1628	-0.6023	0.2787	0	-0.8227	0.429858
BMI	20-49	Men	Colorectum	non_attributable_rate	0	0	2005	2019	2.4794	1.9417	3.0200	1	10.0568	0.000000
BMI	50+	Men	Colorectum	non_attributable_rate	2	0	2005	2011	0.5604	-0.1754	1.3017	0	1.7993	0.114994
BMI	50+	Men	Colorectum	non_attributable_rate	2	1	2011	2014	-3.3014	-7.4128	0.9927	0	-1.8270	0.110425
BMI	50+	Men	Colorectum	non_attributable_rate	2	2	2014	2019	-0.8579	-1.8165	0.1100	0	-2.0971	0.074193
BMI	20-49	Women	Colorectum	non_attributable_rate	0	0	2005	2019	3.1789	2.6053	3.7556	1	12.1281	0.000000
BMI	50+	Women	Colorectum	non_attributable_rate	2	0	2005	2011	0.6885	0.0280	1.3534	1	2.4651	0.043143
BMI	50+	Women	Colorectum	non_attributable_rate	2	1	2011	2017	-1.3596	-2.2148	-0.4970	1	-3.7178	0.007477
BMI	50+	Women	Colorectum	non_attributable_rate	2	2	2017	2019	1.8755	-2.0151	5.9207	0	1.1284	0.296329
BMI	20-49	Men	Colorectum	rate	0	0	2005	2019	2.6867	2.1612	3.2150	1	11.1621	0.000000
