"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
BMI	50+	Women	Breast	attributable_rate	2005	26.12	26.07	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2006	26.32	26.45	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2007	26.60	26.83	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2008	27.86	27.21	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2009	27.56	27.60	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2010	28.09	28.00	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2011	28.07	28.40	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2012	28.28	28.81	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2013	29.25	29.22	NA	1.4355*	1	1
BMI	50+	Women	Breast	attributable_rate	2014	30.31	29.64	Joinpoint 1	NA	1	1
BMI	50+	Women	Breast	attributable_rate	2015	29.93	29.71	NA	0.2476	1	1
BMI	50+	Women	Breast	attributable_rate	2016	29.43	29.79	NA	0.2476	1	1
BMI	50+	Women	Breast	attributable_rate	2017	29.24	29.86	NA	0.2476	1	1
BMI	50+	Women	Breast	attributable_rate	2018	30.19	29.93	NA	0.2476	1	1
BMI	50+	Women	Breast	attributable_rate	2019	30.28	30.01	NA	0.2476	1	1
BMI	50+	Women	Breast	non_attributable_rate	2005	317.54	313.58	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2006	314.42	314.60	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2007	311.27	315.62	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2008	321.14	316.65	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2009	313.44	317.68	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2010	315.39	318.72	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2011	314.31	319.76	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2012	317.91	320.80	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2013	327.41	321.85	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2014	335.57	322.90	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2015	327.54	323.95	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2016	321.64	325.00	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2017	318.81	326.06	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2018	330.44	327.13	NA	0.3260*	0	0
BMI	50+	Women	Breast	non_attributable_rate	2019	326.29	328.19	NA	0.3260*	0	0
BMI	50+	Women	Breast	rate	2005	343.66	339.99	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2006	340.74	341.30	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2007	337.87	342.62	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2008	349.01	343.94	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2009	340.99	345.27	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2010	343.49	346.60	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2011	342.39	347.94	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2012	346.20	349.29	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2013	356.66	350.63	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2014	365.88	351.99	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2015	357.47	353.35	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2016	351.07	354.71	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2017	348.05	356.08	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2018	360.63	357.46	NA	0.3862*	0	0
BMI	50+	Women	Breast	rate	2019	356.57	358.84	NA	0.3862*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2005	1.15	1.14	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2006	1.21	1.18	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2007	1.14	1.23	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2008	1.24	1.27	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2009	1.33	1.32	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2010	1.30	1.38	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2011	1.48	1.43	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2012	1.60	1.48	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2013	1.60	1.54	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2014	1.66	1.60	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2015	1.63	1.66	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2016	1.79	1.73	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2017	1.73	1.79	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2018	1.78	1.86	NA	3.8653*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2019	1.93	1.93	NA	3.8653*	0	0
BMI	50+	Men	Colorectum	attributable_rate	2005	37.08	36.96	NA	2.6427*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2006	37.73	37.93	NA	2.6427*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2007	38.71	38.94	NA	2.6427*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2008	40.40	39.97	NA	2.6427*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2009	41.08	41.02	NA	2.6427*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2010	41.86	42.11	NA	2.6427*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2011	42.72	43.22	Joinpoint 1	NA	2	2
BMI	50+	Men	Colorectum	attributable_rate	2012	43.16	42.24	NA	-2.2677*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2013	41.46	41.28	NA	-2.2677*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2014	39.49	40.34	NA	-2.2677*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2015	40.02	39.43	Joinpoint 2	NA	2	2
BMI	50+	Men	Colorectum	attributable_rate	2016	39.92	39.87	NA	1.1187*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2017	39.85	40.32	NA	1.1187*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2018	40.55	40.77	NA	1.1187*	2	2
BMI	50+	Men	Colorectum	attributable_rate	2019	41.62	41.22	NA	1.1187*	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2005	0.90	0.91	NA	2.5070	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2006	0.94	0.93	NA	2.5070	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2007	0.96	0.95	NA	2.5070	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2008	0.95	0.98	NA	2.5070	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2009	1.04	1.00	Joinpoint 1	NA	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2010	1.09	1.10	NA	10.1488	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2011	1.17	1.21	NA	10.1488	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2012	1.36	1.34	Joinpoint 2	NA	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2013	1.38	1.37	NA	2.8637*	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2014	1.37	1.41	NA	2.8637*	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2015	1.54	1.45	NA	2.8637*	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2016	1.55	1.50	NA	2.8637*	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2017	1.48	1.54	NA	2.8637*	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2018	1.53	1.58	NA	2.8637*	2	2
BMI	20-49	Women	Colorectum	attributable_rate	2019	1.66	1.63	NA	2.8637*	2	2
BMI	50+	Women	Colorectum	attributable_rate	2005	23.02	23.13	NA	3.0264*	1	1
BMI	50+	Women	Colorectum	attributable_rate	2006	23.79	23.83	NA	3.0264*	1	1
BMI	50+	Women	Colorectum	attributable_rate	2007	24.76	24.55	NA	3.0264*	1	1
BMI	50+	Women	Colorectum	attributable_rate	2008	25.48	25.29	NA	3.0264*	1	1
BMI	50+	Women	Colorectum	attributable_rate	2009	25.81	26.06	Joinpoint 1	NA	1	1
BMI	50+	Women	Colorectum	attributable_rate	2010	25.96	26.02	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2011	26.61	25.98	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2012	26.15	25.93	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2013	25.33	25.89	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2014	25.55	25.85	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2015	26.11	25.81	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2016	25.43	25.76	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2017	25.26	25.72	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2018	25.39	25.68	NA	-0.1628	1	1
BMI	50+	Women	Colorectum	attributable_rate	2019	26.53	25.64	NA	-0.1628	1	1
BMI	20-49	Men	Colorectum	non_attributable_rate	2005	7.22	6.91	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2006	7.45	7.09	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2007	6.91	7.26	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2008	7.36	7.44	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2009	7.61	7.63	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2010	7.16	7.81	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2011	7.98	8.01	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2012	8.56	8.21	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2013	8.51	8.41	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2014	8.74	8.62	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2015	8.44	8.83	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2016	9.36	9.05	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2017	9.03	9.28	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2018	9.56	9.51	NA	2.4794*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2019	10.01	9.74	NA	2.4794*	0	0
BMI	50+	Men	Colorectum	non_attributable_rate	2005	186.12	186.30	NA	0.5604	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2006	186.74	187.35	NA	0.5604	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2007	186.96	188.40	NA	0.5604	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2008	192.90	189.45	NA	0.5604	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2009	190.88	190.51	NA	0.5604	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2010	190.61	191.58	NA	0.5604	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2011	189.69	192.66	Joinpoint 1	NA	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2012	190.06	186.29	NA	-3.3014	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2013	179.73	180.14	NA	-3.3014	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2014	173.23	174.20	Joinpoint 2	NA	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2015	173.99	172.70	NA	-0.8579	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2016	172.42	171.22	NA	-0.8579	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2017	166.20	169.75	NA	-0.8579	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2018	167.28	168.30	NA	-0.8579	2	2
BMI	50+	Men	Colorectum	non_attributable_rate	2019	169.08	166.85	NA	-0.8579	2	2
BMI	20-49	Women	Colorectum	non_attributable_rate	2005	6.68	6.47	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2006	6.91	6.67	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2007	6.81	6.89	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2008	6.59	7.10	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2009	7.19	7.33	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2010	7.30	7.56	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2011	7.56	7.80	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2012	8.54	8.05	NA	3.1789*	0	0
BMI	20-49	Women	Colorectum	non_attributable_rate	2013	8.54	8.31	NA	3.1789*	0	0
