"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
BMI	50+	Women	Breast	attributable_rate	1	15	4	11	0.002438	0.000222	Uncorrelated	0	NA	NA	NA	-25.316198	3.438078	-7.363474	0.000024	0.014253	0.001711	8.328513	0.000008	NA	NA	NA	NA	11.820382	0.000000	71.488171	1.000000	0.000000	1.000000
BMI	50+	Women	Breast	attributable_rate	1	15	4	11	0.002438	0.000222	Uncorrelated	1	2014	2007	2017	-1.591521	8.455068	-0.188233	0.854459	0.002473	0.004192	0.589949	0.568315	-0.011780	0.004528	-2.601695	0.026415	0.000003	0.000000	0.000018	1.000000	0.000000	1.000000
BMI	50+	Women	Breast	non_attributable_rate	0	15	2	13	0.003863	0.000297	Uncorrelated	0	NA	NA	NA	-0.777006	2.072763	-0.374865	0.713806	0.003254	0.001030	3.158991	0.007540	NA	NA	NA	NA	4.296348	-0.002135	0.000001	1.000000	-0.999998	1.000000
BMI	50+	Women	Breast	rate	0	15	2	13	0.003769	0.000290	Uncorrelated	0	NA	NA	NA	-1.899281	2.047266	-0.927716	0.370460	0.003854	0.001018	3.788071	0.002258	NA	NA	NA	NA	4.191297	-0.002083	0.000001	1.000000	-0.999998	1.000000
BMI	20-49	Men	Colorectum	attributable_rate	0	15	2	13	0.023968	0.001844	Uncorrelated	0	NA	NA	NA	-75.909302	5.162881	-14.702895	0.000000	0.037924	0.002566	14.779348	0.000000	NA	NA	NA	NA	26.655342	-0.013248	0.000007	1.000000	-0.999998	1.000000
BMI	50+	Men	Colorectum	attributable_rate	2	15	6	9	0.001782	0.000198	Uncorrelated	0	NA	NA	NA	-48.688755	3.807514	-12.787545	0.000004	0.026084	0.001897	13.752738	0.000003	NA	NA	NA	NA	14.497163	0.000000	0.000031	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	attributable_rate	2	15	6	9	0.001782	0.000198	Uncorrelated	1	2011	2009	2013	49.894515	11.293632	4.417933	0.003089	-0.022938	0.005610	-4.088511	0.004640	-0.049022	0.005922	-8.277574	0.000073	0.000004	0.000000	51.246812	1.000000	0.000000	1.000000
BMI	50+	Men	Colorectum	attributable_rate	2	15	6	9	0.001782	0.000198	Uncorrelated	2	2015	2013	2017	-18.741275	7.158688	-2.617976	0.034511	0.011124	0.003548	3.135155	0.016490	0.034062	0.006638	5.131233	0.001352	127.546123	0.000000	0.000013	1.000000	0.000000	1.000000
BMI	20-49	Women	Colorectum	attributable_rate	2	15	6	9	0.013053	0.001450	Uncorrelated	0	NA	NA	NA	-49.743688	32.293821	-1.540347	0.167373	0.024760	0.016095	1.538430	0.167833	NA	NA	NA	NA	1042.890877	0.000000	0.002590	1.000000	0.000000	1.000000
BMI	20-49	Women	Colorectum	attributable_rate	2	15	6	9	0.013053	0.001450	Uncorrelated	1	2009	2007	2014	-194.193714	102.325599	-1.897802	0.099527	0.096662	0.050896	1.899219	0.099320	0.071901	0.053380	1.346980	0.219961	0.000259	0.000000	187.998274	1.000000	0.000000	1.000000
