"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
BMI	50+	Women	Breast	attributable_rate	1	0	15	2	13	       0.0044084	      -7.7712100	      -7.7712100	       0.0000000	      -7.7712100
BMI	50+	Women	Breast	attributable_rate	2	1	15	4	11	       0.0024385	      -8.0022880	      -7.8217513	       0.4468646	      -7.9216126
BMI	50+	Women	Breast	attributable_rate	3	2	15	6	9	       0.0018671	      -7.9081879	      -7.5471145	       0.7491454	      -7.6376914
BMI	50+	Women	Breast	non_attributable_rate	1	0	15	2	13	       0.0038632	      -7.9032461	      -7.9032461	       0.0000000	      -7.9032461
BMI	50+	Women	Breast	non_attributable_rate	2	1	15	4	11	       0.0035556	      -7.6251449	      -7.4446083	       0.0796236	      -7.6107700
BMI	50+	Women	Breast	non_attributable_rate	3	2	15	6	9	       0.0021741	      -7.7559787	      -7.3949053	       0.7439080	      -7.4873733
BMI	50+	Women	Breast	rate	1	0	15	2	13	       0.0037687	      -7.9280013	      -7.9280013	       0.0000000	      -7.9280013
BMI	50+	Women	Breast	rate	2	1	15	4	11	       0.0033849	      -7.6743344	      -7.4937977	       0.1018400	      -7.6559485
BMI	50+	Women	Breast	rate	3	2	15	6	9	       0.0021441	      -7.7698854	      -7.4088120	       0.7188037	      -7.5103445
BMI	20-49	Men	Colorectum	attributable_rate	1	0	15	2	13	       0.0239678	      -6.0780220	      -6.0780220	       0.0000000	      -6.0780220
BMI	20-49	Men	Colorectum	attributable_rate	2	1	15	4	11	       0.0187230	      -5.9639065	      -5.7833698	       0.2188264	      -5.9244003
BMI	20-49	Men	Colorectum	attributable_rate	3	2	15	6	9	       0.0111053	      -6.1251617	      -5.7640883	       0.5356938	      -5.9317369
BMI	50+	Men	Colorectum	attributable_rate	1	0	15	2	13	       0.0209134	      -6.2143428	      -6.2143428	       0.0000000	      -6.2143428
BMI	50+	Men	Colorectum	attributable_rate	2	1	15	4	11	       0.0063813	      -7.0402831	      -6.8597464	       0.6948691	      -6.9148337
