"sex"	"age_group"	"cancer_site"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
Men	20-49	Bladder	0	Full Range	2001	2019	-2.0954	-2.8201	-1.3654	1	-6.0142	0.000014
Men	20-49	Brain and CNS	0	Full Range	2001	2019	0.6678	0.3678	0.9686	1	4.7061	0.000204
Men	20-49	Breast	0	Full Range	2001	2019	1.9975	-0.0001	4.0351	0	2.1097	0.050014
Men	20-49	Colorectum	0	Full Range	2001	2019	2.6783	2.3297	3.0281	1	16.3953	0.000000
Men	20-49	Gallbladder	0	Full Range	2001	2019	3.1224	0.7804	5.5189	1	2.8237	0.011705
Men	20-49	Hodgkin Lymphoma	0	Full Range	2001	2019	1.0803	0.6135	1.5493	1	4.8977	0.000136
Men	20-49	Kidney	2	Full Range	2001	2019	3.6759	2.3068	5.0634	1	5.3223	0.000000
Men	20-49	Larynx	0	Full Range	2001	2019	-1.2827	-2.2815	-0.2737	1	-2.6785	0.015872
Men	20-49	Leukaemia	0	Full Range	2001	2019	1.4045	0.8844	1.9272	1	5.7224	0.000025
Men	20-49	Liver	1	Full Range	2001	2019	1.3193	-1.0923	3.7898	0	1.0664	0.286255
Men	20-49	Lung	0	Full Range	2001	2019	-0.8405	-1.2545	-0.4246	1	-4.2554	0.000534
Men	20-49	Melanoma	1	Full Range	2001	2019	0.9120	-0.0609	1.8944	0	1.8368	0.066240
Men	20-49	MultipleMyeloma	0	Full Range	2001	2019	3.9208	2.7846	5.0697	1	7.3806	0.000001
Men	20-49	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	0.0879	-0.4742	0.6531	0	0.3057	0.759863
Men	20-49	Oesophagus	0	Full Range	2001	2019	-0.6942	-1.4399	0.0572	0	-1.9498	0.067889
Men	20-49	Oral	1	Full Range	2001	2019	1.2547	0.8484	1.6627	1	6.0778	0.000000
Men	20-49	Pancreas	0	Full Range	2001	2019	1.8681	1.1776	2.5634	1	5.7414	0.000024
Men	20-49	Prostate	1	Full Range	2001	2019	6.9138	5.6900	8.1517	1	11.3820	0.000000
Men	20-49	Stomach	0	Full Range	2001	2019	-1.3838	-2.0872	-0.6753	1	-4.1069	0.000736
Men	20-49	Testis	0	Full Range	2001	2019	0.7214	0.3965	1.0473	1	4.6936	0.000209
Men	20-49	Thyroid	1	Full Range	2001	2019	5.9556	4.7408	7.1844	1	9.8329	0.000000
Men	50+	Bladder	2	Full Range	2001	2019	-1.4343	-2.2740	-0.5874	1	-3.3095	0.000935
Men	50+	Brain and CNS	1	Full Range	2001	2019	0.2751	-0.2022	0.7548	0	1.1285	0.259125
Men	50+	Breast	0	Full Range	2001	2019	0.2218	-0.4096	0.8572	0	0.7396	0.469613
Men	50+	Colorectum	2	Full Range	2001	2019	0.1770	-0.4083	0.7657	0	0.5915	0.554204
Men	50+	Gallbladder	0	Full Range	2001	2019	2.9621	2.3699	3.5577	1	10.6778	0.000000
Men	50+	Hodgkin Lymphoma	1	Full Range	2001	2019	2.1265	1.1947	3.0669	1	4.4994	0.000007
Men	50+	Kidney	1	Full Range	2001	2019	3.0645	2.3979	3.7355	1	9.1169	0.000000
Men	50+	Larynx	1	Full Range	2001	2019	-1.4332	-1.8704	-0.9940	1	-6.3644	0.000000
Men	50+	Leukaemia	1	Full Range	2001	2019	0.8634	0.0215	1.7123	1	2.0102	0.044407
Men	50+	Liver	1	Full Range	2001	2019	4.8646	4.2493	5.4835	1	15.8201	0.000000
Men	50+	Lung	2	Full Range	2001	2019	-0.9660	-1.3804	-0.5498	1	-4.5368	0.000006
Men	50+	Melanoma	2	Full Range	2001	2019	5.3379	4.6270	6.0537	1	15.0515	0.000000
Men	50+	MultipleMyeloma	0	Full Range	2001	2019	2.9957	2.5591	3.4342	1	14.6590	0.000000
Men	50+	Non-Hodgkin Lymphoma	1	Full Range	2001	2019	1.3013	0.9665	1.6372	1	7.6550	0.000000
Men	50+	Oesophagus	1	Full Range	2001	2019	0.5854	0.3078	0.8637	1	4.1397	0.000035
Men	50+	Oral	1	Full Range	2001	2019	3.0228	2.4036	3.6457	1	9.6825	0.000000
Men	50+	Pancreas	0	Full Range	2001	2019	1.4379	1.2744	1.6018	1	18.6657	0.000000
Men	50+	Prostate	0	Full Range	2001	2019	1.3902	1.0558	1.7257	1	8.8169	0.000000
Men	50+	Stomach	0	Full Range	2001	2019	-3.4173	-3.6653	-3.1687	1	-28.5336	0.000000
Men	50+	Testis	0	Full Range	2001	2019	1.8206	1.0898	2.5567	1	5.2846	0.000061
Men	50+	Thyroid	1	Full Range	2001	2019	5.1434	3.7110	6.5956	1	7.1666	0.000000
Women	20-49	Bladder	0	Full Range	2001	2019	-0.8115	-1.8942	0.2833	0	-1.5661	0.135755
Women	20-49	Brain and CNS	2	Full Range	2001	2019	0.8306	-1.1890	2.8914	0	0.8012	0.422990
Women	20-49	Breast	1	Full Range	2001	2019	0.8831	0.5713	1.1958	1	5.5675	0.000000
Women	20-49	Cervix	0	Full Range	2001	2019	1.3678	0.8513	1.8870	1	5.6112	0.000031
Women	20-49	Colorectum	0	Full Range	2001	2019	3.3891	2.9782	3.8017	1	17.6576	0.000000
Women	20-49	Endometrium	1	Full Range	2001	2019	3.3078	2.1874	4.4405	1	5.8493	0.000000
