"sex"	"age_group"	"cancer_site"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
Men	20-49	Bladder	0	0	2001	2019	-2.0954	-2.8201	-1.3654	1	-6.0142	0.000014
Men	20-49	Brain and CNS	0	0	2001	2019	0.6678	0.3678	0.9686	1	4.7061	0.000204
Men	20-49	Colorectum	0	0	2001	2019	2.6783	2.3297	3.0281	1	16.3953	0.000000
Men	20-49	Gallbladder	0	0	2001	2019	3.1224	0.7804	5.5189	1	2.8237	0.011705
Men	20-49	Hodgkin Lymphoma	0	0	2001	2019	1.0803	0.6135	1.5493	1	4.8977	0.000136
Men	20-49	Kidney	2	0	2001	2004	0.5769	-5.2024	6.7086	0	0.2139	0.834501
Men	20-49	Kidney	2	1	2004	2016	5.9525	5.1104	6.8014	1	15.9483	0.000000
Men	20-49	Kidney	2	2	2016	2019	-2.0229	-7.6529	3.9503	0	-0.7601	0.463188
Men	20-49	Larynx	0	0	2001	2019	-1.2827	-2.2815	-0.2737	1	-2.6785	0.015872
Men	20-49	Leukaemia	0	0	2001	2019	1.4045	0.8844	1.9272	1	5.7224	0.000025
Men	20-49	Liver	1	0	2001	2014	3.4171	1.4711	5.4003	1	3.7937	0.001975
Men	20-49	Liver	1	1	2014	2019	-3.9378	-11.4155	4.1712	0	-1.0632	0.305668
Men	20-49	Lung	0	0	2001	2019	-0.8405	-1.2545	-0.4246	1	-4.2554	0.000534
Men	20-49	Melanoma	1	0	2001	2014	2.6118	1.8309	3.3987	1	7.2388	0.000004
Men	20-49	Melanoma	1	1	2014	2019	-3.3767	-6.4749	-0.1759	1	-2.2607	0.040236
Men	20-49	MultipleMyeloma	0	0	2001	2019	3.9208	2.7846	5.0697	1	7.3806	0.000001
Men	20-49	Non-Hodgkin Lymphoma	1	0	2001	2010	2.0279	1.1426	2.9209	1	4.9407	0.000217
Men	20-49	Non-Hodgkin Lymphoma	1	1	2010	2019	-1.8153	-2.6672	-0.9558	1	-4.5085	0.000491
Men	20-49	Oesophagus	0	0	2001	2019	-0.6942	-1.4399	0.0572	0	-1.9498	0.067889
Men	20-49	Oral	1	0	2001	2013	2.9975	2.6085	3.3880	1	16.7414	0.000000
Men	20-49	Oral	1	1	2013	2019	-2.1429	-3.1956	-1.0787	1	-4.2954	0.000740
Men	20-49	Pancreas	0	0	2001	2019	1.8681	1.1776	2.5634	1	5.7414	0.000024
Men	20-49	Prostate	1	0	2001	2011	9.9356	8.2888	11.6074	1	13.4608	0.000000
Men	20-49	Prostate	1	1	2011	2019	3.2530	1.0918	5.4605	1	3.2458	0.005861
Men	20-49	Stomach	0	0	2001	2019	-1.3838	-2.0872	-0.6753	1	-4.1069	0.000736
Men	20-49	Testis	0	0	2001	2019	0.7214	0.3965	1.0473	1	4.6936	0.000209
Men	20-49	Thyroid	1	0	2001	2012	7.4951	6.1250	8.8829	1	12.0841	0.000000
Men	20-49	Thyroid	1	1	2012	2019	3.5807	0.9803	6.2481	1	2.9677	0.010183
Men	50+	Bladder	2	0	2001	2004	-2.8395	-6.0084	0.4363	0	-1.9120	0.082263
Men	50+	Bladder	2	1	2004	2008	0.8271	-2.4614	4.2265	0	0.5467	0.595468
Men	50+	Bladder	2	2	2008	2019	-1.8604	-2.2982	-1.4206	1	-9.2442	0.000002
Men	50+	Brain and CNS	1	0	2001	2013	0.8157	0.3640	1.2694	1	3.8803	0.001665
Men	50+	Brain and CNS	1	1	2013	2019	-0.7973	-2.0626	0.4842	0	-1.3376	0.202337
Men	50+	Colorectum	2	0	2001	2011	1.3279	1.0448	1.6119	1	10.3757	0.000001
Men	50+	Colorectum	2	1	2011	2014	-3.2232	-6.6402	0.3189	0	-2.0060	0.070074
Men	50+	Colorectum	2	2	2014	2019	-0.0361	-0.8364	0.7706	0	-0.0989	0.923029
Men	50+	Gallbladder	0	0	2001	2019	2.9621	2.3699	3.5577	1	10.6778	0.000000
Men	50+	Hodgkin Lymphoma	1	0	2001	2014	3.2428	2.4992	3.9917	1	9.4700	0.000000
Men	50+	Hodgkin Lymphoma	1	1	2014	2019	-0.7196	-3.7341	2.3894	0	-0.5023	0.623242
Men	50+	Kidney	1	0	2001	2014	4.0653	3.5342	4.5991	1	16.7029	0.000000
Men	50+	Kidney	1	1	2014	2019	0.5072	-1.6630	2.7254	0	0.4971	0.626824
Men	50+	Larynx	1	0	2001	2012	-0.5415	-1.0321	-0.0484	1	-2.3546	0.033664
Men	50+	Larynx	1	1	2012	2019	-2.8183	-3.7662	-1.8610	1	-6.2552	0.000021
Men	50+	Leukaemia	1	0	2001	2015	2.4785	1.9234	3.0366	1	9.6680	0.000000
Men	50+	Leukaemia	1	1	2015	2019	-4.5916	-8.0238	-1.0314	1	-2.7518	0.015591
Men	50+	Liver	1	0	2001	2014	6.0941	5.6029	6.5875	1	27.3427	0.000000
Men	50+	Liver	1	1	2014	2019	1.7340	-0.2601	3.7680	0	1.8626	0.083633
Men	50+	Lung	2	0	2001	2003	-2.6537	-6.0030	0.8149	0	-1.6908	0.118980
Men	50+	Lung	2	1	2003	2013	-0.3131	-0.6312	0.0061	0	-2.1593	0.053774
Men	50+	Lung	2	2	2013	2019	-1.4819	-2.0632	-0.8971	1	-5.5526	0.000172
Men	50+	Melanoma	2	0	2001	2008	7.9397	6.9478	8.9409	1	18.2138	0.000000
Men	50+	Melanoma	2	1	2008	2014	4.9130	3.3046	6.5464	1	6.8328	0.000028
Men	50+	Melanoma	2	2	2014	2019	2.2954	0.7272	3.8881	1	3.2332	0.007970
Men	50+	MultipleMyeloma	0	0	2001	2019	2.9957	2.5591	3.4342	1	14.6590	0.000000
Men	50+	Non-Hodgkin Lymphoma	1	0	2001	2011	2.7549	2.3099	3.2019	1	13.4298	0.000000
Men	50+	Non-Hodgkin Lymphoma	1	1	2011	2019	-0.4868	-1.0903	0.1204	0	-1.7205	0.107348
Men	50+	Oesophagus	1	0	2001	2010	1.1544	0.7227	1.5879	1	5.7561	0.000050
Men	50+	Oesophagus	1	1	2010	2019	0.0196	-0.4072	0.4483	0	0.0983	0.923063
Men	50+	Oral	1	0	2001	2013	3.6833	3.0968	4.2731	1	13.6766	0.000000
Men	50+	Oral	1	1	2013	2019	1.7142	0.0783	3.3770	1	2.2483	0.041189
Men	50+	Pancreas	0	0	2001	2019	1.4379	1.2744	1.6018	1	18.6657	0.000000
Men	50+	Prostate	0	0	2001	2019	1.3902	1.0558	1.7257	1	8.8169	0.000000
Men	50+	Stomach	0	0	2001	2019	-3.4173	-3.6653	-3.1687	1	-28.5336	0.000000
Men	50+	Testis	0	0	2001	2019	1.8206	1.0898	2.5567	1	5.2846	0.000061
Men	50+	Thyroid	1	0	2001	2014	6.2722	5.1290	7.4279	1	12.0632	0.000000
Men	50+	Thyroid	1	1	2014	2019	2.2643	-2.3472	7.0936	0	1.0408	0.315628
