"sex"	"age_group"	"cancer_site"	"year"	"Rate"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	20-49	Bladder	2001	1.89	1.66	NA	-2.1328*	0	0
Men	20-49	Bladder	2002	1.65	1.63	NA	-2.1328*	0	0
Men	20-49	Bladder	2003	1.46	1.59	NA	-2.1328*	0	0
Men	20-49	Bladder	2004	1.63	1.56	NA	-2.1328*	0	0
Men	20-49	Bladder	2005	1.52	1.52	NA	-2.1328*	0	0
Men	20-49	Bladder	2006	1.33	1.49	NA	-2.1328*	0	0
Men	20-49	Bladder	2007	1.27	1.46	NA	-2.1328*	0	0
Men	20-49	Bladder	2008	1.50	1.43	NA	-2.1328*	0	0
Men	20-49	Bladder	2009	1.50	1.40	NA	-2.1328*	0	0
Men	20-49	Bladder	2010	1.44	1.37	NA	-2.1328*	0	0
Men	20-49	Bladder	2011	1.28	1.34	NA	-2.1328*	0	0
Men	20-49	Bladder	2012	1.34	1.31	NA	-2.1328*	0	0
Men	20-49	Bladder	2013	1.27	1.28	NA	-2.1328*	0	0
Men	20-49	Bladder	2014	1.33	1.26	NA	-2.1328*	0	0
Men	20-49	Bladder	2015	1.24	1.23	NA	-2.1328*	0	0
Men	20-49	Bladder	2016	1.15	1.20	NA	-2.1328*	0	0
Men	20-49	Bladder	2017	1.07	1.18	NA	-2.1328*	0	0
Men	20-49	Bladder	2018	1.08	1.15	NA	-2.1328*	0	0
Men	20-49	Bladder	2019	1.32	1.13	NA	-2.1328*	0	0
Men	20-49	Brain and CNS	2001	4.68	4.55	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2002	4.76	4.58	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2003	4.26	4.62	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2004	4.51	4.66	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2005	4.73	4.70	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2006	4.89	4.73	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2007	4.80	4.77	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2008	4.93	4.81	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2009	4.89	4.85	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2010	4.58	4.89	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2011	5.03	4.93	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2012	4.87	4.97	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2013	5.09	5.01	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2014	4.99	5.05	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2015	5.28	5.09	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2016	5.22	5.13	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2017	5.22	5.18	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2018	5.22	5.22	NA	0.8156*	0	0
Men	20-49	Brain and CNS	2019	5.11	5.26	NA	0.8156*	0	0
Men	20-49	Breast	2001	0.12	0.15	NA	1.4723	0	0
Men	20-49	Breast	2002	0.12	0.15	NA	1.4723	0	0
Men	20-49	Breast	2003	0.19	0.16	NA	1.4723	0	0
Men	20-49	Breast	2004	0.25	0.16	NA	1.4723	0	0
Men	20-49	Breast	2005	0.16	0.16	NA	1.4723	0	0
Men	20-49	Breast	2006	0.18	0.16	NA	1.4723	0	0
Men	20-49	Breast	2007	0.12	0.17	NA	1.4723	0	0
Men	20-49	Breast	2008	0.19	0.17	NA	1.4723	0	0
Men	20-49	Breast	2009	0.23	0.17	NA	1.4723	0	0
Men	20-49	Breast	2010	0.18	0.17	NA	1.4723	0	0
Men	20-49	Breast	2011	0.16	0.18	NA	1.4723	0	0
Men	20-49	Breast	2012	0.18	0.18	NA	1.4723	0	0
Men	20-49	Breast	2013	0.12	0.18	NA	1.4723	0	0
Men	20-49	Breast	2014	0.14	0.18	NA	1.4723	0	0
Men	20-49	Breast	2015	0.25	0.19	NA	1.4723	0	0
Men	20-49	Breast	2016	0.15	0.19	NA	1.4723	0	0
Men	20-49	Breast	2017	0.16	0.19	NA	1.4723	0	0
Men	20-49	Breast	2018	0.23	0.20	NA	1.4723	0	0
Men	20-49	Breast	2019	0.27	0.20	NA	1.4723	0	0
Men	20-49	Colorectum	2001	7.22	7.33	NA	2.5963*	0	0
Men	20-49	Colorectum	2002	7.62	7.52	NA	2.5963*	0	0
Men	20-49	Colorectum	2003	7.67	7.71	NA	2.5963*	0	0
Men	20-49	Colorectum	2004	8.24	7.91	NA	2.5963*	0	0
Men	20-49	Colorectum	2005	8.38	8.12	NA	2.5963*	0	0
Men	20-49	Colorectum	2006	8.66	8.33	NA	2.5963*	0	0
Men	20-49	Colorectum	2007	8.05	8.55	NA	2.5963*	0	0
Men	20-49	Colorectum	2008	8.61	8.77	NA	2.5963*	0	0
Men	20-49	Colorectum	2009	8.93	9.00	NA	2.5963*	0	0
Men	20-49	Colorectum	2010	8.46	9.23	NA	2.5963*	0	0
Men	20-49	Colorectum	2011	9.46	9.47	NA	2.5963*	0	0
Men	20-49	Colorectum	2012	10.16	9.72	NA	2.5963*	0	0
Men	20-49	Colorectum	2013	10.11	9.97	NA	2.5963*	0	0
Men	20-49	Colorectum	2014	10.39	10.23	NA	2.5963*	0	0
Men	20-49	Colorectum	2015	10.07	10.49	NA	2.5963*	0	0
Men	20-49	Colorectum	2016	11.15	10.76	NA	2.5963*	0	0
Men	20-49	Colorectum	2017	10.76	11.04	NA	2.5963*	0	0
Men	20-49	Colorectum	2018	11.34	11.33	NA	2.5963*	0	0
Men	20-49	Colorectum	2019	11.94	11.62	NA	2.5963*	0	0
Men	20-49	Gallbladder	2001	0.09	0.10	NA	39.4716	1	1
