"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Men	20-49	Bladder	0	19	2	17	0.120145	0.007067	Uncorrelated	0	NA	NA	NA	42.838650	7.077639	6.052675	0.000013	-0.021177	0.003521	-6.014174	0.000014	NA	NA	NA	NA	50.092971	-0.024922	0.000012	1.000000	-0.999996	1.000000
Men	20-49	Brain and CNS	0	19	2	17	0.019380	0.001140	Uncorrelated	0	NA	NA	NA	-11.795876	2.842610	-4.149664	0.000671	0.006655	0.001414	4.706075	0.000204	NA	NA	NA	NA	8.080432	-0.004020	0.000002	1.000000	-0.999996	1.000000
Men	20-49	Breast	0	19	2	17	0.851695	0.050100	Uncorrelated	0	NA	NA	NA	-41.416057	18.844204	-2.197814	0.042105	0.019779	0.009375	2.109675	0.050014	NA	NA	NA	NA	355.104035	-0.176667	0.000088	1.000000	-0.999996	1.000000
Men	20-49	Colorectum	0	19	2	17	0.025182	0.001481	Uncorrelated	0	NA	NA	NA	-50.942285	3.240298	-15.721481	0.000000	0.026431	0.001612	16.395333	0.000000	NA	NA	NA	NA	10.499532	-0.005224	0.000003	1.000000	-0.999996	1.000000
Men	20-49	Gallbladder	0	19	2	17	1.148877	0.067581	Uncorrelated	0	NA	NA	NA	-63.261140	21.886310	-2.890443	0.010166	0.030747	0.010889	2.823743	0.011705	NA	NA	NA	NA	479.010563	-0.238312	0.000119	1.000000	-0.999996	1.000000
Men	20-49	Hodgkin Lymphoma	0	19	2	17	0.046644	0.002744	Uncorrelated	0	NA	NA	NA	-20.243245	4.409949	-4.590358	0.000260	0.010746	0.002194	4.897708	0.000136	NA	NA	NA	NA	19.447650	-0.009675	0.000005	1.000000	-0.999996	1.000000
Men	20-49	Kidney	2	19	6	13	0.025304	0.001946	Uncorrelated	0	NA	NA	NA	-10.457900	53.828979	-0.194280	0.849498	0.005753	0.026888	0.213949	0.834501	NA	NA	NA	NA	2897.558988	0.000000	0.000013	1.000000	0.000000	1.000000
Men	20-49	Kidney	2	19	6	13	0.025304	0.001946	Uncorrelated	1	2004	2003	2013	-114.802606	7.287311	-15.753769	0.000000	0.057821	0.003626	15.948265	0.000000	0.052068	0.027131	1.919146	0.081270	0.000723	0.000000	2944.058683	1.000000	0.000000	1.000000
Men	20-49	Kidney	2	19	6	13	0.025304	0.001946	Uncorrelated	2	2016	2012	2017	42.964424	54.259181	0.791837	0.445196	-0.020437	0.026888	-0.760077	0.463188	-0.078257	0.027131	-2.884437	0.014853	53.104897	0.000000	0.000723	1.000000	0.000000	1.000000
Men	20-49	Larynx	0	19	2	17	0.225120	0.013242	Uncorrelated	0	NA	NA	NA	25.711313	9.688195	2.653881	0.016705	-0.012910	0.004820	-2.678453	0.015872	NA	NA	NA	NA	93.861127	-0.046697	0.000023	1.000000	-0.999996	1.000000
Men	20-49	Leukaemia	0	19	2	17	0.057560	0.003386	Uncorrelated	0	NA	NA	NA	-26.607551	4.898872	-5.431363	0.000045	0.013947	0.002437	5.722397	0.000025	NA	NA	NA	NA	23.998942	-0.011940	0.000006	1.000000	-0.999996	1.000000
Men	20-49	Liver	1	19	4	15	0.204261	0.013617	Uncorrelated	0	NA	NA	NA	-67.321543	17.775598	-3.787301	0.002000	0.033600	0.008857	3.793672	0.001975	NA	NA	NA	NA	315.971895	0.000000	5808.120239	1.000000	0.000000	1.000000
Men	20-49	Liver	1	19	4	15	0.204261	0.013617	Uncorrelated	1	2014	2006	2017	81.258659	76.211024	1.066232	0.304362	-0.040174	0.037784	-1.063244	0.305668	-0.073774	0.038808	-1.900968	0.078093	0.000078	0.000000	0.001428	1.000000	0.000000	1.000000
Men	20-49	Lung	0	19	2	17	0.038118	0.002242	Uncorrelated	0	NA	NA	NA	18.477047	3.986604	4.634784	0.000237	-0.008440	0.001983	-4.255414	0.000534	NA	NA	NA	NA	15.893009	-0.007907	0.000004	1.000000	-0.999996	1.000000
Men	20-49	Melanoma	1	19	4	15	0.032405	0.002160	Uncorrelated	0	NA	NA	NA	-49.527112	7.148392	-6.928427	0.000007	0.025783	0.003562	7.238833	0.000004	NA	NA	NA	NA	51.099514	0.000000	939.299121	1.000000	0.000000	1.000000
Men	20-49	Melanoma	1	19	4	15	0.032405	0.002160	Uncorrelated	1	2014	2011	2016	71.581143	30.647987	2.335590	0.034908	-0.034350	0.015195	-2.260668	0.040236	-0.060133	0.015607	-3.853039	0.001757	0.000013	0.000000	0.000231	1.000000	0.000000	1.000000
