"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Female	20-49	Bladder	1	0	19	2	17	       0.2622780	      -3.9728484	      -3.9728484	       0.0000000	      -3.9728484
Female	20-49	Bladder	2	1	19	4	15	       0.2492567	      -3.7138290	      -3.5588586	       0.0496468	      -3.7061353
Female	20-49	Bladder	3	2	19	6	13	       0.1991433	      -3.6283467	      -3.3184057	       0.3551954	      -3.5182571
Female	20-49	Bladder	4	3	19	8	11	       0.1893672	      -3.3687425	      -2.9038311	       0.3551954	      -3.2036081
Female	20-49	Brain and CNS	1	0	19	2	17	       0.0612092	      -5.4279562	      -5.4279562	       0.0000000	      -5.4279562
Female	20-49	Brain and CNS	2	1	19	4	15	       0.0420544	      -5.4933476	      -5.3383771	       0.3129390	      -5.4448512
Female	20-49	Brain and CNS	3	2	19	6	13	       0.0205468	      -5.8996662	      -5.5897253	       0.8364420	      -5.6404186
Female	20-49	Brain and CNS	4	3	19	8	11	       0.0176513	      -5.7416231	      -5.2767116	       0.8364420	      -5.3527516
Female	20-49	Breast	1	0	19	2	17	       0.0150775	      -6.8290490	      -6.8290490	       0.0000000	      -6.8290490
Female	20-49	Breast	2	1	19	4	15	       0.0040019	      -7.8455380	      -7.6905676	       0.7345770	      -7.7317003
Female	20-49	Breast	3	2	19	6	13	       0.0036818	      -7.6189794	      -7.3090384	       0.6842834	      -7.4068919
Female	20-49	Breast	4	3	19	8	11	       0.0027369	      -7.6055868	      -7.1406754	       0.9527509	      -7.1626421
Female	20-49	Cervix	1	0	19	2	17	       0.0568037	      -5.5026523	      -5.5026523	       0.0000000	      -5.5026523
Female	20-49	Cervix	2	1	19	4	15	       0.0476586	      -5.3682489	      -5.2132784	       0.1609941	      -5.3432996
Female	20-49	Cervix	3	2	19	6	13	       0.0345434	      -5.3801553	      -5.0702143	       0.5542788	      -5.2083616
Female	20-49	Cervix	4	3	19	8	11	       0.0330440	      -5.1145902	      -4.6496787	       0.8760945	      -4.7072838
Female	20-49	Colorectum	1	0	19	2	17	       0.0345238	      -6.0006058	      -6.0006058	       0.0000000	      -6.0006058
Female	20-49	Colorectum	2	1	19	4	15	       0.0270537	      -5.9344868	      -5.7795164	       0.2163729	      -5.9009554
Female	20-49	Colorectum	3	2	19	6	13	       0.0182672	      -6.0172664	      -5.7073255	       0.4964436	      -5.8633982
Female	20-49	Colorectum	4	3	19	8	11	       0.0170173	      -5.7781996	      -5.3132881	       0.4630997	      -5.5628992
Female	20-49	Endometrium	1	0	19	2	17	       0.0817727	      -5.1383101	      -5.1383101	       0.0000000	      -5.1383101
Female	20-49	Endometrium	2	1	19	4	15	       0.0463216	      -5.3967039	      -5.2417334	       0.4335320	      -5.3295192
Female	20-49	Endometrium	3	2	19	6	13	       0.0421428	      -5.1813073	      -4.8713664	       0.5755845	      -5.0029101
Female	20-49	Endometrium	4	3	19	8	11	       0.0399080	      -4.9258532	      -4.4609418	       0.9181587	      -4.4989907
Female	20-49	Gallbladder	1	0	19	2	17	       0.4662019	      -3.3976344	      -3.3976344	       0.0000000	      -3.3976344
Female	20-49	Gallbladder	2	1	19	4	15	       0.4183761	      -3.1959316	      -3.0409611	       0.1025861	      -3.1800337
Female	20-49	Gallbladder	3	2	19	6	13	       0.3841061	      -2.9714527	      -2.6615117	       0.7619048	      -2.7353072
Female	20-49	Gallbladder	4	3	19	8	11	       0.3498360	      -2.7549661	      -2.2900547	       0.2851532	      -2.6223952
Female	20-49	Hodgkin Lymphoma	1	0	19	2	17	       0.0546000	      -5.5422196	      -5.5422196	       0.0000000	      -5.5422196
Female	20-49	Hodgkin Lymphoma	2	1	19	4	15	       0.0430488	      -5.4699791	      -5.3150087	       0.2115612	      -5.4371934
Female	20-49	Hodgkin Lymphoma	3	2	19	6	13	       0.0278902	      -5.5940947	      -5.2841538	       0.4737464	      -5.4472613
Female	20-49	Hodgkin Lymphoma	4	3	19	8	11	       0.0256898	      -5.3663377	      -4.9014262	       0.7807122	      -5.0033757
Female	20-49	Kidney	1	0	19	2	17	       0.1129860	      -4.8149897	      -4.8149897	       0.0000000	      -4.8149897
Female	20-49	Kidney	2	1	19	4	15	       0.0827816	      -4.8161064	      -4.6611360	       0.2673284	      -4.7746784
Female	20-49	Kidney	3	2	19	6	13	       0.0707722	      -4.6629049	      -4.3529640	       0.6201550	      -4.4706935
Female	20-49	Kidney	4	3	19	8	11	       0.0582451	      -4.5477702	      -4.0828588	       0.5137033	      -4.3089437
Female	20-49	Larynx	1	0	19	2	17	       0.7380782	      -2.9382035	      -2.9382035	       0.0000000	      -2.9382035
Female	20-49	Larynx	2	1	19	4	15	       0.6865897	      -2.7005755	      -2.5456050	       0.0697603	      -2.6897647
Female	20-49	Larynx	3	2	19	6	13	       0.6325944	      -2.4725419	      -2.1626010	       0.6363636	      -2.2753068
Female	20-49	Larynx	4	3	19	8	11	       0.6178446	      -2.1861935	      -1.7212820	       0.6907895	      -1.8650376
Female	20-49	Leukaemia	1	0	19	2	17	       0.0475339	      -5.6808110	      -5.6808110	       0.0000000	      -5.6808110
Female	20-49	Leukaemia	2	1	19	4	15	       0.0450721	      -5.4240494	      -5.2690789	       0.0517901	      -5.4160235
Female	20-49	Leukaemia	3	2	19	6	13	       0.0411596	      -5.2049135	      -4.8949725	       0.2186404	      -5.1371479
Female	20-49	Leukaemia	4	3	19	8	11	       0.0352729	      -5.0493167	      -4.5844053	       0.1979955	      -4.9572664
Female	20-49	Liver	1	0	19	2	17	       0.3342022	      -3.7305070	      -3.7305070	       0.0000000	      -3.7305070
Female	20-49	Liver	2	1	19	4	15	       0.1176270	      -4.4647941	      -4.3098237	       0.6480366	      -4.3643676
Female	20-49	Liver	3	2	19	6	13	       0.0884446	      -4.4399947	      -4.1300538	       0.6956801	      -4.2243750
Female	20-49	Liver	4	3	19	8	11	       0.0832601	      -4.1904608	      -3.7255493	       0.6956801	      -3.8670312
Female	20-49	Lung	1	0	19	2	17	       0.0742447	      -5.2348864	      -5.2348864	       0.0000000	      -5.2348864
Female	20-49	Lung	2	1	19	4	15	       0.0728575	      -4.9438072	      -4.7888367	       0.0186850	      -4.9409116
Female	20-49	Lung	3	2	19	6	13	       0.0643619	      -4.7578499	      -4.4479090	       0.5610669	      -4.5839523
Female	20-49	Lung	4	3	19	8	11	       0.0625410	      -4.4766083	      -4.0116969	       0.5610669	      -4.2157619
Female	20-49	Melanoma	1	0	19	2	17	       0.0598460	      -5.4504795	      -5.4504795	       0.0000000	      -5.4504795
Female	20-49	Melanoma	2	1	19	4	15	       0.0252507	      -6.0034577	      -5.8484873	       0.5780714	      -5.9138737
Female	20-49	Melanoma	3	2	19	6	13	       0.0199421	      -5.9295383	      -5.6195974	       0.6343092	      -5.7329400
Female	20-49	Melanoma	4	3	19	8	11	       0.0172261	      -5.7660060	      -5.3010946	       0.6343092	      -5.4711084
Female	20-49	Multiple Myeloma	1	0	19	2	17	       0.2277432	      -4.1140345	      -4.1140345	       0.0000000	      -4.1140345
Female	20-49	Multiple Myeloma	2	1	19	4	15	       0.1976891	      -3.9456169	      -3.7906464	       0.1319651	      -3.9251662
Female	20-49	Multiple Myeloma	3	2	19	6	13	       0.1577178	      -3.8615642	      -3.5516232	       0.3022499	      -3.7678846
Female	20-49	Multiple Myeloma	4	3	19	8	11	       0.1422746	      -3.6546714	      -3.1897600	       0.5308059	      -3.4078937
Female	20-49	Non-Hodgkin Lymphoma	1	0	19	2	17	       0.0722544	      -5.2620600	      -5.2620600	       0.0000000	      -5.2620600
Female	20-49	Non-Hodgkin Lymphoma	2	1	19	4	15	       0.0543333	      -5.2371748	      -5.0822044	       0.2480277	      -5.1987379
Female	20-49	Non-Hodgkin Lymphoma	3	2	19	6	13	       0.0416797	      -5.1923579	      -4.8824170	       0.4509043	      -5.0526042
Female	20-49	Non-Hodgkin Lymphoma	4	3	19	8	11	       0.0309393	      -5.1804039	      -4.7154925	       0.6553058	      -4.8757448
Female	20-49	Oesophagus	1	0	19	2	17	       0.4125301	      -3.5199441	      -3.5199441	       0.0000000	      -3.5199441
Female	20-49	Oesophagus	2	1	19	4	15	       0.3906322	      -3.2645459	      -3.1095754	       0.0530820	      -3.2563197
Female	20-49	Oesophagus	3	2	19	6	13	       0.3691495	      -3.0111696	      -2.7012287	       0.1948194	      -2.9507871
Female	20-49	Oesophagus	4	3	19	8	11	       0.3076794	      -2.8833723	      -2.4184609	       0.9250442	      -2.4533087
Female	20-49	Oral	1	0	19	2	17	       0.1002774	      -4.9343132	      -4.9343132	       0.0000000	      -4.9343132
Female	20-49	Oral	2	1	19	4	15	       0.0699740	      -4.9841889	      -4.8292184	       0.3021958	      -4.9373575
Female	20-49	Oral	3	2	19	6	13	       0.0431541	      -5.1575939	      -4.8476529	       0.5712935	      -4.9805266
Female	20-49	Oral	4	3	19	8	11	       0.0416663	      -4.8827381	      -4.4178267	       0.5712935	      -4.6171372
Female	20-49	Ovary	1	0	19	2	17	       0.0335721	      -6.0285594	      -6.0285594	       0.0000000	      -6.0285594
Female	20-49	Ovary	2	1	19	4	15	       0.0169401	      -6.4026303	      -6.2476599	       0.4954114	      -6.3258562
Female	20-49	Ovary	3	2	19	6	13	       0.0107764	      -6.5450156	      -6.2350747	       0.6854698	      -6.3325605
Female	20-49	Ovary	4	3	19	8	11	       0.0087951	      -6.4382353	      -5.9733239	       0.8140913	      -6.0597550
Female	20-49	Pancreas	1	0	19	2	17	       0.1489132	      -4.5388894	      -4.5388894	       0.0000000	      -4.5388894
Female	20-49	Pancreas	2	1	19	4	15	       0.1377801	      -4.3066537	      -4.1516833	       0.0747629	      -4.2950677
Female	20-49	Pancreas	3	2	19	6	13	       0.1033026	      -4.2847088	      -3.9747679	       0.5033066	      -4.1287135
