"sex"	"age_group"	"cancer_site"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
Men	20-34	Bladder	0	Full Range	2001	2019	-4.8658	-8.2120	-1.3976	1	-2.9391	0.009169
Men	20-34	Brain and CNS	0	Full Range	2001	2019	0.8950	0.4291	1.3631	1	4.0617	0.000811
Men	20-34	Colorectum	1	Full Range	2001	2019	3.9757	1.8226	6.1743	1	3.6517	0.000261
Men	20-34	Hodgkin Lymphoma	0	Full Range	2001	2019	1.1601	0.4965	1.8282	1	3.6975	0.001788
Men	20-34	Kaposi Sarcoma	1	Full Range	2001	2019	-2.3769	-5.4107	0.7541	0	-1.4935	0.135303
Men	20-34	Kidney	0	Full Range	2001	2019	4.4181	3.0488	5.8056	1	6.9099	0.000003
Men	20-34	Leukaemia	0	Full Range	2001	2019	1.4343	0.4053	2.4739	1	2.9467	0.009023
Men	20-34	Liver	0	Full Range	2001	2019	0.3814	-1.9814	2.8012	0	0.3372	0.740098
Men	20-34	Lung	0	Full Range	2001	2019	1.3631	-0.2113	2.9624	0	1.8247	0.085674
Men	20-34	Melanoma	0	Full Range	2001	2019	0.2342	-0.3286	0.8002	0	0.8764	0.393021
Men	20-34	MultipleMyeloma	0	Full Range	2001	2019	6.7765	2.8239	10.8810	1	3.6674	0.001908
Men	20-34	Non-Hodgkin Lymphoma	0	Full Range	2001	2019	0.1114	-0.4278	0.6535	0	0.4348	0.669199
Men	20-34	Oesophagus	0	Full Range	2001	2019	3.2643	-0.7266	7.4157	0	1.7195	0.103683
Men	20-34	Oral	1	Full Range	2001	2019	-0.1695	-2.6123	2.3345	0	-0.1342	0.893220
Men	20-34	Pancreas	0	Full Range	2001	2019	3.5824	-0.0866	7.3862	0	2.0591	0.055138
Men	20-34	Stomach	0	Full Range	2001	2019	-0.8555	-3.3068	1.6579	0	-0.7241	0.478853
Men	20-34	Testis	1	Full Range	2001	2019	0.7641	0.0236	1.5101	1	2.0226	0.043119
Men	20-34	Thyroid	0	Full Range	2001	2019	4.6279	3.6076	5.6582	1	9.7404	0.000000
