"sex"	"age_group"	"cancer_site"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
Men	20-34	Bladder	0	0	2001	2019	-4.8658	-8.2120	-1.3976	1	-2.9391	0.009169
Men	20-34	Brain and CNS	0	0	2001	2019	0.8950	0.4291	1.3631	1	4.0617	0.000811
Men	20-34	Colorectum	1	0	2001	2014	9.1168	7.3312	10.9322	1	11.3412	0.000000
Men	20-34	Colorectum	1	1	2014	2019	-8.2860	-14.5199	-1.5974	1	-2.6354	0.019578
Men	20-34	Hodgkin Lymphoma	0	0	2001	2019	1.1601	0.4965	1.8282	1	3.6975	0.001788
Men	20-34	Kidney	0	0	2001	2019	4.4181	3.0488	5.8056	1	6.9099	0.000003
Men	20-34	Leukaemia	0	0	2001	2019	1.4343	0.4053	2.4739	1	2.9467	0.009023
Men	20-34	Liver	0	0	2001	2019	0.3814	-1.9814	2.8012	0	0.3372	0.740098
Men	20-34	Lung	0	0	2001	2019	1.3631	-0.2113	2.9624	0	1.8247	0.085674
Men	20-34	Melanoma	0	0	2001	2019	0.2342	-0.3286	0.8002	0	0.8764	0.393021
Men	20-34	MultipleMyeloma	0	0	2001	2019	6.7765	2.8239	10.8810	1	3.6674	0.001908
Men	20-34	Non-Hodgkin Lymphoma	0	0	2001	2019	0.1114	-0.4278	0.6535	0	0.4348	0.669199
Men	20-34	Oesophagus	0	0	2001	2019	3.2643	-0.7266	7.4157	0	1.7195	0.103683
Men	20-34	Oral	1	0	2001	2012	2.8910	0.0940	5.7660	1	2.2179	0.043609
Men	20-34	Oral	1	1	2012	2019	-4.7960	-9.8570	0.5492	0	-1.9297	0.074158
Men	20-34	Pancreas	0	0	2001	2019	3.5824	-0.0866	7.3862	0	2.0591	0.055138
Men	20-34	Stomach	0	0	2001	2019	-0.8555	-3.3068	1.6579	0	-0.7241	0.478853
Men	20-34	Testis	1	0	2001	2009	2.0579	0.6839	3.4506	1	3.2233	0.006130
Men	20-34	Testis	1	1	2009	2019	-0.2591	-1.2190	0.7102	0	-0.5754	0.574168
Men	20-34	Thyroid	0	0	2001	2019	4.6279	3.6076	5.6582	1	9.7404	0.000000
Men	35-49	Bladder	0	0	2001	2019	-1.4093	-2.2285	-0.5832	1	-3.5887	0.002264
Men	35-49	Brain and CNS	0	0	2001	2019	0.8059	0.4274	1.1857	1	4.5026	0.000314
Men	35-49	Colorectum	1	0	2001	2015	2.1776	1.7061	2.6513	1	9.9895	0.000000
Men	35-49	Colorectum	1	1	2015	2019	5.1719	1.9413	8.5049	1	3.4665	0.003778
Men	35-49	Gallbladder	0	0	2001	2019	2.6030	0.8902	4.3448	1	3.2206	0.005020
Men	35-49	Hodgkin Lymphoma	0	0	2001	2019	0.9302	0.4043	1.4588	1	3.7396	0.001631
Men	35-49	Kidney	2	0	2001	2005	0.4624	-3.8081	4.9225	0	0.2337	0.819475
Men	35-49	Kidney	2	1	2005	2015	7.0304	5.6967	8.3810	1	11.9254	0.000000
Men	35-49	Kidney	2	2	2015	2019	0.0886	-4.1661	4.5321	0	0.0449	0.965019
Men	35-49	Larynx	0	0	2001	2019	-1.0152	-1.9384	-0.0833	1	-2.2975	0.034557
Men	35-49	Leukaemia	0	0	2001	2019	1.5514	0.9396	2.1668	1	5.3753	0.000050
Men	35-49	Liver	1	0	2001	2014	4.4778	2.4674	6.5276	1	4.8355	0.000264
Men	35-49	Liver	1	1	2014	2019	-3.9781	-11.6164	4.3203	0	-1.0504	0.311336
Men	35-49	Lung	1	0	2001	2003	-7.0570	-19.8502	7.7781	0	-1.0599	0.307119
Men	35-49	Lung	1	1	2003	2019	-0.3300	-0.8944	0.2377	0	-1.2483	0.232394
Men	35-49	Melanoma	1	0	2001	2014	3.4352	2.5416	4.3367	1	8.3483	0.000001
Men	35-49	Melanoma	1	1	2014	2019	-3.3545	-6.8668	0.2902	0	-1.9769	0.068094
Men	35-49	MultipleMyeloma	0	0	2001	2019	4.3168	3.1695	5.4768	1	8.0627	0.000000
Men	35-49	Non-Hodgkin Lymphoma	1	0	2001	2010	2.8270	1.5553	4.1147	1	4.8045	0.000280
Men	35-49	Non-Hodgkin Lymphoma	1	1	2010	2019	-2.0567	-3.2680	-0.8301	1	-3.5814	0.003007
Men	35-49	Oesophagus	0	0	2001	2019	-0.4087	-1.1218	0.3095	0	-1.2025	0.245653
Men	35-49	Oral	1	0	2001	2013	3.3037	2.8271	3.7825	1	15.0750	0.000000
Men	35-49	Oral	1	1	2013	2019	-1.1522	-2.4503	0.1632	0	-1.8803	0.081037
Men	35-49	Pancreas	0	0	2001	2019	2.0360	1.1535	2.9262	1	4.8955	0.000136
Men	35-49	Prostate	1	0	2001	2011	9.7788	8.0460	11.5394	1	12.5766	0.000000
Men	35-49	Prostate	1	1	2011	2019	4.2390	1.9403	6.5896	1	3.9931	0.001334
Men	35-49	Stomach	0	0	2001	2019	-1.1987	-1.9558	-0.4358	1	-3.3078	0.004160
Men	35-49	Testis	0	0	2001	2019	0.6772	0.2277	1.1288	1	3.1820	0.005454
Men	35-49	Thyroid	1	0	2001	2012	8.7753	7.5937	9.9699	1	16.5169	0.000000
Men	35-49	Thyroid	1	1	2012	2019	3.8771	1.6525	6.1505	1	3.7685	0.002076
Men	50-64	Bladder	2	0	2001	2004	-6.5666	-12.0434	-0.7487	1	-2.4748	0.030856
Men	50-64	Bladder	2	1	2004	2007	1.9381	-9.6624	15.0282	0	0.3497	0.733159
Men	50-64	Bladder	2	2	2007	2019	-4.0525	-4.7355	-3.3646	1	-12.7458	0.000000
Men	50-64	Brain and CNS	1	0	2001	2009	0.9346	-0.4345	2.3225	0	1.4609	0.166114
Men	50-64	Brain and CNS	1	1	2009	2019	-1.2513	-2.2088	-0.2843	1	-2.7714	0.015000
