"sex"	"age_group"	"cancer_site"	"year"	"Rate"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	20-34	Bladder	2001	0.40	0.29	NA	-4.8658*	0	0
Men	20-34	Bladder	2002	0.30	0.27	NA	-4.8658*	0	0
Men	20-34	Bladder	2003	0.40	0.26	NA	-4.8658*	0	0
Men	20-34	Bladder	2004	0.10	0.25	NA	-4.8658*	0	0
Men	20-34	Bladder	2005	0.20	0.24	NA	-4.8658*	0	0
Men	20-34	Bladder	2006	0.30	0.22	NA	-4.8658*	0	0
Men	20-34	Bladder	2007	0.20	0.21	NA	-4.8658*	0	0
Men	20-34	Bladder	2008	0.20	0.20	NA	-4.8658*	0	0
Men	20-34	Bladder	2009	0.20	0.19	NA	-4.8658*	0	0
Men	20-34	Bladder	2010	0.30	0.18	NA	-4.8658*	0	0
Men	20-34	Bladder	2011	0.20	0.18	NA	-4.8658*	0	0
Men	20-34	Bladder	2012	0.10	0.17	NA	-4.8658*	0	0
Men	20-34	Bladder	2013	0.20	0.16	NA	-4.8658*	0	0
Men	20-34	Bladder	2014	0.10	0.15	NA	-4.8658*	0	0
Men	20-34	Bladder	2015	0.10	0.14	NA	-4.8658*	0	0
Men	20-34	Bladder	2016	0.10	0.14	NA	-4.8658*	0	0
Men	20-34	Bladder	2017	0.10	0.13	NA	-4.8658*	0	0
Men	20-34	Bladder	2018	0.20	0.12	NA	-4.8658*	0	0
Men	20-34	Bladder	2019	0.20	0.12	NA	-4.8658*	0	0
Men	20-34	Brain and CNS	2001	3.30	3.11	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2002	3.00	3.14	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2003	3.00	3.17	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2004	2.90	3.20	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2005	3.30	3.22	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2006	3.40	3.25	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2007	3.50	3.28	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2008	3.30	3.31	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2009	3.20	3.34	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2010	3.30	3.37	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2011	3.80	3.40	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2012	3.40	3.43	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2013	3.50	3.46	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2014	3.50	3.49	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2015	3.60	3.52	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2016	3.60	3.56	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2017	3.70	3.59	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2018	3.40	3.62	NA	0.8950*	0	0
Men	20-34	Brain and CNS	2019	3.50	3.65	NA	0.8950*	0	0
Men	20-34	Colorectum	2001	1.50	1.38	NA	9.1168*	1	1
Men	20-34	Colorectum	2002	1.30	1.51	NA	9.1168*	1	1
Men	20-34	Colorectum	2003	1.70	1.65	NA	9.1168*	1	1
Men	20-34	Colorectum	2004	1.90	1.80	NA	9.1168*	1	1
Men	20-34	Colorectum	2005	2.00	1.96	NA	9.1168*	1	1
Men	20-34	Colorectum	2006	2.30	2.14	NA	9.1168*	1	1
Men	20-34	Colorectum	2007	2.10	2.34	NA	9.1168*	1	1
Men	20-34	Colorectum	2008	2.60	2.55	NA	9.1168*	1	1
Men	20-34	Colorectum	2009	3.00	2.78	NA	9.1168*	1	1
Men	20-34	Colorectum	2010	2.50	3.04	NA	9.1168*	1	1
Men	20-34	Colorectum	2011	3.40	3.31	NA	9.1168*	1	1
