"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Men	20-34	Bladder	0	19	2	17	2.791104	0.164183	Uncorrelated	0	NA	NA	NA	98.570932	34.113302	2.889516	0.010186	-0.049882	0.016972	-2.939107	0.009169	NA	NA	NA	NA	1163.717364	-0.578960	0.000288	1.000000	-0.999996	1.000000
Men	20-34	Brain and CNS	0	19	2	17	0.046632	0.002743	Uncorrelated	0	NA	NA	NA	-16.694330	4.409364	-3.786109	0.001475	0.008910	0.002194	4.061714	0.000811	NA	NA	NA	NA	19.442487	-0.009673	0.000005	1.000000	-0.999996	1.000000
Men	20-34	Colorectum	1	19	4	15	0.152191	0.010146	Uncorrelated	0	NA	NA	NA	-174.259547	15.440134	-11.286142	0.000000	0.087249	0.007693	11.341156	0.000000	NA	NA	NA	NA	238.397736	0.000000	4382.170484	1.000000	0.000000	1.000000
Men	20-34	Colorectum	1	19	4	15	0.152191	0.010146	Uncorrelated	1	2014	2012	2016	175.661277	66.197964	2.653575	0.018897	-0.086495	0.032820	-2.635443	0.019578	-0.173744	0.033710	-5.154147	0.000146	0.000059	0.000000	0.001077	1.000000	0.000000	1.000000
Men	20-34	Hodgkin Lymphoma	0	19	2	17	0.094303	0.005547	Uncorrelated	0	NA	NA	NA	-21.730522	6.270456	-3.465541	0.002957	0.011535	0.003120	3.697463	0.001788	NA	NA	NA	NA	39.318624	-0.019561	0.000010	1.000000	-0.999996	1.000000
Men	20-34	Kidney	0	19	2	17	0.379329	0.022313	Uncorrelated	0	NA	NA	NA	-87.160201	12.576035	-6.930658	0.000002	0.043233	0.006257	6.909870	0.000003	NA	NA	NA	NA	158.156654	-0.078684	0.000039	1.000000	-0.999996	1.000000
Men	20-34	Leukaemia	0	19	2	17	0.226331	0.013314	Uncorrelated	0	NA	NA	NA	-27.659667	9.714208	-2.847341	0.011137	0.014241	0.004833	2.946661	0.009023	NA	NA	NA	NA	94.365838	-0.046948	0.000023	1.000000	-0.999996	1.000000
Men	20-34	Liver	0	19	2	17	1.235141	0.072655	Uncorrelated	0	NA	NA	NA	-8.787062	22.693111	-0.387213	0.703403	0.003807	0.011290	0.337194	0.740098	NA	NA	NA	NA	514.977298	-0.256206	0.000127	1.000000	-0.999996	1.000000
Men	20-34	Lung	0	19	2	17	0.533484	0.031381	Uncorrelated	0	NA	NA	NA	-27.714973	14.914081	-1.858309	0.080529	0.013539	0.007420	1.824682	0.085674	NA	NA	NA	NA	222.429821	-0.110661	0.000055	1.000000	-0.999996	1.000000
Men	20-34	Melanoma	0	19	2	17	0.069018	0.004060	Uncorrelated	0	NA	NA	NA	-3.100211	5.364364	-0.577927	0.570890	0.002339	0.002669	0.876414	0.393021	NA	NA	NA	NA	28.776404	-0.014317	0.000007	1.000000	-0.999996	1.000000
Men	20-34	MultipleMyeloma	0	19	2	17	3.097225	0.182190	Uncorrelated	0	NA	NA	NA	-133.394518	35.935371	-3.712067	0.001732	0.065568	0.017878	3.667450	0.001908	NA	NA	NA	NA	1291.350922	-0.642458	0.000320	1.000000	-0.999996	1.000000
Men	20-34	Non-Hodgkin Lymphoma	0	19	2	17	0.063491	0.003735	Uncorrelated	0	NA	NA	NA	-0.996402	5.145057	-0.193662	0.848736	0.001113	0.002560	0.434768	0.669199	NA	NA	NA	NA	26.471608	-0.013170	0.000007	1.000000	-0.999996	1.000000
Men	20-34	Oesophagus	0	19	2	17	3.381759	0.198927	Uncorrelated	0	NA	NA	NA	-66.277793	37.549756	-1.765066	0.095508	0.032122	0.018681	1.719461	0.103683	NA	NA	NA	NA	1409.984184	-0.701479	0.000349	1.000000	-0.999996	1.000000
Men	20-34	Oral	1	19	4	15	0.272812	0.018187	Uncorrelated	0	NA	NA	NA	-57.125609	25.776444	-2.216194	0.043751	0.028500	0.012850	2.217923	0.043609	NA	NA	NA	NA	664.425087	0.000000	2636.326662	1.000000	0.000000	1.000000
Men	20-34	Oral	1	19	4	15	0.272812	0.018187	Uncorrelated	1	2012	2007	2015	99.100865	51.345172	1.930091	0.074109	-0.049148	0.025469	-1.929724	0.074158	-0.077647	0.028527	-2.721915	0.016531	0.000165	0.000000	0.000649	1.000000	0.000000	1.000000
Men	20-34	Pancreas	0	19	2	17	2.831244	0.166544	Uncorrelated	0	NA	NA	NA	-72.344467	34.357726	-2.105624	0.050408	0.035198	0.017093	2.059149	0.055138	NA	NA	NA	NA	1180.453350	-0.587286	0.000292	1.000000	-0.999996	1.000000
Men	20-34	Stomach	0	19	2	17	1.364377	0.080257	Uncorrelated	0	NA	NA	NA	16.265267	23.850798	0.681959	0.504451	-0.008592	0.011866	-0.724098	0.478853	NA	NA	NA	NA	568.860587	-0.283013	0.000141	1.000000	-0.999996	1.000000
