"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	20-34	Bladder	1	0	19	2	17	       2.7911036	      -1.6080610	      -1.6080610	       0.0000000	      -1.6080610
Men	20-34	Bladder	2	1	19	4	15	       2.0786822	      -1.5928229	      -1.4378525	       0.2552472	      -1.5532672
Men	20-34	Bladder	3	2	19	6	13	       1.9301977	      -1.3569937	      -1.0470527	       0.5440806	      -1.1883608
Men	20-34	Bladder	4	3	19	8	11	       1.3991234	      -1.3688293	      -0.9039178	       0.5440806	      -1.1158800
Men	20-34	Brain and CNS	1	0	19	2	17	       0.0466316	      -5.6999750	      -5.6999750	       0.0000000	      -5.6999750
Men	20-34	Brain and CNS	2	1	19	4	15	       0.0400836	      -5.5413448	      -5.3863744	       0.1404194	      -5.5195840
Men	20-34	Brain and CNS	3	2	19	6	13	       0.0284642	      -5.5737225	      -5.2637816	       0.7309276	      -5.3471781
Men	20-34	Brain and CNS	4	3	19	8	11	       0.0254578	      -5.3754097	      -4.9104982	       0.7309276	      -5.0355931
Men	20-34	Colorectum	1	0	19	2	17	       0.7546078	      -2.9160552	      -2.9160552	       0.0000000	      -2.9160552
Men	20-34	Colorectum	2	1	19	4	15	       0.1521908	      -4.2071774	      -4.0522069	       0.7983180	      -4.0834617
Men	20-34	Colorectum	3	2	19	6	13	       0.1441563	      -3.9514735	      -3.6415325	       0.2072618	      -3.8872346
Men	20-34	Colorectum	4	3	19	8	11	       0.1386496	      -3.6804808	      -3.2155694	       0.2072618	      -3.5841224
Men	20-34	Gallbladder	1	0	19	0	0	       0.0000000	       0.0000000	       0.0000000	       0.0000000	       0.0000000
Men	20-34	Hodgkin Lymphoma	1	0	19	2	17	       0.0943033	      -4.9957375	      -4.9957375	       0.0000000	      -4.9957375
Men	20-34	Hodgkin Lymphoma	2	1	19	4	15	       0.0769209	      -4.8895353	      -4.7345648	       0.1843246	      -4.8609704
