"sex"	"age_group"	"cancer_site"	"year"	"Rate"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	20-49	Bladder	2001	1.70	1.59	NA	-2.0954*	0	0
Men	20-49	Bladder	2002	1.60	1.56	NA	-2.0954*	0	0
Men	20-49	Bladder	2003	1.40	1.52	NA	-2.0954*	0	0
Men	20-49	Bladder	2004	1.50	1.49	NA	-2.0954*	0	0
Men	20-49	Bladder	2005	1.40	1.46	NA	-2.0954*	0	0
Men	20-49	Bladder	2006	1.30	1.43	NA	-2.0954*	0	0
Men	20-49	Bladder	2007	1.20	1.40	NA	-2.0954*	0	0
Men	20-49	Bladder	2008	1.50	1.37	NA	-2.0954*	0	0
Men	20-49	Bladder	2009	1.50	1.34	NA	-2.0954*	0	0
Men	20-49	Bladder	2010	1.40	1.31	NA	-2.0954*	0	0
Men	20-49	Bladder	2011	1.30	1.29	NA	-2.0954*	0	0
Men	20-49	Bladder	2012	1.30	1.26	NA	-2.0954*	0	0
Men	20-49	Bladder	2013	1.30	1.23	NA	-2.0954*	0	0
Men	20-49	Bladder	2014	1.30	1.21	NA	-2.0954*	0	0
Men	20-49	Bladder	2015	1.20	1.18	NA	-2.0954*	0	0
Men	20-49	Bladder	2016	1.10	1.16	NA	-2.0954*	0	0
Men	20-49	Bladder	2017	1.00	1.13	NA	-2.0954*	0	0
Men	20-49	Bladder	2018	1.00	1.11	NA	-2.0954*	0	0
Men	20-49	Bladder	2019	1.20	1.09	NA	-2.0954*	0	0
Men	20-49	Brain and CNS	2001	4.70	4.58	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2002	4.70	4.61	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2003	4.30	4.64	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2004	4.50	4.67	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2005	4.80	4.70	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2006	4.90	4.74	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2007	4.80	4.77	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2008	4.90	4.80	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2009	4.90	4.83	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2010	4.60	4.86	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2011	5.10	4.90	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2012	4.80	4.93	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2013	5.00	4.96	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2014	4.90	4.99	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2015	5.20	5.03	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2016	5.20	5.06	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2017	5.10	5.09	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2018	5.10	5.13	NA	0.6678*	0	0
Men	20-49	Brain and CNS	2019	5.00	5.16	NA	0.6678*	0	0
Men	20-49	Colorectum	2001	6.70	7.00	NA	2.6783*	0	0
Men	20-49	Colorectum	2002	7.10	7.18	NA	2.6783*	0	0
Men	20-49	Colorectum	2003	7.20	7.38	NA	2.6783*	0	0
Men	20-49	Colorectum	2004	7.90	7.57	NA	2.6783*	0	0
Men	20-49	Colorectum	2005	8.10	7.78	NA	2.6783*	0	0
Men	20-49	Colorectum	2006	8.30	7.98	NA	2.6783*	0	0
Men	20-49	Colorectum	2007	7.80	8.20	NA	2.6783*	0	0
Men	20-49	Colorectum	2008	8.40	8.42	NA	2.6783*	0	0
Men	20-49	Colorectum	2009	8.80	8.64	NA	2.6783*	0	0
Men	20-49	Colorectum	2010	8.30	8.88	NA	2.6783*	0	0
Men	20-49	Colorectum	2011	9.30	9.11	NA	2.6783*	0	0
Men	20-49	Colorectum	2012	9.90	9.36	NA	2.6783*	0	0
Men	20-49	Colorectum	2013	9.80	9.61	NA	2.6783*	0	0
Men	20-49	Colorectum	2014	10.20	9.87	NA	2.6783*	0	0
Men	20-49	Colorectum	2015	9.80	10.13	NA	2.6783*	0	0
Men	20-49	Colorectum	2016	10.80	10.40	NA	2.6783*	0	0
Men	20-49	Colorectum	2017	10.20	10.68	NA	2.6783*	0	0
Men	20-49	Colorectum	2018	10.70	10.97	NA	2.6783*	0	0
Men	20-49	Colorectum	2019	11.20	11.26	NA	2.6783*	0	0
Men	20-49	Gallbladder	2001	0.10	0.18	NA	3.1224*	0	0
Men	20-49	Gallbladder	2002	0.20	0.18	NA	3.1224*	0	0
