"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	20-49	Bladder	1	0	19	2	17	       0.1201449	      -4.7535551	      -4.7535551	       0.0000000	      -4.7535551
Men	20-49	Bladder	2	1	19	4	15	       0.1121431	      -4.5125366	      -4.3575661	       0.0666009	      -4.5022154
Men	20-49	Bladder	3	2	19	6	13	       0.0722229	      -4.6426139	      -4.3326729	       0.6100418	      -4.4535369
Men	20-49	Bladder	4	3	19	8	11	       0.0522170	      -4.6570230	      -4.1921116	       0.6482434	      -4.3556472
Men	20-49	Brain and CNS	1	0	19	2	17	       0.0193804	      -6.5779904	      -6.5779904	       0.0000000	      -6.5779904
Men	20-49	Brain and CNS	2	1	19	4	15	       0.0178755	      -6.3488832	      -6.1939127	       0.0776529	      -6.3368493
Men	20-49	Brain and CNS	3	2	19	6	13	       0.0119849	      -6.4387202	      -6.1287792	       0.8308717	      -6.1811990
Men	20-49	Brain and CNS	4	3	19	8	11	       0.0108298	      -6.2301316	      -5.7652202	       0.8308717	      -5.8438498
Men	20-49	Colorectum	1	0	19	2	17	       0.0251825	      -6.3161051	      -6.3161051	       0.0000000	      -6.3161051
Men	20-49	Colorectum	2	1	19	4	15	       0.0210970	      -6.1831830	      -6.0282125	       0.1622360	      -6.1580412
Men	20-49	Colorectum	3	2	19	6	13	       0.0197338	      -5.9400391	      -5.6300981	       0.5602114	      -5.7664066
Men	20-49	Colorectum	4	3	19	8	11	       0.0157764	      -5.8539136	      -5.3890022	       0.5567743	      -5.5950629
Men	20-49	Gallbladder	1	0	19	2	17	       1.1488770	      -2.4957131	      -2.4957131	       0.0000000	      -2.4957131
Men	20-49	Gallbladder	2	1	19	4	15	       0.8281704	      -2.5130935	      -2.3581230	       0.2791479	      -2.4698338
Men	20-49	Gallbladder	3	2	19	6	13	       0.7787043	      -2.2647400	      -1.9547991	       0.6053917	      -2.0771043
Men	20-49	Gallbladder	4	3	19	8	11	       0.6957120	      -2.0674947	      -1.6025833	       0.7077451	      -1.7384559
Men	20-49	Hodgkin Lymphoma	1	0	19	2	17	       0.0466440	      -5.6997095	      -5.6997095	       0.0000000	      -5.6997095
Men	20-49	Hodgkin Lymphoma	2	1	19	4	15	       0.0384842	      -5.5820651	      -5.4270947	       0.1749379	      -5.5549549
Men	20-49	Hodgkin Lymphoma	3	2	19	6	13	       0.0331169	      -5.4223282	      -5.1123873	       0.6912941	      -5.2080678
Men	20-49	Hodgkin Lymphoma	4	3	19	8	11	       0.0306872	      -5.1885842	      -4.7236728	       0.6316390	      -4.8949280
Men	20-49	Kaposi Sarcoma	1	0	19	2	17	       1.0575303	      -2.5785617	      -2.5785617	       0.0000000	      -2.5785617
Men	20-49	Kaposi Sarcoma	2	1	19	4	15	       0.3062838	      -3.5078002	      -3.3528297	       0.7103782	      -3.3977125
Men	20-49	Kaposi Sarcoma	3	2	19	6	13	       0.2663504	      -3.3375588	      -3.0276178	       0.6381825	      -3.1397599
Men	20-49	Kaposi Sarcoma	4	3	19	8	11	       0.2006921	      -3.3106588	      -2.8457473	       0.6657027	      -3.0011660
Men	20-49	Kidney	1	0	19	2	17	       0.0732040	      -5.2490028	      -5.2490028	       0.0000000	      -5.2490028
Men	20-49	Kidney	2	1	19	4	15	       0.0428009	      -5.4757531	      -5.3207827	       0.4153204	      -5.4113907
Men	20-49	Kidney	3	2	19	6	13	       0.0253036	      -5.6914231	      -5.3814821	       0.7465197	      -5.4600461
Men	20-49	Kidney	4	3	19	8	11	       0.0218210	      -5.5295557	      -5.0646443	       0.8199581	      -5.1483479
Men	20-49	Larynx	1	0	19	2	17	       0.2251201	      -4.1256194	      -4.1256194	       0.0000000	      -4.1256194
Men	20-49	Larynx	2	1	19	4	15	       0.1931849	      -3.9686646	      -3.8136941	       0.1418584	      -3.9466808
Men	20-49	Larynx	3	2	19	6	13	       0.1557663	      -3.8740146	      -3.5640737	       0.3904146	      -3.7530092
Men	20-49	Larynx	4	3	19	8	11	       0.1324936	      -3.7258958	      -3.2609844	       0.4729867	      -3.5059989
Men	20-49	Leukaemia	1	0	19	2	17	       0.0575600	      -5.4894260	      -5.4894260	       0.0000000	      -5.4894260
Men	20-49	Leukaemia	2	1	19	4	15	       0.0460316	      -5.4029848	      -5.2480143	       0.2002849	      -5.3719466
Men	20-49	Leukaemia	3	2	19	6	13	       0.0404176	      -5.2231054	      -4.9131645	       0.1968913	      -5.1620808
Men	20-49	Leukaemia	4	3	19	8	11	       0.0389970	      -4.9489448	      -4.4840334	       0.6153105	      -4.6628799
Men	20-49	Liver	1	0	19	2	17	       0.3128736	      -3.7964541	      -3.7964541	       0.0000000	      -3.7964541
