"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	20-49	Colorectum	1	0	19	2	17	       0.0233967	      -6.3896579	      -6.3896579	       0.0000000	      -6.3896579
Men	20-49	Colorectum	2	1	19	4	15	       0.0191605	      -6.2794597	      -6.1244892	       0.1810586	      -6.2514010
Men	20-49	Colorectum	3	2	19	6	13	       0.0179639	      -6.0340059	      -5.7240650	       0.5656933	      -5.8586744
Men	20-49	Colorectum	4	3	19	8	11	       0.0148493	      -5.9144759	      -5.4495645	       0.6147620	      -5.6286660
Men	20-49	Gallbladder	1	0	19	2	17	       1.1488770	      -2.4957131	      -2.4957131	       0.0000000	      -2.4957131
Men	20-49	Gallbladder	2	1	19	4	15	       0.8281704	      -2.5130935	      -2.3581230	       0.2791479	      -2.4698338
Men	20-49	Gallbladder	3	2	19	6	13	       0.7787043	      -2.2647400	      -1.9547991	       0.6053917	      -2.0771043
Men	20-49	Gallbladder	4	3	19	8	11	       0.6957120	      -2.0674947	      -1.6025833	       0.7077451	      -1.7384559
Men	20-49	Kidney	1	0	19	2	17	       0.0732040	      -5.2490028	      -5.2490028	       0.0000000	      -5.2490028
Men	20-49	Kidney	2	1	19	4	15	       0.0428009	      -5.4757531	      -5.3207827	       0.4153204	      -5.4113907
Men	20-49	Kidney	3	2	19	6	13	       0.0253036	      -5.6914231	      -5.3814821	       0.7465197	      -5.4600461
Men	20-49	Kidney	4	3	19	8	11	       0.0218210	      -5.5295557	      -5.0646443	       0.8199581	      -5.1483479
Men	20-49	Liver	1	0	19	2	17	       0.3128736	      -3.7964541	      -3.7964541	       0.0000000	      -3.7964541
Men	20-49	Liver	2	1	19	4	15	       0.2042612	      -3.9129130	      -3.7579425	       0.3471447	      -3.8591158
Men	20-49	Liver	3	2	19	6	13	       0.1750232	      -3.7574530	      -3.4475121	       0.5355224	      -3.5914727
Men	20-49	Liver	4	3	19	8	11	       0.1585380	      -3.5464360	      -3.0815246	       0.5355224	      -3.2974655
Men	20-49	MultipleMyeloma	1	0	19	2	17	       0.2631123	      -3.9696725	      -3.9696725	       0.0000000	      -3.9696725
Men	20-49	MultipleMyeloma	2	1	19	4	15	       0.2194194	      -3.8413273	      -3.6863568	       0.1660617	      -3.8155927
Men	20-49	MultipleMyeloma	3	2	19	6	13	       0.1599763	      -3.8473460	      -3.5374051	       0.6988699	      -3.6307376
Men	20-49	MultipleMyeloma	4	3	19	8	11	       0.1448676	      -3.6366102	      -3.1716988	       0.6988699	      -3.3116976
Men	20-49	Oral	1	0	19	2	17	       0.0751384	      -5.2229212	      -5.2229212	       0.0000000	      -5.2229212
Men	20-49	Oral	2	1	19	4	15	       0.0065119	      -7.3586791	      -7.2037086	       0.9133345	      -7.2171392
Men	20-49	Oral	3	2	19	6	13	       0.0063086	      -7.0804528	      -6.7705118	       0.8940226	      -6.8033585
Men	20-49	Oral	4	3	19	8	11	       0.0061526	      -6.7955560	      -6.3306446	       0.7615708	      -6.4414931
Men	20-49	Pancreas	1	0	19	2	17	       0.1007052	      -4.9300558	      -4.9300558	       0.0000000	      -4.9300558
Men	20-49	Pancreas	2	1	19	4	15	       0.0850219	      -4.7894039	      -4.6344334	       0.1557351	      -4.7652695
Men	20-49	Pancreas	3	2	19	6	13	       0.0618059	      -4.7983722	      -4.4884312	       0.5587414	      -4.6251953
Men	20-49	Pancreas	4	3	19	8	11	       0.0603204	      -4.5127596	      -4.0478481	       0.3365879	      -4.3562760
Men	20-49	Thyroid	1	0	19	2	17	       0.0998087	      -4.9389978	      -4.9389978	       0.0000000	      -4.9389978
Men	20-49	Thyroid	2	1	19	4	15	       0.0566849	      -5.1948054	      -5.0398349	       0.4320651	      -5.1278480
Men	20-49	Thyroid	3	2	19	6	13	       0.0357238	      -5.3465554	      -5.0366144	       0.8010121	      -5.0982889
Men	20-49	Thyroid	4	3	19	8	11	       0.0333432	      -5.1055763	      -4.6406649	       0.8471162	      -4.7117423
Men	50+	Colorectum	1	0	19	2	17	       0.0276085	      -6.2241307	      -6.2241307	       0.0000000	      -6.2241307
Men	50+	Colorectum	2	1	19	4	15	       0.0054696	      -7.5331089	      -7.3781384	       0.8018874	      -7.4088400
Men	50+	Colorectum	3	2	19	6	13	       0.0020578	      -8.2007581	      -7.8908171	       0.9052885	      -7.9201721
Men	50+	Colorectum	4	3	19	8	11	       0.0015603	      -8.1675412	      -7.7026298	       0.9052885	      -7.7466622
Men	50+	Gallbladder	1	0	19	2	17	       0.0724175	      -5.2598059	      -5.2598059	       0.0000000	      -5.2598059
Men	50+	Gallbladder	2	1	19	4	15	       0.0551849	      -5.2216231	      -5.0666526	       0.2379614	      -5.1847461
Men	50+	Gallbladder	3	2	19	6	13	       0.0359994	      -5.3388684	      -5.0289275	       0.8313396	      -5.0812022
Men	50+	Gallbladder	4	3	19	8	11	       0.0323195	      -5.1367609	      -4.6718495	       0.8313396	      -4.7502616
Men	50+	Kidney	1	0	19	2	17	       0.0401645	      -5.8492701	      -5.8492701	       0.0000000	      -5.8492701
Men	50+	Kidney	2	1	19	4	15	       0.0160124	      -6.4589511	      -6.3039806	       0.6013303	      -6.3657626
Men	50+	Kidney	3	2	19	6	13	       0.0123864	      -6.4057712	      -6.0958302	       0.4542055	      -6.2649943
Men	50+	Kidney	4	3	19	8	11	       0.0072976	      -6.6248850	      -6.1599736	       0.8360944	      -6.2361752
Men	50+	Liver	1	0	19	2	17	       0.0475733	      -5.6799811	      -5.6799811	       0.0000000	      -5.6799811
Men	50+	Liver	2	1	19	4	15	       0.0124302	      -6.7121847	      -6.5572143	       0.7387153	      -6.5977057
Men	50+	Liver	3	2	19	6	13	       0.0106619	      -6.5556954	      -6.2457545	       0.7820019	      -6.3133210
Men	50+	Liver	4	3	19	8	11	       0.0101162	      -6.2982961	      -5.8333847	       0.8161527	      -5.9188575
Men	50+	MultipleMyeloma	1	0	19	2	17	       0.0392887	      -5.8713176	      -5.8713176	       0.0000000	      -5.8713176
Men	50+	MultipleMyeloma	2	1	19	4	15	       0.0369855	      -5.6217870	      -5.4668165	       0.0586218	      -5.6127023
Men	50+	MultipleMyeloma	3	2	19	6	13	       0.0247810	      -5.7122958	      -5.4023549	       0.4322311	      -5.5783297
Men	50+	MultipleMyeloma	4	3	19	8	11	       0.0232379	      -5.4666459	      -5.0017344	       0.4661710	      -5.2499177
Men	50+	Oral	1	0	19	2	17	       0.0239580	      -6.3659493	      -6.3659493	       0.0000000	      -6.3659493
Men	50+	Oral	2	1	19	4	15	       0.0143324	      -6.5697863	      -6.4148158	       0.4017688	      -6.5075240
Men	50+	Oral	3	2	19	6	13	       0.0120206	      -6.4357506	      -6.1258097	       0.5609001	      -6.2619047
Men	50+	Oral	4	3	19	8	11	       0.0111654	      -6.1996140	      -5.7347025	       0.5674696	      -5.9357908
Men	50+	Pancreas	1	0	19	2	17	       0.0056689	      -7.8072555	      -7.8072555	       0.0000000	      -7.8072555
