"age_group"	"sex"	"level"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
11-15 years	All children	Obese	2	0	1995	2004	5.2656	2.7923	7.7985	1	4.5535	0.000282
11-15 years	All children	Obese	2	1	2004	2007	-7.8268	-28.9626	19.5974	0	-0.6602	0.517983
11-15 years	All children	Obese	2	2	2007	2019	1.5883	0.0357	3.1650	1	2.1587	0.045464
11-15 years	All children	Overweight	0	0	1995	2019	0.1939	-0.2251	0.6147	0	0.9562	0.348908
11-15 years	All children	Overweight including obese	2	0	1995	2004	3.4221	2.1401	4.7202	1	5.6914	0.000027
11-15 years	All children	Overweight including obese	2	1	2004	2007	-4.3269	-16.5460	9.6812	0	-0.6830	0.503816
11-15 years	All children	Overweight including obese	2	2	2007	2019	0.7156	-0.0949	1.5326	0	1.8618	0.080006
11-15 years	Boys	Obese	1	0	1995	2000	6.9697	-0.3181	14.7903	0	1.9918	0.060229
11-15 years	Boys	Obese	1	1	2000	2019	0.8143	-0.1236	1.7609	0	1.8100	0.085346
11-15 years	Boys	Overweight	0	0	1995	2019	-0.0074	-0.7628	0.7538	0	-0.0201	0.984141
11-15 years	Boys	Overweight including obese	2	0	1995	2004	2.6620	1.3226	4.0191	1	4.2207	0.000575
11-15 years	Boys	Overweight including obese	2	1	2004	2016	-0.3147	-1.2769	0.6568	0	-0.6857	0.502139
11-15 years	Boys	Overweight including obese	2	2	2016	2019	5.1107	-2.1843	12.9497	0	1.4620	0.161978
11-15 years	Girls	Obese	2	0	1995	2004	4.9036	1.8727	8.0247	1	3.4450	0.003091
11-15 years	Girls	Obese	2	1	2004	2009	-6.3597	-15.4028	3.6501	0	-1.3651	0.190030
11-15 years	Girls	Obese	2	2	2009	2019	2.1179	-0.4036	4.7033	0	1.7685	0.094913
11-15 years	Girls	Overweight	0	0	1995	2019	0.3677	-0.2153	0.9542	0	1.3032	0.205402
11-15 years	Girls	Overweight including obese	2	0	1995	2004	3.8792	2.0117	5.7809	1	4.4262	0.000370
11-15 years	Girls	Overweight including obese	2	1	2004	2007	-6.2465	-23.1434	14.3651	0	-0.6848	0.502709
11-15 years	Girls	Overweight including obese	2	2	2007	2019	0.6421	-0.5336	1.8317	0	1.1492	0.266398
2-10 years	All children	Obese	1	0	1995	2004	4.5844	1.9396	7.2979	1	3.6504	0.001591
2-10 years	All children	Obese	1	1	2004	2019	-1.6577	-2.8169	-0.4847	1	-2.9407	0.008083
2-10 years	All children	Overweight	1	0	1995	2003	1.4978	-0.4307	3.4637	0	1.6166	0.121623
2-10 years	All children	Overweight	1	1	2003	2019	-1.0835	-1.7482	-0.4143	1	-3.3703	0.003042
2-10 years	All children	Overweight including obese	1	0	1995	2003	3.3349	1.3675	5.3404	1	3.5600	0.001963
2-10 years	All children	Overweight including obese	1	1	2003	2019	-1.2599	-1.9247	-0.5905	1	-3.9147	0.000859
2-10 years	Boys	Obese	1	0	1995	2003	5.6179	1.1353	10.2991	1	2.6290	0.016085
2-10 years	Boys	Obese	1	1	2003	2019	-1.1492	-2.6445	0.3691	0	-1.5818	0.129373
2-10 years	Boys	Overweight	1	0	1995	2010	0.3645	-0.7460	1.4875	0	0.6821	0.502985
2-10 years	Boys	Overweight	1	1	2010	2019	-2.5261	-4.8411	-0.1547	1	-2.2203	0.038115
2-10 years	Boys	Overweight including obese	1	0	1995	2003	3.4456	0.7225	6.2424	1	2.6489	0.015404
2-10 years	Boys	Overweight including obese	1	1	2003	2019	-1.2135	-2.1353	-0.2829	1	-2.7162	0.013298
2-10 years	Girls	Obese	1	0	1995	2005	3.9248	0.9163	7.0231	1	2.7336	0.012798
2-10 years	Girls	Obese	1	1	2005	2019	-2.5360	-4.2450	-0.7964	1	-3.0288	0.006631
2-10 years	Girls	Overweight	0	0	1995	2019	-0.2498	-0.9248	0.4298	0	-0.7621	0.453760
2-10 years	Girls	Overweight including obese	1	0	1995	2004	2.7642	1.0694	4.4874	1	3.4202	0.002712
2-10 years	Girls	Overweight including obese	1	1	2004	2019	-1.4876	-2.2430	-0.7263	1	-4.0612	0.000610
2-15 years	All children	Obese	2	0	1995	2004	5.0608	3.4780	6.6679	1	6.8612	0.000003
2-15 years	All children	Obese	2	1	2004	2012	-2.5761	-4.7173	-0.3869	1	-2.4778	0.024012
2-15 years	All children	Obese	2	2	2012	2019	1.2820	-0.9439	3.5579	0	1.2094	0.243069
2-15 years	All children	Overweight	1	0	1995	2004	1.3533	0.0004	2.7245	1	2.0865	0.049945
2-15 years	All children	Overweight	1	1	2004	2019	-0.8694	-1.4842	-0.2508	1	-2.9281	0.008316
2-15 years	All children	Overweight including obese	1	0	1995	2003	3.3050	1.9097	4.7194	1	4.9877	0.000071
2-15 years	All children	Overweight including obese	1	1	2003	2019	-0.8184	-1.2913	-0.3432	1	-3.5866	0.001845
2-15 years	Boys	Obese	2	0	1995	2004	5.6418	3.6470	7.6751	1	6.0741	0.000012
2-15 years	Boys	Obese	2	1	2004	2012	-2.6842	-5.3624	0.0698	0	-2.0571	0.055358
2-15 years	Boys	Obese	2	2	2012	2019	2.6261	-0.1983	5.5303	0	1.9598	0.066626
2-15 years	Boys	Overweight	0	0	1995	2019	-0.3557	-0.8750	0.1663	0	-1.4107	0.171728
2-15 years	Boys	Overweight including obese	1	0	1995	2003	3.2431	1.2943	5.2294	1	3.4936	0.002289
2-15 years	Boys	Overweight including obese	1	1	2003	2019	-0.6100	-1.2735	0.0579	0	-1.9057	0.071160
2-15 years	Girls	Obese	1	0	1995	2004	4.0774	1.9948	6.2026	1	4.1242	0.000526
2-15 years	Girls	Obese	1	1	2004	2019	-1.6267	-2.5429	-0.7019	1	-3.6561	0.001570
2-15 years	Girls	Overweight	1	0	1995	2003	2.0201	-0.4737	4.5764	0	1.6858	0.107381
2-15 years	Girls	Overweight	1	1	2003	2019	-0.6962	-1.5562	0.1713	0	-1.6754	0.109418
2-15 years	Girls	Overweight including obese	1	0	1995	2003	3.3978	1.7028	5.1210	1	4.2169	0.000424
2-15 years	Girls	Overweight including obese	1	1	2003	2019	-1.0648	-1.6379	-0.4884	1	-3.8441	0.001013
