"age_group"	"sex"	"level"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
11-15 years	All children	Obese	2	25	6	19	0.157076	0.008267	Uncorrelated	0	NA	NA	NA	-99.712812	22.527993	-4.426174	0.000370	0.051317	0.011270	4.553548	0.000282	NA	NA	NA	NA	507.510474	0.000000	0.015241	1.000000	0.000000	1.000000
11-15 years	All children	Obese	2	25	6	19	0.157076	0.008267	Uncorrelated	1	2004	2001	2006	166.454338	247.584043	0.672314	0.510419	-0.081501	0.123453	-0.660182	0.517983	-0.132818	0.123966	-1.071408	0.298962	0.000127	0.000000	216.042132	1.000000	0.000000	1.000000
11-15 years	All children	Obese	2	25	6	19	0.157076	0.008267	Uncorrelated	2	2007	2005	2016	-28.744990	14.698372	-1.955658	0.067146	0.015758	0.007300	2.158671	0.045464	0.097259	0.123668	0.786453	0.442428	61297.858486	0.000000	0.000053	1.000000	0.000000	1.000000
11-15 years	All children	Overweight	0	25	2	23	0.122706	0.005335	Uncorrelated	0	NA	NA	NA	-1.174182	4.065816	-0.288794	0.775326	0.001937	0.002026	0.956214	0.348908	NA	NA	NA	NA	16.530856	-0.008236	0.000004	1.000000	-0.999994	1.000000
11-15 years	All children	Overweight including obese	2	25	6	19	0.047776	0.002515	Uncorrelated	0	NA	NA	NA	-63.786775	11.818415	-5.397236	0.000048	0.033649	0.005912	5.691427	0.000027	NA	NA	NA	NA	139.674924	0.000000	0.004194	1.000000	0.000000	1.000000
11-15 years	All children	Overweight including obese	2	25	6	19	0.047776	0.002515	Uncorrelated	1	2004	2001	2006	92.288919	129.885110	0.710543	0.487002	-0.044233	0.064764	-0.682990	0.503816	-0.077882	0.065034	-1.197564	0.247519	0.000035	0.000000	59.458218	1.000000	0.000000	1.000000
11-15 years	All children	Overweight including obese	2	25	6	19	0.047776	0.002515	Uncorrelated	2	2007	2005	2017	-10.797747	7.710916	-1.400320	0.179405	0.007130	0.003830	1.861837	0.080006	0.051364	0.064878	0.791700	0.439444	16870.141926	0.000000	0.000015	1.000000	0.000000	1.000000
11-15 years	Boys	Obese	1	25	4	21	0.229233	0.010916	Uncorrelated	0	NA	NA	NA	-131.795696	67.552132	-1.951022	0.065205	0.067375	0.033827	1.991770	0.060229	NA	NA	NA	NA	4563.290510	0.000000	81.103996	1.000000	0.000000	1.000000
11-15 years	Boys	Obese	1	25	4	21	0.229233	0.010916	Uncorrelated	1	2000	1997	2006	-13.264768	9.005776	-1.472918	0.156337	0.008110	0.004480	1.810017	0.085346	-0.059265	0.034122	-1.736858	0.097791	0.001144	0.000000	0.000020	1.000000	0.000000	1.000000
11-15 years	Boys	Overweight	0	25	2	23	0.401825	0.017471	Uncorrelated	0	NA	NA	NA	2.795984	7.357543	0.380016	0.707420	-0.000074	0.003666	-0.020095	0.984141	NA	NA	NA	NA	54.133437	-0.026972	0.000013	1.000000	-0.999994	1.000000
11-15 years	Boys	Overweight including obese	2	25	6	19	0.043336	0.002281	Uncorrelated	0	NA	NA	NA	-49.073657	12.442617	-3.943998	0.001047	0.026272	0.006224	4.220735	0.000575	NA	NA	NA	NA	154.818723	0.000000	0.000021	1.000000	0.000000	1.000000
