"age_group"	"sex"	"level"	"variable"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
20-49	Men	mean	"fibre_consumption_mean"	0	11	2	9	0.007818	0.000869	Uncorrelated	0	NA	NA	NA	-15.900774	5.656711	-2.810957	0.020345	0.009392	0.002810	3.342315	0.008628	NA	NA	NA	NA	31.998382	-0.015896	0.000008	1.000000	-0.999999	1.000000
50+	Men	mean	"fibre_consumption_mean"	0	11	2	9	0.000956	0.000106	Uncorrelated	0	NA	NA	NA	-5.094207	1.977739	-2.575773	0.029903	0.004027	0.000982	4.098867	0.002681	NA	NA	NA	NA	3.911452	-0.001943	0.000001	1.000000	-0.999999	1.000000
20-49	Women	mean	"fibre_consumption_mean"	1	11	4	7	0.000681	0.000097	Uncorrelated	0	NA	NA	NA	27.293942	8.513409	3.205995	0.018460	-0.012179	0.004237	-2.874733	0.028252	NA	NA	NA	NA	72.478126	0.000000	20.831890	1.000000	0.000000	1.000000
20-49	Women	mean	"fibre_consumption_mean"	1	11	4	7	0.000681	0.000097	Uncorrelated	1	2012	2010	2013	-36.613718	4.564197	-8.021942	0.000200	0.019584	0.002265	8.648181	0.000132	0.031763	0.004804	6.612068	0.000576	0.000018	0.000000	0.000005	1.000000	0.000000	1.000000
50+	Women	mean	"fibre_consumption_mean"	0	11	2	9	0.001092	0.000121	Uncorrelated	0	NA	NA	NA	-1.669112	2.113957	-0.789568	0.450080	0.002262	0.001050	2.153732	0.059673	NA	NA	NA	NA	4.468814	-0.002220	0.000001	1.000000	-0.999999	1.000000
20-49	Men	median	"processedmeat_consumption_median"	1	11	4	7	0.035974	0.005139	Uncorrelated	0	NA	NA	NA	11.379914	53.215797	0.213845	0.837750	-0.003917	0.026482	-0.147910	0.887259	NA	NA	NA	NA	2831.921085	0.000000	813.959627	1.000000	0.000000	1.000000
20-49	Men	median	"processedmeat_consumption_median"	1	11	4	7	0.035974	0.005139	Uncorrelated	1	2012	2010	2016	166.180800	28.529978	5.824778	0.001126	-0.080856	0.014155	-5.712058	0.001246	-0.076939	0.030028	-2.562245	0.042779	0.000701	0.000000	0.000200	1.000000	0.000000	1.000000
50+	Men	median	"processedmeat_consumption_median"	1	11	4	7	0.038043	0.005435	Uncorrelated	0	NA	NA	NA	-125.394116	49.659773	-2.525064	0.044978	0.064027	0.024706	2.591538	0.041127	NA	NA	NA	NA	2466.093093	0.000000	2480.838004	1.000000	0.000000	1.000000
50+	Men	median	"processedmeat_consumption_median"	1	11	4	7	0.038043	0.005435	Uncorrelated	1	2013	2011	2015	214.960769	49.808011	4.315787	0.005006	-0.105051	0.024706	-4.251984	0.005368	-0.169078	0.034940	-4.839101	0.002883	0.000610	0.000000	0.000610	1.000000	0.000000	1.000000
20-49	Women	median	"processedmeat_consumption_median"	1	11	4	7	0.022445	0.003206	Uncorrelated	0	NA	NA	NA	60.821354	20.937008	2.904969	0.027158	-0.028848	0.010411	-2.770828	0.032387	NA	NA	NA	NA	438.358322	0.000000	6173.686732	1.000000	0.000000	1.000000
