"age_group"	"sex"	"variable"	"level"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
20-49	Men	"alcohol_amt"	Heavy Drinker	1	0	2011	2016	-4.9998	-6.9626	-2.9956	1	-6.8212	0.002415
20-49	Men	"alcohol_amt"	Heavy Drinker	1	1	2016	2019	-1.0999	-5.6107	3.6265	0	-0.6578	0.546610
50+	Men	"alcohol_amt"	Heavy Drinker	0	0	2011	2019	0.2505	-0.2678	0.7716	0	1.1414	0.291243
20-49	Women	"alcohol_amt"	Heavy Drinker	1	0	2011	2014	-11.8245	-17.6061	-5.6373	1	-5.1520	0.006735
20-49	Women	"alcohol_amt"	Heavy Drinker	1	1	2014	2019	2.9727	-0.1034	6.1436	0	2.6817	0.055129
50+	Women	"alcohol_amt"	Heavy Drinker	0	0	2011	2019	0.8105	-0.6148	2.2562	0	1.3405	0.221939
20-49	Men	"alcohol_amt"	Light Drinker	1	0	2011	2016	1.8809	1.0593	2.7092	1	6.3895	0.003080
20-49	Men	"alcohol_amt"	Light Drinker	1	1	2016	2019	0.3471	-1.4535	2.1805	0	0.5313	0.623370
50+	Men	"alcohol_amt"	Light Drinker	1	0	2011	2017	1.2585	0.7887	1.7305	1	7.4667	0.001720
50+	Men	"alcohol_amt"	Light Drinker	1	1	2017	2019	-1.3123	-3.9904	1.4405	0	-1.3331	0.253367
20-49	Women	"alcohol_amt"	Light Drinker	1	0	2011	2016	0.9371	0.3359	1.5420	1	4.3347	0.012304
20-49	Women	"alcohol_amt"	Light Drinker	1	1	2016	2019	-1.0322	-2.3455	0.2989	0	-2.1563	0.097296
50+	Women	"alcohol_amt"	Light Drinker	0	0	2011	2019	0.4421	0.2397	0.6449	1	5.1709	0.001294
20-49	Men	"alcohol_amt"	Moderate Drinker	1	0	2011	2017	-2.6412	-3.2630	-2.0154	1	-11.5995	0.000316
20-49	Men	"alcohol_amt"	Moderate Drinker	1	1	2017	2019	-0.7533	-4.4447	3.0808	0	-0.5538	0.609189
50+	Men	"alcohol_amt"	Moderate Drinker	1	0	2011	2017	-1.6926	-2.0835	-1.3002	1	-11.8978	0.000286
50+	Men	"alcohol_amt"	Moderate Drinker	1	1	2017	2019	0.6851	-1.6601	3.0862	0	0.8043	0.466299
20-49	Women	"alcohol_amt"	Moderate Drinker	1	0	2011	2017	-3.8506	-4.8939	-2.7959	1	-9.9929	0.000564
20-49	Women	"alcohol_amt"	Moderate Drinker	1	1	2017	2019	-0.4642	-6.6858	6.1722	0	-0.2001	0.851138
50+	Women	"alcohol_amt"	Moderate Drinker	0	0	2011	2019	-0.2696	-0.6488	0.1110	0	-1.6758	0.137688
20-49	Men	"alcohol_amt"	Non-Drinker	0	0	2011	2019	2.4489	1.9101	2.9906	1	10.8490	0.000012
50+	Men	"alcohol_amt"	Non-Drinker	0	0	2011	2019	0.6427	0.1076	1.1806	1	2.8418	0.024981
20-49	Women	"alcohol_amt"	Non-Drinker	1	0	2011	2016	2.0487	0.8240	3.2883	1	4.6636	0.009564
20-49	Women	"alcohol_amt"	Non-Drinker	1	1	2016	2019	3.9697	1.2003	6.8149	1	4.0035	0.016083
50+	Women	"alcohol_amt"	Non-Drinker	0	0	2011	2019	-0.9459	-1.3297	-0.5606	1	-5.7891	0.000671
20-49	Men	"bmi"	Healthy Weight	1	0	1995	2002	-2.5840	-3.1306	-2.0344	1	-9.7066	0.000000
20-49	Men	"bmi"	Healthy Weight	1	1	2002	2019	0.2176	0.0700	0.3654	1	3.0760	0.005960
50+	Men	"bmi"	Healthy Weight	3	0	1995	2002	-3.4476	-4.1105	-2.7801	1	-10.9222	0.000000
50+	Men	"bmi"	Healthy Weight	3	1	2002	2006	0.4759	-2.0810	3.0997	0	0.3951	0.698754
50+	Men	"bmi"	Healthy Weight	3	2	2006	2009	-2.9733	-7.8489	2.1602	0	-1.2557	0.229782
