"age_group"	"sex"	"level"	"variable"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
20-49	Men	Heavy Drinker	"alcohol_amt"	2005	0.08	0.08	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2011	0.07	0.07	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2012	0.06	0.06	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2013	0.06	0.06	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2014	0.06	0.06	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2015	0.06	0.06	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2016	0.05	0.05	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2017	0.05	0.05	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2018	0.05	0.05	NA	-3.6889*	0	0
20-49	Men	Heavy Drinker	"alcohol_amt"	2019	0.05	0.05	NA	-3.6889*	0	0
50+	Men	Heavy Drinker	"alcohol_amt"	2005	0.06	0.07	NA	2.3311*	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2011	0.08	0.07	NA	2.3311*	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2012	0.08	0.08	Joinpoint 1	NA	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2013	0.08	0.08	NA	0.0209	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2014	0.08	0.08	NA	0.0209	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2015	0.08	0.08	NA	0.0209	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2016	0.07	0.08	NA	0.0209	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2017	0.08	0.08	NA	0.0209	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2018	0.08	0.08	NA	0.0209	1	1
50+	Men	Heavy Drinker	"alcohol_amt"	2019	0.08	0.08	NA	0.0209	1	1
20-49	Women	Heavy Drinker	"alcohol_amt"	2005	0.02	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2011	0.03	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2012	0.02	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2013	0.02	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2014	0.02	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2015	0.02	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2016	0.02	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2017	0.02	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2018	0.02	0.02	NA	0.4343	0	0
20-49	Women	Heavy Drinker	"alcohol_amt"	2019	0.02	0.02	NA	0.4343	0	0
50+	Women	Heavy Drinker	"alcohol_amt"	2005	0.01	0.01	NA	14.8327*	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2011	0.02	0.02	NA	14.8327*	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2012	0.02	0.02	Joinpoint 1	NA	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2013	0.02	0.02	NA	0.1517	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2014	0.02	0.02	NA	0.1517	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2015	0.02	0.02	NA	0.1517	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2016	0.02	0.02	NA	0.1517	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2017	0.02	0.02	NA	0.1517	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2018	0.02	0.02	NA	0.1517	1	1
50+	Women	Heavy Drinker	"alcohol_amt"	2019	0.02	0.02	NA	0.1517	1	1
20-49	Men	Light Drinker	"alcohol_amt"	2005	0.42	0.42	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2011	0.46	0.46	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2012	0.46	0.46	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2013	0.46	0.47	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2014	0.48	0.47	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2015	0.48	0.48	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2016	0.50	0.49	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2017	0.49	0.49	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2018	0.50	0.50	NA	1.2810*	0	0
20-49	Men	Light Drinker	"alcohol_amt"	2019	0.50	0.51	NA	1.2810*	0	0
50+	Men	Light Drinker	"alcohol_amt"	2005	0.50	0.50	NA	-1.7527*	1	1
50+	Men	Light Drinker	"alcohol_amt"	2011	0.44	0.45	NA	-1.7527*	1	1
50+	Men	Light Drinker	"alcohol_amt"	2012	0.44	0.44	Joinpoint 1	NA	1	1
50+	Men	Light Drinker	"alcohol_amt"	2013	0.44	0.45	NA	0.8687	1	1
50+	Men	Light Drinker	"alcohol_amt"	2014	0.45	0.45	NA	0.8687	1	1
50+	Men	Light Drinker	"alcohol_amt"	2015	0.46	0.45	NA	0.8687	1	1
50+	Men	Light Drinker	"alcohol_amt"	2016	0.47	0.46	NA	0.8687	1	1
50+	Men	Light Drinker	"alcohol_amt"	2017	0.47	0.46	NA	0.8687	1	1
50+	Men	Light Drinker	"alcohol_amt"	2018	0.47	0.47	NA	0.8687	1	1
50+	Men	Light Drinker	"alcohol_amt"	2019	0.46	0.47	NA	0.8687	1	1
20-49	Women	Light Drinker	"alcohol_amt"	2005	0.62	0.61	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2011	0.59	0.60	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2012	0.59	0.60	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2013	0.59	0.60	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2014	0.60	0.60	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2015	0.61	0.60	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2016	0.61	0.60	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2017	0.61	0.60	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2018	0.60	0.60	NA	-0.1371	0	0
20-49	Women	Light Drinker	"alcohol_amt"	2019	0.59	0.60	NA	-0.1371	0	0
50+	Women	Light Drinker	"alcohol_amt"	2005	0.64	0.64	NA	-1.6210*	1	1
50+	Women	Light Drinker	"alcohol_amt"	2011	0.57	0.58	NA	-1.6210*	1	1
50+	Women	Light Drinker	"alcohol_amt"	2012	0.58	0.57	Joinpoint 1	NA	1	1
50+	Women	Light Drinker	"alcohol_amt"	2013	0.58	0.57	NA	0.4051*	1	1
50+	Women	Light Drinker	"alcohol_amt"	2014	0.58	0.57	NA	0.4051*	1	1
50+	Women	Light Drinker	"alcohol_amt"	2015	0.57	0.58	NA	0.4051*	1	1
50+	Women	Light Drinker	"alcohol_amt"	2016	0.58	0.58	NA	0.4051*	1	1
50+	Women	Light Drinker	"alcohol_amt"	2017	0.58	0.58	NA	0.4051*	1	1
50+	Women	Light Drinker	"alcohol_amt"	2018	0.59	0.58	NA	0.4051*	1	1
50+	Women	Light Drinker	"alcohol_amt"	2019	0.58	0.59	NA	0.4051*	1	1
20-49	Men	Moderate Drinker	"alcohol_amt"	2005	0.39	0.40	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2011	0.34	0.34	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2012	0.34	0.34	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2013	0.33	0.33	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2014	0.32	0.32	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2015	0.31	0.31	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2016	0.30	0.31	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2017	0.30	0.30	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2018	0.29	0.29	NA	-2.2523*	0	0
20-49	Men	Moderate Drinker	"alcohol_amt"	2019	0.29	0.29	NA	-2.2523*	0	0
50+	Men	Moderate Drinker	"alcohol_amt"	2005	0.33	0.33	NA	0.7254	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2011	0.35	0.35	NA	0.7254	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2012	0.35	0.35	Joinpoint 1	NA	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2013	0.35	0.34	NA	-1.3717*	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2014	0.34	0.34	NA	-1.3717*	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2015	0.33	0.33	NA	-1.3717*	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2016	0.32	0.33	NA	-1.3717*	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2017	0.31	0.32	NA	-1.3717*	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2018	0.32	0.32	NA	-1.3717*	1	1
50+	Men	Moderate Drinker	"alcohol_amt"	2019	0.33	0.32	NA	-1.3717*	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2005	0.22	0.22	NA	-1.2885	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2011	0.20	0.20	NA	-1.2885	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2012	0.20	0.20	Joinpoint 1	NA	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2013	0.19	0.19	NA	-3.3999*	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2014	0.19	0.19	NA	-3.3999*	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2015	0.18	0.18	NA	-3.3999*	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2016	0.17	0.17	NA	-3.3999*	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2017	0.16	0.17	NA	-3.3999*	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2018	0.16	0.16	NA	-3.3999*	1	1
20-49	Women	Moderate Drinker	"alcohol_amt"	2019	0.16	0.16	NA	-3.3999*	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2005	0.14	0.14	NA	4.5795*	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2011	0.19	0.18	NA	4.5795*	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2012	0.18	0.19	Joinpoint 1	NA	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2013	0.19	0.19	NA	-0.1865	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2014	0.19	0.19	NA	-0.1865	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2015	0.19	0.19	NA	-0.1865	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2016	0.19	0.19	NA	-0.1865	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2017	0.18	0.19	NA	-0.1865	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2018	0.18	0.19	NA	-0.1865	1	1
50+	Women	Moderate Drinker	"alcohol_amt"	2019	0.19	0.19	NA	-0.1865	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2005	0.10	0.10	NA	4.2411*	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2011	0.13	0.13	NA	4.2411*	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2012	0.14	0.14	Joinpoint 1	NA	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2013	0.14	0.14	NA	2.3817*	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2014	0.14	0.14	NA	2.3817*	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2015	0.15	0.15	NA	2.3817*	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2016	0.15	0.15	NA	2.3817*	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2017	0.16	0.15	NA	2.3817*	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2018	0.16	0.16	NA	2.3817*	1	1
20-49	Men	Non-Drinker	"alcohol_amt"	2019	0.16	0.16	NA	2.3817*	1	1
