"age_group"	"sex"	"variable"	"level"	"Model"
20-49	Men	"alcohol_amt"	Heavy Drinker	1
50+	Men	"alcohol_amt"	Heavy Drinker	0
20-49	Women	"alcohol_amt"	Heavy Drinker	1
50+	Women	"alcohol_amt"	Heavy Drinker	0
20-49	Men	"alcohol_amt"	Light Drinker	1
50+	Men	"alcohol_amt"	Light Drinker	1
20-49	Women	"alcohol_amt"	Light Drinker	1
50+	Women	"alcohol_amt"	Light Drinker	0
20-49	Men	"alcohol_amt"	Moderate Drinker	1
50+	Men	"alcohol_amt"	Moderate Drinker	1
20-49	Women	"alcohol_amt"	Moderate Drinker	1
50+	Women	"alcohol_amt"	Moderate Drinker	0
20-49	Men	"alcohol_amt"	Non-Drinker	0
50+	Men	"alcohol_amt"	Non-Drinker	0
20-49	Women	"alcohol_amt"	Non-Drinker	1
50+	Women	"alcohol_amt"	Non-Drinker	0
20-49	Men	"bmi"	Healthy Weight	1
50+	Men	"bmi"	Healthy Weight	3
20-49	Women	"bmi"	Healthy Weight	2
50+	Women	"bmi"	Healthy Weight	3
20-49	Men	"bmi"	Obese	1
50+	Men	"bmi"	Obese	3
20-49	Women	"bmi"	Obese	2
50+	Women	"bmi"	Obese	3
20-49	Men	"bmi"	Overweight	2
50+	Men	"bmi"	Overweight	2
20-49	Women	"bmi"	Overweight	4
50+	Women	"bmi"	Overweight	1
20-49	Men	"bmi"	Underweight	1
50+	Men	"bmi"	Underweight	2
20-49	Women	"bmi"	Underweight	4
50+	Women	"bmi"	Underweight	3
20-49	Men	"physical_activity_old"	Below Recommendations	0
50+	Men	"physical_activity_old"	Below Recommendations	0
20-49	Women	"physical_activity_old"	Below Recommendations	0
50+	Women	"physical_activity_old"	Below Recommendations	0
20-49	Men	"physical_activity_old"	Meets Recommendations	0
50+	Men	"physical_activity_old"	Meets Recommendations	0
20-49	Women	"physical_activity_old"	Meets Recommendations	0
50+	Women	"physical_activity_old"	Meets Recommendations	0
20-49	Men	"smoking_status"	Current	4
50+	Men	"smoking_status"	Current	2
20-49	Women	"smoking_status"	Current	2
50+	Women	"smoking_status"	Current	4
20-49	Men	"smoking_status"	Never	2
50+	Men	"smoking_status"	Never	0
20-49	Women	"smoking_status"	Never	3
50+	Women	"smoking_status"	Never	0
20-49	Men	"smoking_status"	Previously	4
50+	Men	"smoking_status"	Previously	2
20-49	Women	"smoking_status"	Previously	4
50+	Women	"smoking_status"	Previously	1
