"age_group"	"sex"	"level"	"variable"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
20-49	Men	Heavy Drinker	"alcohol_amt"	0	10	2	8	0.009340	0.001168	Uncorrelated	0	NA	NA	NA	73.900437	5.618811	13.152327	0.000001	-0.038098	0.002790	-13.655992	0.000001	NA	NA	NA	NA	31.571036	-0.015676	0.000008	1.000000	-0.999998	1.000000
50+	Men	Heavy Drinker	"alcohol_amt"	1	10	4	6	0.002663	0.000444	Uncorrelated	0	NA	NA	NA	-48.276926	5.979844	-8.073275	0.000472	0.022720	0.002978	7.629350	0.000615	NA	NA	NA	NA	35.758538	0.000000	23.171136	1.000000	0.000000	1.000000
50+	Men	Heavy Drinker	"alcohol_amt"	1	10	4	6	0.002663	0.000444	Uncorrelated	1	2012	2012	2014	-5.910262	4.813641	-1.227815	0.274160	0.001663	0.002388	0.696593	0.517106	-0.021057	0.003817	-5.516590	0.002679	0.000009	0.000000	0.000006	1.000000	0.000000	1.000000
20-49	Women	Heavy Drinker	"alcohol_amt"	0	10	2	8	0.168284	0.021035	Uncorrelated	0	NA	NA	NA	-15.078549	23.850113	-0.632221	0.544883	0.005562	0.011842	0.469675	0.651123	NA	NA	NA	NA	568.827895	-0.282436	0.000140	1.000000	-0.999998	1.000000
50+	Women	Heavy Drinker	"alcohol_amt"	1	10	4	6	0.045557	0.007593	Uncorrelated	0	NA	NA	NA	-290.080470	20.265217	-14.314205	0.000030	0.142210	0.010092	14.091085	0.000032	NA	NA	NA	NA	410.679009	0.000000	266.115442	1.000000	0.000000	1.000000
50+	Women	Heavy Drinker	"alcohol_amt"	1	10	4	6	0.045557	0.007593	Uncorrelated	1	2012	2012	2014	-9.380571	16.313045	-0.575035	0.590174	0.002698	0.008092	0.333372	0.752379	-0.139513	0.012936	-10.785178	0.000119	0.000102	0.000000	0.000065	1.000000	0.000000	1.000000
20-49	Men	Light Drinker	"alcohol_amt"	0	10	2	8	0.001161	0.000145	Uncorrelated	0	NA	NA	NA	-27.778410	1.980840	-14.023551	0.000001	0.013407	0.000984	13.631535	0.000001	NA	NA	NA	NA	3.923727	-0.001948	0.000001	1.000000	-0.999998	1.000000
50+	Men	Light Drinker	"alcohol_amt"	1	10	4	6	0.002087	0.000348	Uncorrelated	0	NA	NA	NA	34.681986	8.339165	4.158928	0.008833	-0.017664	0.004153	-4.253395	0.008066	NA	NA	NA	NA	69.541671	0.000000	45.062231	1.000000	0.000000	1.000000
50+	Men	Light Drinker	"alcohol_amt"	1	10	4	6	0.002087	0.000348	Uncorrelated	1	2012	2012	2014	-19.223018	6.712841	-2.863619	0.035257	0.009128	0.003330	2.741186	0.040735	0.026792	0.005323	5.033184	0.003990	0.000017	0.000000	0.000011	1.000000	0.000000	1.000000
20-49	Women	Light Drinker	"alcohol_amt"	0	10	2	8	0.002484	0.000311	Uncorrelated	0	NA	NA	NA	0.244694	2.897870	0.084439	0.934782	-0.000386	0.001439	-0.268282	0.795270	NA	NA	NA	NA	8.397649	-0.004170	0.000002	1.000000	-0.999998	1.000000
