"age_group"	"sex"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
20-49	Men	Heavy Drinker	"alcohol_amt"	1	0	10	2	8	       0.0093401	      -6.5155110	      -6.5155110	       0.0000000	      -6.5155110
20-49	Men	Heavy Drinker	"alcohol_amt"	2	1	10	4	6	       0.0061077	      -6.4797504	      -6.2494918	       0.3460709	      -6.4000646
50+	Men	Heavy Drinker	"alcohol_amt"	1	0	10	2	8	       0.0091184	      -6.5395245	      -6.5395245	       0.0000000	      -6.5395245
50+	Men	Heavy Drinker	"alcohol_amt"	2	1	10	4	6	       0.0026626	      -7.3100096	      -7.0797511	       0.7080001	      -7.1469866
20-49	Women	Heavy Drinker	"alcohol_amt"	1	0	10	2	8	       0.1682835	      -3.6241732	      -3.6241732	       0.0000000	      -3.6241732
20-49	Women	Heavy Drinker	"alcohol_amt"	2	1	10	4	6	       0.1130151	      -3.5617845	      -3.3315260	       0.3284242	      -3.4861621
50+	Women	Heavy Drinker	"alcohol_amt"	1	0	10	2	8	       0.3289509	      -2.9539148	      -2.9539148	       0.0000000	      -2.9539148
50+	Women	Heavy Drinker	"alcohol_amt"	2	1	10	4	6	       0.0455574	      -4.4703339	      -4.2400754	       0.8615071	      -4.2719645
20-49	Men	Light Drinker	"alcohol_amt"	1	0	10	2	8	       0.0011608	      -8.6007092	      -8.6007092	       0.0000000	      -8.6007092
20-49	Men	Light Drinker	"alcohol_amt"	2	1	10	4	6	       0.0007725	      -8.5473855	      -8.3171270	       0.3344845	      -8.4703676
50+	Men	Light Drinker	"alcohol_amt"	1	0	10	2	8	       0.0125381	      -6.2210537	      -6.2210537	       0.0000000	      -6.2210537
50+	Men	Light Drinker	"alcohol_amt"	2	1	10	4	6	       0.0020869	      -7.5536111	      -7.3233526	       0.8335523	      -7.3616786
20-49	Women	Light Drinker	"alcohol_amt"	1	0	10	2	8	       0.0024844	      -7.8397993	      -7.8397993	       0.0000000	      -7.8397993
20-49	Women	Light Drinker	"alcohol_amt"	2	1	10	4	6	       0.0016343	      -7.7980975	      -7.5678390	       0.3421743	      -7.7193090
50+	Women	Light Drinker	"alcohol_amt"	1	0	10	2	8	       0.0093188	      -6.5177900	      -6.5177900	       0.0000000	      -6.5177900
50+	Women	Light Drinker	"alcohol_amt"	2	1	10	4	6	       0.0009638	      -8.3262207	      -8.0959622	       0.8965790	      -8.1197757
20-49	Men	Moderate Drinker	"alcohol_amt"	1	0	10	2	8	       0.0012924	      -8.4933193	      -8.4933193	       0.0000000	      -8.4933193
20-49	Men	Moderate Drinker	"alcohol_amt"	2	1	10	4	6	       0.0010197	      -8.2698304	      -8.0395719	       0.2110309	      -8.2212387
50+	Men	Moderate Drinker	"alcohol_amt"	1	0	10	2	8	       0.0076967	      -6.7090329	      -6.7090329	       0.0000000	      -6.7090329
50+	Men	Moderate Drinker	"alcohol_amt"	2	1	10	4	6	       0.0021513	      -7.5232479	      -7.2929894	       0.7204941	      -7.3573480
20-49	Women	Moderate Drinker	"alcohol_amt"	1	0	10	2	8	       0.0081804	      -6.6480806	      -6.6480806	       0.0000000	      -6.6480806
20-49	Women	Moderate Drinker	"alcohol_amt"	2	1	10	4	6	       0.0034786	      -7.0426899	      -6.8124314	       0.5747705	      -6.9103441
50+	Women	Moderate Drinker	"alcohol_amt"	1	0	10	2	8	       0.0399563	      -5.0620381	      -5.0620381	       0.0000000	      -5.0620381
50+	Women	Moderate Drinker	"alcohol_amt"	2	1	10	4	6	       0.0021967	      -7.5023361	      -7.2720776	       0.9450216	      -7.2847368
20-49	Men	Non-Drinker	"alcohol_amt"	1	0	10	2	8	       0.0073640	      -6.7532177	      -6.7532177	       0.0000000	      -6.7532177
20-49	Men	Non-Drinker	"alcohol_amt"	2	1	10	4	6	       0.0026473	      -7.3157514	      -7.0854929	       0.6405034	      -7.1682700
