"age_group"	"sex"	"imd"	"level"	"variable"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
All	Men	1	Heavy Drinker	"alcohol_amt"	1	Full Range	2011	2019	-2.0668	-5.1910	1.1603	0	-1.2626	0.206746
All	Men	2	Heavy Drinker	"alcohol_amt"	1	Full Range	2011	2019	-0.4015	-2.4134	1.6518	0	-0.3864	0.699188
All	Men	3	Heavy Drinker	"alcohol_amt"	1	Full Range	2011	2019	-1.8151	-3.0499	-0.5646	1	-2.8368	0.004557
All	Men	4	Heavy Drinker	"alcohol_amt"	0	Full Range	2011	2019	-2.1732	-3.5112	-0.8167	1	-3.7728	0.006958
All	Men	5	Heavy Drinker	"alcohol_amt"	0	Full Range	2011	2019	-0.6595	-2.8672	1.5983	0	-0.6962	0.508745
All	Women	1	Heavy Drinker	"alcohol_amt"	1	Full Range	2011	2019	-2.2135	-3.9619	-0.4333	1	-2.4318	0.015026
All	Women	2	Heavy Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.6821	-4.2121	5.8262	0	0.2674	0.789193
All	Women	3	Heavy Drinker	"alcohol_amt"	0	Full Range	2011	2019	0.7822	-3.2765	5.0112	0	0.4482	0.667526
All	Women	4	Heavy Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.4306	-6.1869	7.5150	0	0.1236	0.901661
All	Women	5	Heavy Drinker	"alcohol_amt"	1	Full Range	2011	2019	-6.0339	-10.9761	-0.8173	1	-2.2576	0.023968
All	Men	1	Light Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.9681	0.3849	1.5547	1	3.2598	0.001115
All	Men	2	Light Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.7796	-0.3436	1.9155	0	1.3580	0.174452
All	Men	3	Light Drinker	"alcohol_amt"	0	Full Range	2011	2019	0.3865	-0.0089	0.7834	0	2.3114	0.054072
All	Men	4	Light Drinker	"alcohol_amt"	0	Full Range	2011	2019	0.9220	0.4895	1.3564	1	5.0535	0.001474
All	Men	5	Light Drinker	"alcohol_amt"	1	Full Range	2011	2019	1.4775	-0.0149	2.9922	0	1.9403	0.052343
All	Women	1	Light Drinker	"alcohol_amt"	0	Full Range	2011	2019	0.0647	-0.3031	0.4339	0	0.4156	0.690130
All	Women	2	Light Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.4999	0.0663	0.9354	1	2.2602	0.023810
All	Women	3	Light Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.0267	-0.5722	0.6292	0	0.0871	0.930590
All	Women	4	Light Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.2444	-0.5652	1.0607	0	0.5901	0.555151
All	Women	5	Light Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.4507	-0.4489	1.3584	0	0.9798	0.327200
All	Men	1	Moderate Drinker	"alcohol_amt"	1	Full Range	2011	2019	-1.2756	-2.5490	0.0143	0	-1.9383	0.052586
All	Men	2	Moderate Drinker	"alcohol_amt"	1	Full Range	2011	2019	-0.8841	-1.9488	0.1922	0	-1.6115	0.107079
All	Men	3	Moderate Drinker	"alcohol_amt"	0	Full Range	2011	2019	-1.7569	-2.2946	-1.2162	1	-7.6369	0.000122
All	Men	4	Moderate Drinker	"alcohol_amt"	0	Full Range	2011	2019	-2.5337	-2.9237	-2.1422	1	-15.1363	0.000001
All	Men	5	Moderate Drinker	"alcohol_amt"	0	Full Range	2011	2019	-1.9355	-2.5405	-1.3268	1	-7.4685	0.000141
All	Women	1	Moderate Drinker	"alcohol_amt"	1	Full Range	2011	2019	-1.4105	-2.4535	-0.3563	1	-2.6177	0.008853
All	Women	2	Moderate Drinker	"alcohol_amt"	1	Full Range	2011	2019	-1.0055	-2.5871	0.6018	0	-1.2298	0.218785
All	Women	3	Moderate Drinker	"alcohol_amt"	0	Full Range	2011	2019	-1.1821	-2.0658	-0.2903	1	-3.1298	0.016615
All	Women	4	Moderate Drinker	"alcohol_amt"	0	Full Range	2011	2019	-2.1221	-3.4260	-0.8007	1	-3.7820	0.006874
All	Women	5	Moderate Drinker	"alcohol_amt"	0	Full Range	2011	2019	-0.8403	-1.4960	-0.1803	1	-3.0079	0.019721
All	Men	1	Non-Drinker	"alcohol_amt"	1	Full Range	2011	2019	1.5453	-0.5036	3.6364	0	1.4745	0.140338
All	Men	2	Non-Drinker	"alcohol_amt"	0	Full Range	2011	2019	0.2015	-0.8653	1.2798	0	0.4447	0.669952
All	Men	3	Non-Drinker	"alcohol_amt"	1	Full Range	2011	2019	4.1599	3.0012	5.3316	1	7.1411	0.000000
All	Men	4	Non-Drinker	"alcohol_amt"	0	Full Range	2011	2019	2.7116	1.7652	3.6667	1	6.8347	0.000245
All	Men	5	Non-Drinker	"alcohol_amt"	0	Full Range	2011	2019	-0.7280	-1.9528	0.5121	0	-1.3916	0.206652
All	Women	1	Non-Drinker	"alcohol_amt"	0	Full Range	2011	2019	2.4174	1.6172	3.2238	1	7.2011	0.000177
All	Women	2	Non-Drinker	"alcohol_amt"	1	Full Range	2011	2019	-0.4761	-2.0849	1.1591	0	-0.5740	0.565964
All	Women	3	Non-Drinker	"alcohol_amt"	1	Full Range	2011	2019	1.4315	-0.8471	3.7625	0	1.2261	0.220171
All	Women	4	Non-Drinker	"alcohol_amt"	1	Full Range	2011	2019	0.5361	-0.2386	1.3168	0	1.3546	0.175534
All	Women	5	Non-Drinker	"alcohol_amt"	1	Full Range	2011	2019	-0.1811	-0.9838	0.6282	0	-0.4399	0.660026
All	Men	1	Healthy Weight	"bmi"	2	Full Range	2001	2019	0.2746	-0.2976	0.8501	0	0.9392	0.347638
All	Men	2	Healthy Weight	"bmi"	2	Full Range	2001	2019	-0.3803	-1.0427	0.2865	0	-1.1195	0.262921
All	Men	3	Healthy Weight	"bmi"	3	Full Range	2001	2019	-0.0457	-0.7281	0.6413	0	-0.1309	0.895856
All	Men	4	Healthy Weight	"bmi"	1	Full Range	2001	2019	-0.1997	-0.6606	0.2633	0	-0.8467	0.397184
All	Men	5	Healthy Weight	"bmi"	1	Full Range	2001	2019	-1.0209	-1.8226	-0.2126	1	-2.4727	0.013408
All	Women	1	Healthy Weight	"bmi"	2	Full Range	2001	2019	-0.4247	-0.9316	0.0848	0	-1.6343	0.102194
All	Women	2	Healthy Weight	"bmi"	2	Full Range	2001	2019	-0.4545	-1.0129	0.1071	0	-1.5871	0.112494
All	Women	3	Healthy Weight	"bmi"	2	Full Range	2001	2019	-1.3817	-1.7918	-0.9698	1	-6.5430	0.000000
All	Women	4	Healthy Weight	"bmi"	3	Full Range	2001	2019	-0.5255	-2.2594	1.2393	0	-0.5872	0.557063
All	Women	5	Healthy Weight	"bmi"	2	Full Range	2001	2019	-0.9014	-1.4320	-0.3678	1	-3.3051	0.000949
All	Men	1	Obese	"bmi"	1	Full Range	2001	2019	0.5983	-0.2329	1.4365	0	1.4092	0.158790
All	Men	2	Obese	"bmi"	3	Full Range	2001	2019	0.5379	-0.4055	1.4901	0	1.1152	0.264745
All	Men	3	Obese	"bmi"	1	Full Range	2001	2019	1.2068	0.7342	1.6816	1	5.0230	0.000001
All	Men	4	Obese	"bmi"	2	Full Range	2001	2019	1.3597	0.0816	2.6542	1	2.0859	0.036990
