"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
All	Men	1	Heavy Drinker	"alcohol_amt"	1	0	2011	2015	-4.9648	-10.8911	1.3557	0	-2.1958	0.093090
All	Men	1	Heavy Drinker	"alcohol_amt"	1	1	2015	2019	1.4004	-4.9228	8.1443	0	0.5997	0.581035
All	Men	2	Heavy Drinker	"alcohol_amt"	1	0	2011	2017	-2.6325	-4.1042	-1.1382	1	-4.8632	0.008260
All	Men	2	Heavy Drinker	"alcohol_amt"	1	1	2017	2019	6.6922	-2.5007	16.7520	0	1.9961	0.116639
All	Men	3	Heavy Drinker	"alcohol_amt"	0	0	2011	2019	-1.2774	-2.5253	-0.0134	1	-2.3896	0.048198
All	Men	4	Heavy Drinker	"alcohol_amt"	0	0	2011	2019	-2.3388	-3.7005	-0.9579	1	-3.9857	0.005285
All	Men	5	Heavy Drinker	"alcohol_amt"	0	0	2011	2019	-0.6266	-2.8081	1.6038	0	-0.6697	0.524545
All	Women	1	Heavy Drinker	"alcohol_amt"	1	0	2011	2015	-13.7567	-16.6145	-10.8009	1	-12.1936	0.000260
All	Women	1	Heavy Drinker	"alcohol_amt"	1	1	2015	2019	10.3774	6.7198	14.1603	1	8.1349	0.001242
All	Women	2	Heavy Drinker	"alcohol_amt"	1	0	2011	2016	-7.8070	-13.6288	-1.5927	1	-3.4598	0.025823
All	Women	2	Heavy Drinker	"alcohol_amt"	1	1	2016	2019	17.9587	1.9491	36.4823	1	3.1439	0.034717
All	Women	3	Heavy Drinker	"alcohol_amt"	0	0	2011	2019	0.6361	-3.5927	5.0504	0	0.3493	0.737157
All	Women	4	Heavy Drinker	"alcohol_amt"	1	0	2011	2014	-8.2938	-25.4768	12.8511	0	-1.1586	0.311078
All	Women	4	Heavy Drinker	"alcohol_amt"	1	1	2014	2019	6.4672	-2.9672	16.8189	0	1.8752	0.134029
All	Women	5	Heavy Drinker	"alcohol_amt"	1	0	2011	2017	-1.7985	-6.7847	3.4544	0	-0.9670	0.388310
All	Women	5	Heavy Drinker	"alcohol_amt"	1	1	2017	2019	-19.4025	-40.7846	9.7003	0	-1.9426	0.124001
All	Men	1	Light Drinker	"alcohol_amt"	1	0	2011	2016	2.1369	1.4137	2.8652	1	8.2616	0.001171
All	Men	1	Light Drinker	"alcohol_amt"	1	1	2016	2019	-0.7522	-2.3167	0.8373	0	-1.3195	0.257465
All	Men	2	Light Drinker	"alcohol_amt"	1	0	2011	2016	2.1378	0.5403	3.7607	1	3.7255	0.020377
All	Men	2	Light Drinker	"alcohol_amt"	1	1	2016	2019	-0.8784	-4.3116	2.6780	0	-0.6949	0.525360
All	Men	3	Light Drinker	"alcohol_amt"	0	0	2011	2019	0.4406	0.0297	0.8532	1	2.5360	0.038891
All	Men	4	Light Drinker	"alcohol_amt"	0	0	2011	2019	0.9026	0.4291	1.3784	1	4.5169	0.002742
All	Men	5	Light Drinker	"alcohol_amt"	1	0	2011	2017	2.6898	1.8055	3.5818	1	8.5209	0.001041
