"age_group"	"sex"	"imd"	"level"	"variable"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	Men	1	Heavy Drinker	"alcohol_amt"	2011	0.08	0.08	NA	-5.0335	1	1
All	Men	1	Heavy Drinker	"alcohol_amt"	2012	0.08	0.07	NA	-5.0335	1	1
All	Men	1	Heavy Drinker	"alcohol_amt"	2013	0.07	0.07	NA	-5.0335	1	1
All	Men	1	Heavy Drinker	"alcohol_amt"	2014	0.07	0.07	NA	-5.0335	1	1
All	Men	1	Heavy Drinker	"alcohol_amt"	2015	0.06	0.06	Joinpoint 1	NA	1	1
All	Men	1	Heavy Drinker	"alcohol_amt"	2016	0.06	0.06	NA	0.9925	1	1
All	Men	1	Heavy Drinker	"alcohol_amt"	2017	0.07	0.07	NA	0.9925	1	1
All	Men	1	Heavy Drinker	"alcohol_amt"	2018	0.06	0.07	NA	0.9925	1	1
All	Men	1	Heavy Drinker	"alcohol_amt"	2019	0.07	0.07	NA	0.9925	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2011	0.07	0.07	NA	-2.7201*	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2012	0.07	0.07	NA	-2.7201*	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2013	0.07	0.07	NA	-2.7201*	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2014	0.07	0.07	NA	-2.7201*	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2015	0.07	0.06	NA	-2.7201*	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2016	0.06	0.06	NA	-2.7201*	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2017	0.06	0.06	Joinpoint 1	NA	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2018	0.07	0.07	NA	6.8911	1	1
All	Men	2	Heavy Drinker	"alcohol_amt"	2019	0.07	0.07	NA	6.8911	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2011	0.07	0.07	NA	-0.6712	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2012	0.07	0.06	NA	-0.6712	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2013	0.06	0.06	NA	-0.6712	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2014	0.06	0.06	NA	-0.6712	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2015	0.06	0.06	NA	-0.6712	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2016	0.06	0.06	NA	-0.6712	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2017	0.06	0.06	Joinpoint 1	NA	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2018	0.06	0.06	NA	-5.1684	1	1
All	Men	3	Heavy Drinker	"alcohol_amt"	2019	0.06	0.06	NA	-5.1684	1	1
All	Men	4	Heavy Drinker	"alcohol_amt"	2011	0.07	0.07	NA	-2.1732*	0	0
All	Men	4	Heavy Drinker	"alcohol_amt"	2012	0.07	0.07	NA	-2.1732*	0	0
All	Men	4	Heavy Drinker	"alcohol_amt"	2013	0.07	0.07	NA	-2.1732*	0	0
All	Men	4	Heavy Drinker	"alcohol_amt"	2014	0.06	0.06	NA	-2.1732*	0	0
All	Men	4	Heavy Drinker	"alcohol_amt"	2015	0.06	0.06	NA	-2.1732*	0	0
All	Men	4	Heavy Drinker	"alcohol_amt"	2016	0.06	0.06	NA	-2.1732*	0	0
All	Men	4	Heavy Drinker	"alcohol_amt"	2017	0.06	0.06	NA	-2.1732*	0	0
All	Men	4	Heavy Drinker	"alcohol_amt"	2018	0.06	0.06	NA	-2.1732*	0	0
All	Men	4	Heavy Drinker	"alcohol_amt"	2019	0.06	0.06	NA	-2.1732*	0	0
All	Men	5	Heavy Drinker	"alcohol_amt"	2011	0.07	0.07	NA	-0.6595	0	0
All	Men	5	Heavy Drinker	"alcohol_amt"	2012	0.07	0.07	NA	-0.6595	0	0
All	Men	5	Heavy Drinker	"alcohol_amt"	2013	0.07	0.07	NA	-0.6595	0	0
