"age_group"	"sex"	"imd"	"level"	"variable"	"Model"
All	Men	1	Heavy Drinker	"alcohol_amt"	1
All	Men	2	Heavy Drinker	"alcohol_amt"	1
All	Men	3	Heavy Drinker	"alcohol_amt"	0
All	Men	4	Heavy Drinker	"alcohol_amt"	0
All	Men	5	Heavy Drinker	"alcohol_amt"	0
All	Women	1	Heavy Drinker	"alcohol_amt"	1
All	Women	2	Heavy Drinker	"alcohol_amt"	1
All	Women	3	Heavy Drinker	"alcohol_amt"	0
All	Women	4	Heavy Drinker	"alcohol_amt"	1
All	Women	5	Heavy Drinker	"alcohol_amt"	1
All	Men	1	Light Drinker	"alcohol_amt"	1
All	Men	2	Light Drinker	"alcohol_amt"	1
All	Men	3	Light Drinker	"alcohol_amt"	0
All	Men	4	Light Drinker	"alcohol_amt"	0
All	Men	5	Light Drinker	"alcohol_amt"	1
All	Women	1	Light Drinker	"alcohol_amt"	0
All	Women	2	Light Drinker	"alcohol_amt"	1
All	Women	3	Light Drinker	"alcohol_amt"	0
All	Women	4	Light Drinker	"alcohol_amt"	1
All	Women	5	Light Drinker	"alcohol_amt"	1
All	Men	1	Moderate Drinker	"alcohol_amt"	1
All	Men	2	Moderate Drinker	"alcohol_amt"	1
All	Men	3	Moderate Drinker	"alcohol_amt"	0
All	Men	4	Moderate Drinker	"alcohol_amt"	0
All	Men	5	Moderate Drinker	"alcohol_amt"	0
All	Women	1	Moderate Drinker	"alcohol_amt"	1
All	Women	2	Moderate Drinker	"alcohol_amt"	1
All	Women	3	Moderate Drinker	"alcohol_amt"	0
All	Women	4	Moderate Drinker	"alcohol_amt"	1
All	Women	5	Moderate Drinker	"alcohol_amt"	1
All	Men	1	Non-Drinker	"alcohol_amt"	1
All	Men	2	Non-Drinker	"alcohol_amt"	0
All	Men	3	Non-Drinker	"alcohol_amt"	1
All	Men	4	Non-Drinker	"alcohol_amt"	0
All	Men	5	Non-Drinker	"alcohol_amt"	0
All	Women	1	Non-Drinker	"alcohol_amt"	0
All	Women	2	Non-Drinker	"alcohol_amt"	1
All	Women	3	Non-Drinker	"alcohol_amt"	1
All	Women	4	Non-Drinker	"alcohol_amt"	1
All	Women	5	Non-Drinker	"alcohol_amt"	1
All	Men	1	Healthy Weight	"bmi"	2
All	Men	2	Healthy Weight	"bmi"	2
All	Men	3	Healthy Weight	"bmi"	3
All	Men	4	Healthy Weight	"bmi"	1
All	Men	5	Healthy Weight	"bmi"	1
All	Women	1	Healthy Weight	"bmi"	2
All	Women	2	Healthy Weight	"bmi"	2
All	Women	3	Healthy Weight	"bmi"	2
All	Women	4	Healthy Weight	"bmi"	3
All	Women	5	Healthy Weight	"bmi"	2
All	Men	1	Obese	"bmi"	1
All	Men	2	Obese	"bmi"	3
All	Men	3	Obese	"bmi"	1
All	Men	4	Obese	"bmi"	2
All	Men	5	Obese	"bmi"	1
All	Women	1	Obese	"bmi"	3
All	Women	2	Obese	"bmi"	1
All	Women	3	Obese	"bmi"	0
All	Women	4	Obese	"bmi"	3
All	Women	5	Obese	"bmi"	3
All	Men	1	Overweight	"bmi"	1
All	Men	2	Overweight	"bmi"	2
All	Men	3	Overweight	"bmi"	3
All	Men	4	Overweight	"bmi"	2
All	Men	5	Overweight	"bmi"	1
All	Women	1	Overweight	"bmi"	2
All	Women	2	Overweight	"bmi"	2
All	Women	3	Overweight	"bmi"	0
All	Women	4	Overweight	"bmi"	3
All	Women	5	Overweight	"bmi"	3
All	Men	1	Underweight	"bmi"	2
All	Men	2	Underweight	"bmi"	0
All	Men	3	Underweight	"bmi"	1
All	Men	4	Underweight	"bmi"	3
All	Men	5	Underweight	"bmi"	2
All	Women	1	Underweight	"bmi"	3
All	Women	2	Underweight	"bmi"	0
All	Women	3	Underweight	"bmi"	2
All	Women	4	Underweight	"bmi"	0
All	Women	5	Underweight	"bmi"	1
All	Men	1	Below Recommendations	"physical_activity_old"	0
All	Men	2	Below Recommendations	"physical_activity_old"	0
All	Men	3	Below Recommendations	"physical_activity_old"	0
All	Men	4	Below Recommendations	"physical_activity_old"	0
All	Men	5	Below Recommendations	"physical_activity_old"	0
All	Women	1	Below Recommendations	"physical_activity_old"	0
All	Women	2	Below Recommendations	"physical_activity_old"	0
All	Women	3	Below Recommendations	"physical_activity_old"	0
All	Women	4	Below Recommendations	"physical_activity_old"	0
All	Women	5	Below Recommendations	"physical_activity_old"	0
All	Men	1	Meets Recommendations	"physical_activity_old"	0
All	Men	2	Meets Recommendations	"physical_activity_old"	0
All	Men	3	Meets Recommendations	"physical_activity_old"	0
All	Men	4	Meets Recommendations	"physical_activity_old"	0
All	Men	5	Meets Recommendations	"physical_activity_old"	0
All	Women	1	Meets Recommendations	"physical_activity_old"	0
All	Women	2	Meets Recommendations	"physical_activity_old"	0
All	Women	3	Meets Recommendations	"physical_activity_old"	0
All	Women	4	Meets Recommendations	"physical_activity_old"	0
All	Women	5	Meets Recommendations	"physical_activity_old"	0
All	Men	1	Current	"smoking_status"	0
All	Men	2	Current	"smoking_status"	2
All	Men	3	Current	"smoking_status"	1
All	Men	4	Current	"smoking_status"	2
All	Men	5	Current	"smoking_status"	1
All	Women	1	Current	"smoking_status"	2
All	Women	2	Current	"smoking_status"	0
All	Women	3	Current	"smoking_status"	2
All	Women	4	Current	"smoking_status"	0
All	Women	5	Current	"smoking_status"	3
All	Men	1	Never	"smoking_status"	3
All	Men	2	Never	"smoking_status"	3
All	Men	3	Never	"smoking_status"	3
All	Men	4	Never	"smoking_status"	1
All	Men	5	Never	"smoking_status"	2
All	Women	1	Never	"smoking_status"	0
All	Women	2	Never	"smoking_status"	1
All	Women	3	Never	"smoking_status"	0
All	Women	4	Never	"smoking_status"	0
All	Women	5	Never	"smoking_status"	3
All	Men	1	Previously	"smoking_status"	3
All	Men	2	Previously	"smoking_status"	3
All	Men	3	Previously	"smoking_status"	3
All	Men	4	Previously	"smoking_status"	3
All	Men	5	Previously	"smoking_status"	2
All	Women	1	Previously	"smoking_status"	2
All	Women	2	Previously	"smoking_status"	1
All	Women	3	Previously	"smoking_status"	1
All	Women	4	Previously	"smoking_status"	0
