"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
All	Men	1	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.011056	0.002211	Uncorrelated	0	NA	NA	NA	101.314823	47.079637	2.151988	0.097763	-0.051646	0.023394	-2.207695	0.091862	NA	NA	NA	NA	2216.492226	0.000000	2227.519530	1.000000	0.000000	1.000000
All	Men	1	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.011056	0.002211	Uncorrelated	1	2015	2013	2017	-22.651679	47.196605	-0.479943	0.656333	0.009876	0.023394	0.422162	0.694610	0.061522	0.033084	1.859590	0.136465	0.000547	0.000000	0.000547	1.000000	0.000000	1.000000
All	Men	2	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.002770	0.000554	Uncorrelated	0	NA	NA	NA	52.829487	12.641921	4.178913	0.013931	-0.027578	0.006279	-4.392364	0.011761	NA	NA	NA	NA	159.818166	0.000000	5621.447249	1.000000	0.000000	1.000000
All	Men	2	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.002770	0.000554	Uncorrelated	1	2017	2015	2017	-137.208122	74.976311	-1.830020	0.141224	0.066640	0.037145	1.794075	0.147250	0.094218	0.037671	2.501043	0.066692	0.000039	0.000000	0.001380	1.000000	0.000000	1.000000
All	Men	3	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.004750	0.000950	Uncorrelated	0	NA	NA	NA	10.811674	7.840326	1.378983	0.239990	-0.006735	0.003894	-1.729600	0.158757	NA	NA	NA	NA	61.470718	0.000000	2162.172239	1.000000	0.000000	1.000000
All	Men	3	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.004750	0.000950	Uncorrelated	1	2017	2013	2017	104.264073	46.499164	2.242278	0.088398	-0.053067	0.023036	-2.303616	0.082610	-0.046332	0.023363	-1.983129	0.118377	0.000015	0.000000	0.000531	1.000000	0.000000	1.000000
All	Men	4	Heavy Drinker	"alcohol_amt"	0	9	2	7	0.014245	0.002035	Uncorrelated	0	NA	NA	NA	41.508443	11.735004	3.537148	0.009506	-0.021972	0.005824	-3.772785	0.006958	NA	NA	NA	NA	137.710310	-0.068342	0.000034	1.000000	-0.999999	1.000000
All	Men	5	Heavy Drinker	"alcohol_amt"	0	9	2	7	0.037939	0.005420	Uncorrelated	0	NA	NA	NA	10.667648	19.151117	0.557025	0.594864	-0.006617	0.009504	-0.696214	0.508745	NA	NA	NA	NA	366.765280	-0.182017	0.000090	1.000000	-0.999999	1.000000
All	Women	1	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.021547	0.004309	Uncorrelated	0	NA	NA	NA	321.397806	26.198164	12.267952	0.000254	-0.161648	0.013018	-12.417526	0.000242	NA	NA	NA	NA	686.343778	0.000000	689.758417	1.000000	0.000000	1.000000
All	Women	1	Heavy Drinker	"alcohol_amt"	1	9	4	5	0.021547	0.004309	Uncorrelated	1	2015	2013	2017	-239.835049	26.263252	-9.131963	0.000798	0.116880	0.013018	8.978501	0.000852	0.278527	0.018410	15.129276	0.000111	0.000169	0.000000	0.000169	1.000000	0.000000	1.000000
