"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Men	1	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.0271323	      -5.3159830	      -5.3159830	       0.0000000	      -5.3159830
All	Men	1	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0107878	      -5.7500243	      -5.5058882	       0.6024017	      -5.6029563
All	Men	2	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.0187902	      -5.6833702	      -5.6833702	       0.0000000	      -5.6833702
All	Men	2	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0022015	      -7.3393136	      -7.0951775	       0.8828399	      -7.1237805
All	Men	3	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.0121566	      -6.1188331	      -6.1188331	       0.0000000	      -6.1188331
All	Men	3	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0084758	      -5.9912150	      -5.7470789	       0.3027797	      -5.9172956
All	Men	4	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.0148079	      -5.9215460	      -5.9215460	       0.0000000	      -5.9215460
All	Men	4	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0135732	      -5.5203388	      -5.2762027	       0.0833824	      -5.4999822
All	Men	5	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.0370091	      -5.0055426	      -5.0055426	       0.0000000	      -5.0055426
All	Men	5	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0324987	      -4.6472342	      -4.4030981	       0.1218727	      -4.6174806
All	Women	1	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.2569816	      -3.0677032	      -3.0677032	       0.0000000	      -3.0677032
All	Women	1	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0202377	      -5.1208868	      -4.8767508	       0.9212483	      -4.8959769
All	Women	2	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.2329647	      -3.1658209	      -3.1658209	       0.0000000	      -3.1658209
All	Women	2	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0305065	      -4.7104945	      -4.4663585	       0.8690508	      -4.4983279
All	Women	3	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.1384293	      -3.6863477	      -3.6863477	       0.0000000	      -3.6863477
All	Women	3	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0830225	      -3.7093243	      -3.4651883	       0.4002538	      -3.6116079
All	Women	4	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.1296085	      -3.7521894	      -3.7521894	       0.0000000	      -3.7521894
All	Women	4	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0553590	      -4.1145972	      -3.8704611	       0.5728755	      -3.9747376
All	Women	5	Heavy Drinker	"alcohol_amt"	1	0	9	2	7	       0.1047233	      -3.9653860	      -3.9653860	       0.0000000	      -3.9653860
All	Women	5	Heavy Drinker	"alcohol_amt"	2	1	9	4	5	       0.0273187	      -4.8208657	      -4.5767296	       0.7391348	      -4.6404162
All	Men	1	Light Drinker	"alcohol_amt"	1	0	9	2	7	       0.0030339	      -7.5068666	      -7.5068666	       0.0000000	      -7.5068666
All	Men	1	Light Drinker	"alcohol_amt"	2	1	9	4	5	       0.0002893	      -9.3686149	      -9.1244788	       0.9046327	      -9.1477614
All	Men	2	Light Drinker	"alcohol_amt"	1	0	9	2	7	       0.0043691	      -7.1421513	      -7.1421513	       0.0000000	      -7.1421513
All	Men	2	Light Drinker	"alcohol_amt"	2	1	9	4	5	       0.0013740	      -7.8107144	      -7.5665783	       0.6855201	      -7.6433542
All	Men	3	Light Drinker	"alcohol_amt"	1	0	9	2	7	       0.0012622	      -8.3838179	      -8.3838179	       0.0000000	      -8.3838179
All	Men	3	Light Drinker	"alcohol_amt"	2	1	9	4	5	       0.0007280	      -8.4459461	      -8.2018100	       0.4232810	      -8.3426079
All	Men	4	Light Drinker	"alcohol_amt"	1	0	9	2	7	       0.0016621	      -8.1086027	      -8.1086027	       0.0000000	      -8.1086027
All	Men	4	Light Drinker	"alcohol_amt"	2	1	9	4	5	       0.0012261	      -7.9245626	      -7.6804265	       0.2623102	      -7.8605232
All	Men	5	Light Drinker	"alcohol_amt"	1	0	9	2	7	       0.0043858	      -7.1383436	      -7.1383436	       0.0000000	      -7.1383436
All	Men	5	Light Drinker	"alcohol_amt"	2	1	9	4	5	       0.0007660	      -8.3949503	      -8.1508143	       0.8253338	      -8.1934566
All	Women	1	Light Drinker	"alcohol_amt"	1	0	9	2	7	       0.0007225	      -8.9417904	      -8.9417904	       0.0000000	      -8.9417904
All	Women	1	Light Drinker	"alcohol_amt"	2	1	9	4	5	       0.0006596	      -8.5445077	      -8.3003716	       0.0869726	      -8.5232745
All	Women	2	Light Drinker	"alcohol_amt"	1	0	9	2	7	       0.0023679	      -7.7547088	      -7.7547088	       0.0000000	      -7.7547088
All	Women	2	Light Drinker	"alcohol_amt"	2	1	9	4	5	       0.0003403	      -9.2062657	      -8.9621296	       0.8562714	      -8.9972189
All	Women	3	Light Drinker	"alcohol_amt"	1	0	9	2	7	       0.0007357	      -8.9235875	      -8.9235875	       0.0000000	      -8.9235875
All	Women	3	Light Drinker	"alcohol_amt"	2	1	9	4	5	       0.0005335	      -8.7566549	      -8.5125189	       0.2748230	      -8.6895607
