"age_group"	"sex"	"exposure"	"imd"	"Model"
All	Men	Current	1	0
All	Men	Current	2	1
All	Men	Current	3	1
All	Men	Current	4	0
All	Men	Current	5	1
All	Women	Current	1	1
All	Women	Current	2	1
All	Women	Current	3	0
All	Women	Current	4	1
All	Women	Current	5	1
All	Men	Healthy Weight	1	1
All	Men	Healthy Weight	2	1
All	Men	Healthy Weight	3	0
All	Men	Healthy Weight	4	0
All	Men	Healthy Weight	5	1
All	Women	Healthy Weight	1	1
All	Women	Healthy Weight	2	1
All	Women	Healthy Weight	3	0
All	Women	Healthy Weight	4	1
All	Women	Healthy Weight	5	1
All	Men	Heavy Drinker	1	0
All	Men	Heavy Drinker	2	1
All	Men	Heavy Drinker	3	0
All	Men	Heavy Drinker	4	0
All	Men	Heavy Drinker	5	0
All	Women	Heavy Drinker	1	1
All	Women	Heavy Drinker	2	0
All	Women	Heavy Drinker	3	0
All	Women	Heavy Drinker	4	0
All	Women	Heavy Drinker	5	0
All	Men	Light Drinker	1	0
All	Men	Light Drinker	2	0
All	Men	Light Drinker	3	0
All	Men	Light Drinker	4	0
All	Men	Light Drinker	5	0
All	Women	Light Drinker	1	0
All	Women	Light Drinker	2	0
All	Women	Light Drinker	3	0
All	Women	Light Drinker	4	0
All	Women	Light Drinker	5	1
All	Men	Meets Recommendations	1	0
All	Men	Meets Recommendations	2	0
All	Men	Meets Recommendations	3	0
All	Men	Meets Recommendations	4	0
All	Men	Meets Recommendations	5	0
All	Women	Meets Recommendations	1	0
All	Women	Meets Recommendations	2	0
All	Women	Meets Recommendations	3	0
All	Women	Meets Recommendations	4	0
All	Women	Meets Recommendations	5	0
All	Men	Moderate Drinker	1	0
All	Men	Moderate Drinker	2	0
All	Men	Moderate Drinker	3	0
All	Men	Moderate Drinker	4	0
All	Men	Moderate Drinker	5	0
All	Women	Moderate Drinker	1	0
All	Women	Moderate Drinker	2	1
All	Women	Moderate Drinker	3	0
All	Women	Moderate Drinker	4	0
All	Women	Moderate Drinker	5	0
All	Men	Never	1	1
All	Men	Never	2	1
All	Men	Never	3	0
All	Men	Never	4	1
All	Men	Never	5	1
All	Women	Never	1	1
All	Women	Never	2	1
All	Women	Never	3	0
All	Women	Never	4	1
All	Women	Never	5	1
All	Men	Non-Drinker	1	0
All	Men	Non-Drinker	2	0
All	Men	Non-Drinker	3	0
All	Men	Non-Drinker	4	0
All	Men	Non-Drinker	5	0
All	Women	Non-Drinker	1	0
All	Women	Non-Drinker	2	0
All	Women	Non-Drinker	3	0
All	Women	Non-Drinker	4	0
All	Women	Non-Drinker	5	0
All	Men	Obese	1	1
All	Men	Obese	2	1
All	Men	Obese	3	1
All	Men	Obese	4	0
All	Men	Obese	5	1
All	Women	Obese	1	1
All	Women	Obese	2	1
All	Women	Obese	3	0
All	Women	Obese	4	0
All	Women	Obese	5	1
All	Men	Overweight	1	1
All	Men	Overweight	2	1
All	Men	Overweight	3	0
All	Men	Overweight	4	2
All	Men	Overweight	5	1
All	Women	Overweight	1	1
All	Women	Overweight	2	2
All	Women	Overweight	3	0
All	Women	Overweight	4	0
All	Women	Overweight	5	1
All	Men	PhysicalActivity	1	0
All	Men	PhysicalActivity	2	0
All	Men	PhysicalActivity	3	0
All	Men	PhysicalActivity	4	0
All	Men	PhysicalActivity	5	0
All	Women	PhysicalActivity	1	0
All	Women	PhysicalActivity	2	0
All	Women	PhysicalActivity	3	0
All	Women	PhysicalActivity	4	0
All	Women	PhysicalActivity	5	0
All	Men	Previously	1	1
All	Men	Previously	2	1
All	Men	Previously	3	0
All	Men	Previously	4	0
All	Men	Previously	5	1
All	Women	Previously	1	1
All	Women	Previously	2	1
All	Women	Previously	3	1
All	Women	Previously	4	0
All	Women	Previously	5	1
All	Men	Underweight	1	0
All	Men	Underweight	2	0
All	Men	Underweight	3	0
All	Men	Underweight	4	0
All	Men	Underweight	5	0
All	Women	Underweight	1	0
All	Women	Underweight	2	0
All	Women	Underweight	3	0
All	Women	Underweight	4	0
All	Women	Underweight	5	0
