"age_group"	"sex"	"level"	"variable"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
0	0	0	0	0	0	2005	2019	-3.8634	-5.1798	-2.5286	1	-6.5894	0.000171
1	0	0	0	0	0	2005	2019	0.9781	-1.0983	3.0981	0	1.0803	0.311490
0	1	0	0	0	0	2005	2019	0.3871	-3.3734	4.2940	0	0.2334	0.821338
1	1	0	0	1	0	2005	2012	14.9397	8.7736	21.4552	1	6.4913	0.001295
1	1	0	0	1	1	2012	2019	0.1792	-4.1531	4.7074	0	0.1041	0.921114
0	0	1	0	0	0	2005	2019	1.2978	0.8230	1.7748	1	6.3294	0.000226
1	0	1	0	0	0	2005	2019	-0.3930	-1.3404	0.5636	0	-0.9500	0.369944
0	1	1	0	0	0	2005	2019	-0.1898	-0.6872	0.3101	0	-0.8768	0.406147
1	1	1	0	1	0	2005	2012	-1.6392	-2.9078	-0.3540	1	-3.2729	0.022128
1	1	1	0	1	1	2012	2019	0.4026	-0.6370	1.4531	0	0.9923	0.366602
0	0	2	0	0	0	2005	2019	-2.2782	-2.6039	-1.9515	1	-15.9200	0.000000
1	0	2	0	0	0	2005	2019	-0.4050	-1.4206	0.6211	0	-0.9130	0.387907
0	1	2	0	0	0	2005	2019	-2.4825	-3.5987	-1.3534	1	-5.0354	0.001007
1	1	2	0	1	0	2005	2012	4.5961	2.5951	6.6361	1	5.9801	0.001874
1	1	2	0	1	1	2012	2019	-0.0946	-1.6299	1.4648	0	-0.1570	0.881361
0	0	3	0	0	0	2005	2019	3.2303	1.8782	4.6003	1	5.5607	0.000534
1	0	3	0	0	0	2005	2019	2.0487	0.5650	3.5542	1	3.1930	0.012745
0	1	3	0	0	0	2005	2019	3.2264	2.5452	3.9122	1	11.0593	0.000004
1	1	3	0	0	0	2005	2019	-0.3492	-1.0661	0.3730	0	-1.1171	0.296375
0	0	4	1	1	0	1995	2001	-3.2283	-5.2078	-1.2075	1	-3.3121	0.003479
0	0	4	1	1	1	2001	2019	0.1398	-0.2528	0.5339	0	0.7417	0.466915
1	0	4	1	1	0	1995	2001	-3.9734	-6.4810	-1.3986	1	-3.1964	0.004534
1	0	4	1	1	1	2001	2019	-0.6840	-1.1822	-0.1833	1	-2.8470	0.009962
