"age_group"	"sex"	"level"	"variable"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
0	0	0	0	2005	0.08	0.08	NA	-3.8634*	0	0
0	0	0	0	2011	0.06	0.07	NA	-3.8634*	0	0
0	0	0	0	2012	0.07	0.06	NA	-3.8634*	0	0
0	0	0	0	2013	0.06	0.06	NA	-3.8634*	0	0
0	0	0	0	2014	0.06	0.06	NA	-3.8634*	0	0
0	0	0	0	2015	0.05	0.06	NA	-3.8634*	0	0
0	0	0	0	2016	0.05	0.05	NA	-3.8634*	0	0
0	0	0	0	2017	0.05	0.05	NA	-3.8634*	0	0
0	0	0	0	2018	0.06	0.05	NA	-3.8634*	0	0
0	0	0	0	2019	0.05	0.05	NA	-3.8634*	0	0
1	0	0	0	2005	0.06	0.07	NA	0.9781	0	0
1	0	0	0	2011	0.09	0.07	NA	0.9781	0	0
1	0	0	0	2012	0.07	0.07	NA	0.9781	0	0
1	0	0	0	2013	0.08	0.07	NA	0.9781	0	0
1	0	0	0	2014	0.08	0.08	NA	0.9781	0	0
1	0	0	0	2015	0.07	0.08	NA	0.9781	0	0
1	0	0	0	2016	0.08	0.08	NA	0.9781	0	0
1	0	0	0	2017	0.07	0.08	NA	0.9781	0	0
1	0	0	0	2018	0.07	0.08	NA	0.9781	0	0
1	0	0	0	2019	0.08	0.08	NA	0.9781	0	0
0	1	0	0	2005	0.02	0.02	NA	0.3871	0	0
0	1	0	0	2011	0.02	0.02	NA	0.3871	0	0
0	1	0	0	2012	0.03	0.02	NA	0.3871	0	0
0	1	0	0	2013	0.02	0.02	NA	0.3871	0	0
0	1	0	0	2014	0.02	0.02	NA	0.3871	0	0
0	1	0	0	2015	0.02	0.02	NA	0.3871	0	0
0	1	0	0	2016	0.02	0.02	NA	0.3871	0	0
0	1	0	0	2017	0.02	0.02	NA	0.3871	0	0
0	1	0	0	2018	0.02	0.02	NA	0.3871	0	0
0	1	0	0	2019	0.02	0.02	NA	0.3871	0	0
1	1	0	0	2005	0.01	0.01	NA	14.9397*	1	1
1	1	0	0	2011	0.02	0.02	NA	14.9397*	1	1
1	1	0	0	2012	0.02	0.02	Joinpoint 1	NA	1	1
1	1	0	0	2013	0.02	0.02	NA	0.1792	1	1
