"age_group"	"sex"	"level"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
20-49	Men	Below Recommendations	1	0	5	2	3	       0.0043632	      -6.4002096	      -6.4002096	       0.0000000	      -6.4002096
50+	Men	Below Recommendations	1	0	5	2	3	       0.0018494	      -7.2585519	      -7.2585519	       0.0000000	      -7.2585519
20-49	Women	Below Recommendations	1	0	5	2	3	       0.0015464	      -7.4375112	      -7.4375112	       0.0000000	      -7.4375112
50+	Women	Below Recommendations	1	0	5	2	3	       0.0019871	      -7.1867648	      -7.1867648	       0.0000000	      -7.1867648
20-49	Men	Current	1	0	25	2	23	       0.0395875	      -6.1906075	      -6.1906075	       0.0000000	      -6.1906075
20-49	Men	Current	2	1	25	4	21	       0.0319805	      -6.1464838	      -6.0177288	       0.1921561	      -6.1217428
20-49	Men	Current	3	2	25	6	19	       0.0305064	      -5.9361656	      -5.6786555	       0.1533543	      -5.8966753
20-49	Men	Current	4	3	25	8	17	       0.0281131	      -5.7603549	      -5.3740898	       0.2179453	      -5.6761702
20-49	Men	Current	5	4	25	10	15	       0.0249251	      -5.6232069	      -5.1081868	       0.2179453	      -5.5109607
50+	Men	Current	1	0	25	2	23	       0.0971540	      -5.2928232	      -5.2928232	       0.0000000	      -5.2928232
50+	Men	Current	2	1	25	4	21	       0.0836687	      -5.1847457	      -5.0559906	       0.1388035	      -5.1668740
50+	Men	Current	3	2	25	6	19	       0.0748783	      -5.0382370	      -4.7807269	       0.2061843	      -4.9851425
50+	Men	Current	4	3	25	8	17	       0.0696067	      -4.8537300	      -4.4674649	       0.6519112	      -4.6019195
50+	Men	Current	5	4	25	10	15	       0.0679748	      -4.6199437	      -4.1049236	       0.6616095	      -4.2792015
20-49	Women	Current	1	0	25	2	23	       0.0701106	      -5.6190468	      -5.6190468	       0.0000000	      -5.6190468
20-49	Women	Current	2	1	25	4	21	       0.0424593	      -5.8630649	      -5.7343099	       0.3943955	      -5.8122845
20-49	Women	Current	3	2	25	6	19	       0.0319129	      -5.8910909	      -5.6335809	       0.6157757	      -5.7325225
20-49	Women	Current	4	3	25	8	17	       0.0286965	      -5.7398146	      -5.3535495	       0.6339980	      -5.4949234
20-49	Women	Current	5	4	25	10	15	       0.0280442	      -5.5052975	      -4.9902774	       0.3927058	      -5.3030461
50+	Women	Current	1	0	25	2	23	       0.0334238	      -6.3598532	      -6.3598532	       0.0000000	      -6.3598532
50+	Women	Current	2	1	25	4	21	       0.0324974	      -6.1304512	      -6.0016962	       0.0277168	      -6.1268826
50+	Women	Current	3	2	25	6	19	       0.0304885	      -5.9367525	      -5.6792424	       0.1755070	      -5.8915576
50+	Women	Current	4	3	25	8	17	       0.0257142	      -5.8495490	      -5.4632839	       0.2840687	      -5.7398231
50+	Women	Current	5	4	25	10	15	       0.0239607	      -5.6626663	      -5.1476462	       0.4116677	      -5.4506492
20-49	Men	Healthy Weight	1	0	23	2	21	       0.0573864	      -5.7207911	      -5.7207911	       0.0000000	      -5.7207911
20-49	Men	Healthy Weight	2	1	23	4	19	       0.0344848	      -5.9574272	      -5.8211014	       0.3990766	      -5.9030228
20-49	Men	Healthy Weight	3	2	23	6	17	       0.0337344	      -5.7067763	      -5.4341246	       0.4386725	      -5.5871715
20-49	Men	Healthy Weight	4	3	23	8	15	       0.0315817	      -5.5000662	      -5.0910887	       0.3602804	      -5.3527196
20-49	Men	Healthy Weight	5	4	23	10	13	       0.0303144	      -5.2683674	      -4.7230641	       0.4949147	      -4.9984888
50+	Men	Healthy Weight	1	0	23	2	21	       0.0732528	      -5.4766811	      -5.4766811	       0.0000000	      -5.4766811
50+	Men	Healthy Weight	2	1	23	4	19	       0.0562196	      -5.4686799	      -5.3323541	       0.2325258	      -5.4369806
50+	Men	Healthy Weight	3	2	23	6	17	       0.0532810	      -5.2497140	      -4.9770624	       0.0863398	      -5.2261733
50+	Men	Healthy Weight	4	3	23	8	15	       0.0473656	      -5.0947467	      -4.6857692	       0.6019556	      -4.8485604
50+	Men	Healthy Weight	5	4	23	10	13	       0.0454501	      -4.8633764	      -4.3180730	       0.6019556	      -4.5351280
20-49	Women	Healthy Weight	1	0	23	2	21	       0.0167357	      -6.9530559	      -6.9530559	       0.0000000	      -6.9530559
20-49	Women	Healthy Weight	2	1	23	4	19	       0.0142609	      -6.8404259	      -6.7041000	       0.1478747	      -6.8202667
20-49	Women	Healthy Weight	3	2	23	6	17	       0.0109676	      -6.8303463	      -6.5576946	       0.4124351	      -6.7178952
20-49	Women	Healthy Weight	4	3	23	8	15	       0.0104615	      -6.6049382	      -6.1959607	       0.5905162	      -6.3634304
20-49	Women	Healthy Weight	5	4	23	10	13	       0.0099232	      -6.3851125	      -5.8398091	       0.7766795	      -5.9615865
50+	Women	Healthy Weight	1	0	23	2	21	       0.0240557	      -6.5902262	      -6.5902262	       0.0000000	      -6.5902262
50+	Women	Healthy Weight	2	1	23	4	19	       0.0162905	      -6.7073626	      -6.5710367	       0.3227996	      -6.6633567
50+	Women	Healthy Weight	3	2	23	6	17	       0.0103649	      -6.8868690	      -6.6142173	       0.5276235	      -6.7430115
50+	Women	Healthy Weight	4	3	23	8	15	       0.0092593	      -6.7270145	      -6.3180370	       0.4712226	      -6.5342950
50+	Women	Healthy Weight	5	4	23	10	13	       0.0076903	      -6.6400345	      -6.0947312	       0.5378689	      -6.3467329
20-49	Men	Heavy Drinker	1	0	10	2	8	       0.0429023	      -4.9908978	      -4.9908978	       0.0000000	      -4.9908978
20-49	Men	Heavy Drinker	2	1	10	4	6	       0.0415718	      -4.5618848	      -4.3316263	       0.0310129	      -4.5547438
50+	Men	Heavy Drinker	1	0	10	2	8	       0.0974139	      -4.1708547	      -4.1708547	       0.0000000	      -4.1708547
50+	Men	Heavy Drinker	2	1	10	4	6	       0.0930595	      -3.7560673	      -3.5258088	       0.0446998	      -3.7457748
20-49	Women	Heavy Drinker	1	0	10	2	8	       0.3289482	      -2.9539231	      -2.9539231	       0.0000000	      -2.9539231
20-49	Women	Heavy Drinker	2	1	10	4	6	       0.2746873	      -2.6736730	      -2.4434145	       0.1649527	      -2.6356913
50+	Women	Heavy Drinker	1	0	10	2	8	       0.3690131	      -2.8389912	      -2.8389912	       0.0000000	      -2.8389912
50+	Women	Heavy Drinker	2	1	10	4	6	       0.0939532	      -3.7465091	      -3.5162506	       0.7453932	      -3.5748759
20-49	Men	Light Drinker	1	0	10	2	8	       0.0049802	      -7.1443499	      -7.1443499	       0.0000000	      -7.1443499
20-49	Men	Light Drinker	2	1	10	4	6	       0.0043991	      -6.8079002	      -6.5776417	       0.1166796	      -6.7810337
50+	Men	Light Drinker	1	0	10	2	8	       0.0206142	      -5.7238411	      -5.7238411	       0.0000000	      -5.7238411
50+	Men	Light Drinker	2	1	10	4	6	       0.0119430	      -5.8091628	      -5.5789043	       0.4206444	      -5.7123059
20-49	Women	Light Drinker	1	0	10	2	8	       0.0056324	      -7.0212942	      -7.0212942	       0.0000000	      -7.0212942
20-49	Women	Light Drinker	2	1	10	4	6	       0.0047390	      -6.7334856	      -6.5032271	       0.1586171	      -6.6969627
50+	Women	Light Drinker	1	0	10	2	8	       0.0093097	      -6.5187665	      -6.5187665	       0.0000000	      -6.5187665
50+	Women	Light Drinker	2	1	10	4	6	       0.0031635	      -7.1376128	      -6.9073543	       0.6601882	      -6.9855989
20-49	Men	Meets Recommendations	1	0	5	2	3	       0.0054248	      -6.1824342	      -6.1824342	       0.0000000	      -6.1824342
50+	Men	Meets Recommendations	1	0	5	2	3	       0.0126329	      -5.3371102	      -5.3371102	       0.0000000	      -5.3371102
20-49	Women	Meets Recommendations	1	0	5	2	3	       0.0072669	      -5.8900935	      -5.8900935	       0.0000000	      -5.8900935
50+	Women	Meets Recommendations	1	0	5	2	3	       0.0407930	      -4.1649078	      -4.1649078	       0.0000000	      -4.1649078
20-49	Men	Moderate Drinker	1	0	10	2	8	       0.0025147	      -7.8276794	      -7.8276794	       0.0000000	      -7.8276794
20-49	Men	Moderate Drinker	2	1	10	4	6	       0.0019671	      -7.6127299	      -7.3824714	       0.2177395	      -7.5625935
50+	Men	Moderate Drinker	1	0	10	2	8	       0.0237067	      -5.5840655	      -5.5840655	       0.0000000	      -5.5840655
50+	Men	Moderate Drinker	2	1	10	4	6	       0.0172552	      -5.4411937	      -5.2109352	       0.2721390	      -5.3785314
20-49	Women	Moderate Drinker	1	0	10	2	8	       0.0299072	      -5.3517230	      -5.3517230	       0.0000000	      -5.3517230
20-49	Women	Moderate Drinker	2	1	10	4	6	       0.0238249	      -5.1185761	      -4.8883176	       0.2033741	      -5.0717474
50+	Women	Moderate Drinker	1	0	10	2	8	       0.0365678	      -5.1506554	      -5.1506554	       0.0000000	      -5.1506554
50+	Women	Moderate Drinker	2	1	10	4	6	       0.0059164	      -6.5115852	      -6.2813267	       0.8382085	      -6.3185806
20-49	Men	Never	1	0	25	2	23	       0.0213599	      -6.8076055	      -6.8076055	       0.0000000	      -6.8076055
20-49	Men	Never	2	1	25	4	21	       0.0164687	      -6.8101497	      -6.6813947	       0.2289903	      -6.7806661
20-49	Men	Never	3	2	25	6	19	       0.0122146	      -6.8514706	      -6.5939605	       0.4935861	      -6.7243672
20-49	Men	Never	4	3	25	8	17	       0.0119862	      -6.6128326	      -6.2265675	       0.4935861	      -6.4221775
20-49	Men	Never	5	4	25	10	15	       0.0119472	      -6.3585812	      -5.8435610	       0.3218830	      -6.1928049
50+	Men	Never	1	0	25	2	23	       0.0270926	      -6.5698596	      -6.5698596	       0.0000000	      -6.5698596
50+	Men	Never	2	1	25	4	21	       0.0250713	      -6.3898862	      -6.2611311	       0.0746068	      -6.3802802
50+	Men	Never	3	2	25	6	19	       0.0206894	      -6.3244816	      -6.0669715	       0.5861023	      -6.1735544
50+	Men	Never	4	3	25	8	17	       0.0192694	      -6.1380724	      -5.7518073	       0.5861023	      -5.9116815
50+	Men	Never	5	4	25	10	15	       0.0164707	      -6.0375003	      -5.5224801	       0.5861023	      -5.7356458
20-49	Women	Never	1	0	25	2	23	       0.0094008	      -7.6283282	      -7.6283282	       0.0000000	      -7.6283282
20-49	Women	Never	2	1	25	4	21	       0.0085084	      -7.4705515	      -7.3417965	       0.0949213	      -7.4583299
20-49	Women	Never	3	2	25	6	19	       0.0067018	      -7.4517297	      -7.1942196	       0.7731413	      -7.2526380
20-49	Women	Never	4	3	25	8	17	       0.0053024	      -7.4284363	      -7.0421712	       0.7731413	      -7.1297988
20-49	Women	Never	5	4	25	10	15	       0.0049741	      -7.2348382	      -6.7198181	       0.7731413	      -6.8366549
50+	Women	Never	1	0	25	2	23	       0.0116365	      -7.4149774	      -7.4149774	       0.0000000	      -7.4149774
50+	Women	Never	2	1	25	4	21	       0.0112383	      -7.1922876	      -7.0635326	       0.0342210	      -7.1878815
50+	Women	Never	3	2	25	6	19	       0.0105699	      -6.9960942	      -6.7385842	       0.1403046	      -6.9599644
50+	Women	Never	4	3	25	8	17	       0.0103814	      -6.7565749	      -6.3703098	       0.3830307	      -6.6086236
50+	Women	Never	5	4	25	10	15	       0.0101584	      -6.5207800	      -6.0057599	       0.3830307	      -6.3235115
20-49	Men	Non-Drinker	1	0	10	2	8	       0.0392252	      -5.0805029	      -5.0805029	       0.0000000	      -5.0805029
20-49	Men	Non-Drinker	2	1	10	4	6	       0.0363634	      -4.6957445	      -4.4654860	       0.0729601	      -4.6789448
50+	Men	Non-Drinker	1	0	10	2	8	       0.0484051	      -4.8702183	      -4.8702183	       0.0000000	      -4.8702183
50+	Men	Non-Drinker	2	1	10	4	6	       0.0371817	      -4.6734891	      -4.4432306	       0.2318635	      -4.6201005
20-49	Women	Non-Drinker	1	0	10	2	8	       0.0098932	      -6.4579789	      -6.4579789	       0.0000000	      -6.4579789
20-49	Women	Non-Drinker	2	1	10	4	6	       0.0090365	      -6.0880371	      -5.8577786	       0.0865944	      -6.0680980
50+	Women	Non-Drinker	1	0	10	2	8	       0.0117650	      -6.2846946	      -6.2846946	       0.0000000	      -6.2846946
50+	Women	Non-Drinker	2	1	10	4	6	       0.0082318	      -6.1812960	      -5.9510374	       0.3003103	      -6.1121469
20-49	Men	Obese	1	0	23	2	21	       0.1274512	      -4.9228642	      -4.9228642	       0.0000000	      -4.9228642
20-49	Men	Obese	2	1	23	4	19	       0.0610568	      -5.3861417	      -5.2498159	       0.5209399	      -5.3151242
20-49	Men	Obese	3	2	23	6	17	       0.0597852	      -5.1345356	      -4.8618839	       0.6995445	      -4.9438036
20-49	Men	Obese	4	3	23	8	15	       0.0539088	      -4.9653490	      -4.5563715	       0.9045103	      -4.5954247
20-49	Men	Obese	5	4	23	10	13	       0.0511053	      -4.7461036	      -4.2008003	       0.9045103	      -4.2528711
50+	Men	Obese	1	0	23	2	21	       0.0915875	      -5.2533029	      -5.2533029	       0.0000000	      -5.2533029
50+	Men	Obese	2	1	23	4	19	       0.0281822	      -6.1592564	      -6.0229305	       0.6922923	      -6.0648791
50+	Men	Obese	3	2	23	6	17	       0.0233001	      -6.0768360	      -5.8041844	       0.3403704	      -5.9840335
50+	Men	Obese	4	3	23	8	15	       0.0203478	      -5.9396676	      -5.5306901	       0.4370545	      -5.7609221
50+	Men	Obese	5	4	23	10	13	       0.0167804	      -5.8597807	      -5.3144773	       0.6753481	      -5.4915111
20-49	Women	Obese	1	0	23	2	21	       0.0687903	      -5.5395349	      -5.5395349	       0.0000000	      -5.5395349
20-49	Women	Obese	2	1	23	4	19	       0.0561640	      -5.4696707	      -5.3333448	       0.1835482	      -5.4446483
20-49	Women	Obese	3	2	23	6	17	       0.0415163	      -5.4992095	      -5.2265578	       0.5631731	      -5.3456594
20-49	Women	Obese	4	3	23	8	15	       0.0402037	      -5.2586834	      -4.8497059	       0.4858781	      -5.0599702
20-49	Women	Obese	5	4	23	10	13	       0.0387976	      -5.0216334	      -4.4763300	       0.4541315	      -4.7739939
50+	Women	Obese	1	0	23	2	21	       0.0319462	      -6.3065447	      -6.3065447	       0.0000000	      -6.3065447
50+	Women	Obese	2	1	23	4	19	       0.0299206	      -6.0993977	      -5.9630718	       0.0634053	      -6.0907539
50+	Women	Obese	3	2	23	6	17	       0.0221444	      -6.1277092	      -5.8550576	       0.4802716	      -5.9967624
50+	Women	Obese	4	3	23	8	15	       0.0194386	      -5.9853845	      -5.5764070	       0.6530201	      -5.7183139
50+	Women	Obese	5	4	23	10	13	       0.0191194	      -5.7292860	      -5.1839827	       0.6530201	      -5.3731920
20-49	Men	Overweight	1	0	23	2	21	       0.0193242	      -6.8092421	      -6.8092421	       0.0000000	      -6.8092421
20-49	Men	Overweight	2	1	23	4	19	       0.0181858	      -6.5973025	      -6.4609767	       0.0589058	      -6.5892721
20-49	Men	Overweight	3	2	23	6	17	       0.0147583	      -6.5334866	      -6.2608349	       0.2018818	      -6.4784432
20-49	Men	Overweight	4	3	23	8	15	       0.0145277	      -6.2765848	      -5.8676073	       0.1976459	      -6.1957520
20-49	Men	Overweight	5	4	23	10	13	       0.0138513	      -6.0516140	      -5.5063106	       0.2784398	      -5.8997798
50+	Men	Overweight	1	0	23	2	21	       0.0131982	      -7.1905204	      -7.1905204	       0.0000000	      -7.1905204
50+	Men	Overweight	2	1	23	4	19	       0.0099051	      -7.2048995	      -7.0685737	       0.2495114	      -7.1708847
50+	Men	Overweight	3	2	23	6	17	       0.0092456	      -7.0011499	      -6.7284983	       0.2679540	      -6.9280918
50+	Men	Overweight	4	3	23	8	15	       0.0077852	      -6.9004236	      -6.4914461	       0.3664134	      -6.7505688
50+	Men	Overweight	5	4	23	10	13	       0.0070182	      -6.7314880	      -6.1861847	       0.4825568	      -6.4683482
20-49	Women	Overweight	1	0	23	2	21	       0.0151660	      -7.0515394	      -7.0515394	       0.0000000	      -7.0515394
20-49	Women	Overweight	2	1	23	4	19	       0.0138718	      -6.8680912	      -6.7317654	       0.0853406	      -6.8564571
20-49	Women	Overweight	3	2	23	6	17	       0.0113536	      -6.7957604	      -6.5231087	       0.9713766	      -6.5309129
20-49	Women	Overweight	4	3	23	8	15	       0.0097565	      -6.6747127	      -6.2657351	       0.9713766	      -6.2774415
20-49	Women	Overweight	5	4	23	10	13	       0.0082966	      -6.5641408	      -6.0188375	       0.9713766	      -6.0344459
50+	Women	Overweight	1	0	23	2	21	       0.0152541	      -7.0457476	      -7.0457476	       0.0000000	      -7.0457476
50+	Women	Overweight	2	1	23	4	19	       0.0110058	      -7.0995236	      -6.9631978	       0.2785035	      -7.0615564
50+	Women	Overweight	3	2	23	6	17	       0.0098987	      -6.9328902	      -6.6602386	       0.2143113	      -6.8744579
50+	Women	Overweight	4	3	23	8	15	       0.0083270	      -6.8331431	      -6.4241656	       0.6760395	      -6.5566581
50+	Women	Overweight	5	4	23	10	13	       0.0078031	      -6.6254764	      -6.0801730	       0.6760395	      -6.2568297
20-49	Men	Previously	1	0	25	2	23	       0.1104286	      -5.1647518	      -5.1647518	       0.0000000	      -5.1647518
20-49	Men	Previously	2	1	25	4	21	       0.0550329	      -5.6036805	      -5.4749255	       0.5016431	      -5.5390914
20-49	Men	Previously	3	2	25	6	19	       0.0357406	      -5.7778130	      -5.5203029	       0.6741379	      -5.6042157
