"sex"	"age_group"	"cancer_site"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
Men	20-49	Colorectum	0	0	2001	2019	2.6793	2.3432	3.0165	1	17.0157	0.000000
Men	20-49	Gallbladder	0	0	2001	2019	3.1224	0.7804	5.5189	1	2.8237	0.011705
Men	20-49	Kidney	2	0	2001	2004	0.5769	-5.2024	6.7086	0	0.2139	0.834501
Men	20-49	Kidney	2	1	2004	2016	5.9525	5.1104	6.8014	1	15.9483	0.000000
Men	20-49	Kidney	2	2	2016	2019	-2.0229	-7.6529	3.9503	0	-0.7601	0.463188
Men	20-49	Liver	1	0	2001	2014	3.4171	1.4711	5.4003	1	3.7937	0.001975
Men	20-49	Liver	1	1	2014	2019	-3.9378	-11.4155	4.1712	0	-1.0632	0.305668
Men	20-49	MultipleMyeloma	0	0	2001	2019	3.9208	2.7846	5.0697	1	7.3806	0.000001
Men	20-49	Oral	1	0	2001	2013	2.9975	2.6085	3.3880	1	16.7414	0.000000
Men	20-49	Oral	1	1	2013	2019	-2.1429	-3.1956	-1.0787	1	-4.2954	0.000740
Men	20-49	Pancreas	0	0	2001	2019	1.8681	1.1776	2.5634	1	5.7414	0.000024
Men	20-49	Thyroid	1	0	2001	2012	7.4951	6.1250	8.8829	1	12.0841	0.000000
Men	20-49	Thyroid	1	1	2012	2019	3.5807	0.9803	6.2481	1	2.9677	0.010183
Men	50+	Colorectum	2	0	2001	2011	1.3332	1.0491	1.6181	1	10.3821	0.000001
Men	50+	Colorectum	2	1	2011	2014	-3.2287	-6.6567	0.3251	0	-2.0029	0.070454
Men	50+	Colorectum	2	2	2014	2019	-0.0442	-0.8471	0.7651	0	-0.1207	0.906107
Men	50+	Gallbladder	0	0	2001	2019	2.9621	2.3699	3.5577	1	10.6778	0.000000
Men	50+	Kidney	1	0	2001	2014	4.0653	3.5342	4.5991	1	16.7029	0.000000
Men	50+	Kidney	1	1	2014	2019	0.5072	-1.6630	2.7254	0	0.4971	0.626824
Men	50+	Liver	1	0	2001	2014	6.0941	5.6029	6.5875	1	27.3427	0.000000
Men	50+	Liver	1	1	2014	2019	1.7340	-0.2601	3.7680	0	1.8626	0.083633
Men	50+	MultipleMyeloma	0	0	2001	2019	2.9957	2.5591	3.4342	1	14.6590	0.000000
Men	50+	Oral	1	0	2001	2013	3.6833	3.0968	4.2731	1	13.6766	0.000000
Men	50+	Oral	1	1	2013	2019	1.7142	0.0783	3.3770	1	2.2483	0.041189
Men	50+	Pancreas	0	0	2001	2019	1.4379	1.2744	1.6018	1	18.6657	0.000000
Men	50+	Thyroid	1	0	2001	2014	6.2722	5.1290	7.4279	1	12.0632	0.000000
Men	50+	Thyroid	1	1	2014	2019	2.2643	-2.3472	7.0936	0	1.0408	0.315628
Women	20-49	Breast	1	0	2001	2013	1.5771	1.2817	1.8734	1	11.5233	0.000000
Women	20-49	Breast	1	1	2013	2019	-0.4907	-1.3158	0.3412	0	-1.2674	0.225701
Women	20-49	Colorectum	0	0	2001	2019	3.3622	2.9797	3.7461	1	18.8178	0.000000
Women	20-49	Endometrium	1	0	2001	2007	5.8734	2.8131	9.0249	1	4.1733	0.000938
Women	20-49	Endometrium	1	1	2007	2019	2.0484	1.0067	3.1010	1	4.2385	0.000826
Women	20-49	Gallbladder	0	0	2001	2019	3.4044	1.9021	4.9287	1	4.8264	0.000158
Women	20-49	Kidney	0	0	2001	2019	4.6272	3.8761	5.3837	1	13.2467	0.000000
Women	20-49	Liver	1	0	2001	2008	9.6354	5.9058	13.4962	1	5.7006	0.000055
Women	20-49	Liver	1	1	2008	2019	0.8900	-0.8564	2.6672	0	1.0884	0.294821
Women	20-49	MultipleMyeloma	0	0	2001	2019	6.0651	4.9857	7.1555	1	12.1458	0.000000
Women	20-49	Oral	2	0	2001	2004	-2.1363	-10.5822	7.1073	0	-0.5266	0.608917
Women	20-49	Oral	2	1	2004	2008	7.7586	-1.5413	17.9368	0	1.8222	0.095698
Women	20-49	Oral	2	2	2008	2019	0.8155	-0.4040	2.0499	0	1.4688	0.169898
Women	20-49	Pancreas	0	0	2001	2019	2.8955	2.0480	3.7501	1	7.2813	0.000001
Women	20-49	Thyroid	1	0	2001	2013	7.3019	6.6854	7.9220	1	26.2307	0.000000
Women	20-49	Thyroid	1	1	2013	2019	3.3740	1.6851	5.0910	1	4.3206	0.000705
Women	50+	Breast	1	0	2001	2004	2.0487	-0.6920	4.8651	0	1.5977	0.132430
Women	50+	Breast	1	1	2004	2019	0.3914	0.1607	0.6226	1	3.6412	0.002671
Women	50+	Colorectum	2	0	2001	2011	0.9728	0.6727	1.2738	1	7.1578	0.000019
Women	50+	Colorectum	2	1	2011	2017	-1.4386	-2.2777	-0.5922	1	-3.7300	0.003323
Women	50+	Colorectum	2	2	2017	2019	2.1718	-1.6613	6.1543	0	1.2367	0.241946
Women	50+	Endometrium	1	0	2001	2011	3.0196	2.5645	3.4768	1	14.4104	0.000000
Women	50+	Endometrium	1	1	2011	2019	0.3019	-0.3186	0.9263	0	1.0419	0.315095
Women	50+	Gallbladder	0	0	2001	2019	3.3095	2.8858	3.7349	1	16.7167	0.000000
Women	50+	Kidney	1	0	2001	2014	4.4816	3.9746	4.9911	1	19.3308	0.000000
Women	50+	Kidney	1	1	2014	2019	-0.6765	-2.7164	1.4062	0	-0.7016	0.494440
Women	50+	Liver	2	0	2001	2003	-1.1891	-14.0079	13.5406	0	-0.1895	0.853172
Women	50+	Liver	2	1	2003	2013	5.9040	4.5692	7.2559	1	9.9535	0.000001
Women	50+	Liver	2	2	2013	2019	0.7438	-1.5948	3.1380	0	0.6945	0.501798
Women	50+	MultipleMyeloma	0	0	2001	2019	2.4821	1.9911	2.9755	1	10.7707	0.000000
Women	50+	Oral	1	0	2001	2011	3.6496	2.9742	4.3295	1	11.7594	0.000000
Women	50+	Oral	1	1	2011	2019	1.6116	0.6848	2.5470	1	3.7421	0.002187
Women	50+	Pancreas	1	0	2001	2013	1.4113	1.1316	1.6918	1	10.8843	0.000000
Women	50+	Pancreas	1	1	2013	2019	-0.1757	-0.9607	0.6154	0	-0.4779	0.640109
Women	50+	Thyroid	1	0	2001	2014	5.6126	4.9211	6.3086	1	17.8302	0.000000
Women	50+	Thyroid	1	1	2014	2019	2.3555	-0.4730	5.2644	0	1.7819	0.096461
