"sex"	"age_group"	"cancer_site"	"year"	"Rate"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	20-49	Colorectum	2001	6.70	7.00	NA	2.6793*	0	0
Men	20-49	Colorectum	2002	7.10	7.19	NA	2.6793*	0	0
Men	20-49	Colorectum	2003	7.20	7.38	NA	2.6793*	0	0
Men	20-49	Colorectum	2004	7.90	7.58	NA	2.6793*	0	0
Men	20-49	Colorectum	2005	8.10	7.78	NA	2.6793*	0	0
Men	20-49	Colorectum	2006	8.30	7.99	NA	2.6793*	0	0
Men	20-49	Colorectum	2007	7.90	8.20	NA	2.6793*	0	0
Men	20-49	Colorectum	2008	8.40	8.42	NA	2.6793*	0	0
Men	20-49	Colorectum	2009	8.80	8.65	NA	2.6793*	0	0
Men	20-49	Colorectum	2010	8.30	8.88	NA	2.6793*	0	0
Men	20-49	Colorectum	2011	9.30	9.12	NA	2.6793*	0	0
Men	20-49	Colorectum	2012	9.90	9.36	NA	2.6793*	0	0
Men	20-49	Colorectum	2013	9.70	9.61	NA	2.6793*	0	0
Men	20-49	Colorectum	2014	10.20	9.87	NA	2.6793*	0	0
Men	20-49	Colorectum	2015	9.80	10.14	NA	2.6793*	0	0
Men	20-49	Colorectum	2016	10.80	10.41	NA	2.6793*	0	0
Men	20-49	Colorectum	2017	10.20	10.69	NA	2.6793*	0	0
Men	20-49	Colorectum	2018	10.80	10.97	NA	2.6793*	0	0
Men	20-49	Colorectum	2019	11.20	11.27	NA	2.6793*	0	0
Men	20-49	Gallbladder	2001	0.10	0.18	NA	3.1224*	0	0
Men	20-49	Gallbladder	2002	0.20	0.18	NA	3.1224*	0	0
Men	20-49	Gallbladder	2003	0.20	0.19	NA	3.1224*	0	0
Men	20-49	Gallbladder	2004	0.30	0.19	NA	3.1224*	0	0
Men	20-49	Gallbladder	2005	0.20	0.20	NA	3.1224*	0	0
Men	20-49	Gallbladder	2006	0.20	0.21	NA	3.1224*	0	0
Men	20-49	Gallbladder	2007	0.20	0.21	NA	3.1224*	0	0
Men	20-49	Gallbladder	2008	0.20	0.22	NA	3.1224*	0	0
Men	20-49	Gallbladder	2009	0.30	0.23	NA	3.1224*	0	0
Men	20-49	Gallbladder	2010	0.20	0.23	NA	3.1224*	0	0
Men	20-49	Gallbladder	2011	0.30	0.24	NA	3.1224*	0	0
Men	20-49	Gallbladder	2012	0.20	0.25	NA	3.1224*	0	0
Men	20-49	Gallbladder	2013	0.20	0.25	NA	3.1224*	0	0
Men	20-49	Gallbladder	2014	0.40	0.26	NA	3.1224*	0	0
Men	20-49	Gallbladder	2015	0.30	0.27	NA	3.1224*	0	0
Men	20-49	Gallbladder	2016	0.30	0.28	NA	3.1224*	0	0
Men	20-49	Gallbladder	2017	0.30	0.29	NA	3.1224*	0	0
Men	20-49	Gallbladder	2018	0.20	0.30	NA	3.1224*	0	0
Men	20-49	Gallbladder	2019	0.30	0.31	NA	3.1224*	0	0
Men	20-49	Kidney	2001	2.70	2.87	NA	0.5769	2	2
Men	20-49	Kidney	2002	3.10	2.88	NA	0.5769	2	2
Men	20-49	Kidney	2003	3.00	2.90	NA	0.5769	2	2
Men	20-49	Kidney	2004	2.80	2.92	Joinpoint 1	NA	2	2
Men	20-49	Kidney	2005	3.00	3.09	NA	5.9525*	2	2
Men	20-49	Kidney	2006	3.30	3.27	NA	5.9525*	2	2
Men	20-49	Kidney	2007	3.60	3.47	NA	5.9525*	2	2
Men	20-49	Kidney	2008	3.60	3.68	NA	5.9525*	2	2
Men	20-49	Kidney	2009	3.80	3.89	NA	5.9525*	2	2
Men	20-49	Kidney	2010	4.30	4.13	NA	5.9525*	2	2
Men	20-49	Kidney	2011	4.20	4.37	NA	5.9525*	2	2
Men	20-49	Kidney	2012	4.60	4.63	NA	5.9525*	2	2
Men	20-49	Kidney	2013	5.00	4.91	NA	5.9525*	2	2
Men	20-49	Kidney	2014	5.50	5.20	NA	5.9525*	2	2
Men	20-49	Kidney	2015	5.40	5.51	NA	5.9525*	2	2
Men	20-49	Kidney	2016	5.60	5.84	Joinpoint 2	NA	2	2
Men	20-49	Kidney	2017	5.90	5.72	NA	-2.0229	2	2
Men	20-49	Kidney	2018	5.50	5.60	NA	-2.0229	2	2
Men	20-49	Kidney	2019	5.50	5.49	NA	-2.0229	2	2
Men	20-49	Liver	2001	1.00	0.92	NA	3.4171*	1	1
Men	20-49	Liver	2002	0.90	0.95	NA	3.4171*	1	1
Men	20-49	Liver	2003	1.00	0.98	NA	3.4171*	1	1
Men	20-49	Liver	2004	0.90	1.01	NA	3.4171*	1	1
Men	20-49	Liver	2005	1.00	1.05	NA	3.4171*	1	1
Men	20-49	Liver	2006	1.10	1.08	NA	3.4171*	1	1
Men	20-49	Liver	2007	1.00	1.12	NA	3.4171*	1	1
Men	20-49	Liver	2008	1.30	1.16	NA	3.4171*	1	1
Men	20-49	Liver	2009	1.50	1.20	NA	3.4171*	1	1
Men	20-49	Liver	2010	1.40	1.24	NA	3.4171*	1	1
Men	20-49	Liver	2011	1.00	1.28	NA	3.4171*	1	1
Men	20-49	Liver	2012	1.30	1.32	NA	3.4171*	1	1
Men	20-49	Liver	2013	1.30	1.37	NA	3.4171*	1	1
Men	20-49	Liver	2014	1.50	1.42	Joinpoint 1	NA	1	1
Men	20-49	Liver	2015	1.30	1.36	NA	-3.9378	1	1
Men	20-49	Liver	2016	1.40	1.31	NA	-3.9378	1	1
Men	20-49	Liver	2017	1.30	1.26	NA	-3.9378	1	1
Men	20-49	Liver	2018	1.10	1.21	NA	-3.9378	1	1
Men	20-49	Liver	2019	1.20	1.16	NA	-3.9378	1	1
Men	20-49	MultipleMyeloma	2001	0.90	0.93	NA	3.9208*	0	0
