"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Men	20-49	Colorectum	0	19	2	17	0.023397	0.001376	Uncorrelated	0	NA	NA	NA	-50.960822	3.123296	-16.316359	0.000000	0.026440	0.001554	17.015653	0.000000	NA	NA	NA	NA	9.754979	-0.004853	0.000002	1.000000	-0.999996	1.000000
Men	20-49	Gallbladder	0	19	2	17	1.148877	0.067581	Uncorrelated	0	NA	NA	NA	-63.261140	21.886310	-2.890443	0.010166	0.030747	0.010889	2.823743	0.011705	NA	NA	NA	NA	479.010563	-0.238312	0.000119	1.000000	-0.999996	1.000000
Men	20-49	Kidney	2	19	6	13	0.025304	0.001946	Uncorrelated	0	NA	NA	NA	-10.457900	53.828979	-0.194280	0.849498	0.005753	0.026888	0.213949	0.834501	NA	NA	NA	NA	2897.558988	0.000000	0.000013	1.000000	0.000000	1.000000
Men	20-49	Kidney	2	19	6	13	0.025304	0.001946	Uncorrelated	1	2004	2003	2013	-114.802606	7.287311	-15.753769	0.000000	0.057821	0.003626	15.948265	0.000000	0.052068	0.027131	1.919146	0.081270	0.000723	0.000000	2944.058683	1.000000	0.000000	1.000000
Men	20-49	Kidney	2	19	6	13	0.025304	0.001946	Uncorrelated	2	2016	2012	2017	42.964424	54.259181	0.791837	0.445196	-0.020437	0.026888	-0.760077	0.463188	-0.078257	0.027131	-2.884437	0.014853	53.104897	0.000000	0.000723	1.000000	0.000000	1.000000
Men	20-49	Liver	1	19	4	15	0.204261	0.013617	Uncorrelated	0	NA	NA	NA	-67.321543	17.775598	-3.787301	0.002000	0.033600	0.008857	3.793672	0.001975	NA	NA	NA	NA	315.971895	0.000000	5808.120239	1.000000	0.000000	1.000000
Men	20-49	Liver	1	19	4	15	0.204261	0.013617	Uncorrelated	1	2014	2006	2017	81.258659	76.211024	1.066232	0.304362	-0.040174	0.037784	-1.063244	0.305668	-0.073774	0.038808	-1.900968	0.078093	0.000078	0.000000	0.001428	1.000000	0.000000	1.000000
Men	20-49	MultipleMyeloma	0	19	2	17	0.263112	0.015477	Uncorrelated	0	NA	NA	NA	-77.026180	10.473850	-7.354142	0.000001	0.038459	0.005211	7.380628	0.000001	NA	NA	NA	NA	109.701528	-0.054577	0.000027	1.000000	-0.999996	1.000000
Men	20-49	Oral	1	19	4	15	0.006512	0.000434	Uncorrelated	0	NA	NA	NA	-57.671216	3.539828	-16.292097	0.000000	0.029535	0.001764	16.741359	0.000000	NA	NA	NA	NA	12.530380	0.000000	103.414009	1.000000	0.000000	1.000000
Men	20-49	Oral	1	19	4	15	0.006512	0.000434	Uncorrelated	1	2013	2012	2014	45.387461	10.169268	4.463198	0.000536	-0.021662	0.005043	-4.295402	0.000740	-0.051197	0.005343	-9.582526	0.000000	0.000003	0.000000	0.000025	1.000000	0.000000	1.000000
