"age_group"	"sex"	"level"	"Model"
11-15 years	All children	Obese	2
11-15 years	All children	Overweight	0
11-15 years	All children	Overweight including obese	2
11-15 years	Boys	Obese	1
11-15 years	Boys	Overweight	0
11-15 years	Boys	Overweight including obese	2
11-15 years	Girls	Obese	2
11-15 years	Girls	Overweight	0
11-15 years	Girls	Overweight including obese	2
2-10 years	All children	Obese	1
2-10 years	All children	Overweight	1
2-10 years	All children	Overweight including obese	1
2-10 years	Boys	Obese	1
2-10 years	Boys	Overweight	1
2-10 years	Boys	Overweight including obese	1
2-10 years	Girls	Obese	1
2-10 years	Girls	Overweight	0
2-10 years	Girls	Overweight including obese	1
2-15 years	All children	Obese	2
2-15 years	All children	Overweight	1
2-15 years	All children	Overweight including obese	1
2-15 years	Boys	Obese	2
2-15 years	Boys	Overweight	0
2-15 years	Boys	Overweight including obese	1
2-15 years	Girls	Obese	1
2-15 years	Girls	Overweight	1
2-15 years	Girls	Overweight including obese	1
