"age_group"	"sex"	"level"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
11-15 years	All children	Obese	1	0	25	2	23	       0.3361735	      -4.0514935	      -4.0514935	       0.0000000	      -4.0514935
11-15 years	All children	Obese	2	1	25	4	21	       0.2475622	      -4.0999492	      -3.9711942	       0.2635882	      -4.0660109
11-15 years	All children	Obese	3	2	25	6	19	       0.1570763	      -4.2973694	      -4.0398593	       0.7654879	      -4.1002485
11-15 years	All children	Obese	4	3	25	8	17	       0.1504768	      -4.0827816	      -3.6965165	       0.7654879	      -3.7871004
11-15 years	All children	Obese	5	4	25	10	15	       0.1449657	      -3.8625834	      -3.3475632	       0.6747811	      -3.5150575
11-15 years	All children	Overweight	1	0	25	2	23	       0.1227061	      -5.0593289	      -5.0593289	       0.0000000	      -5.0593289
11-15 years	All children	Overweight	2	1	25	4	21	       0.0979793	      -5.0268552	      -4.8981002	       0.2015128	      -5.0009094
11-15 years	All children	Overweight	3	2	25	6	19	       0.0753179	      -5.0323830	      -4.7748729	       0.4674194	      -4.9120178
11-15 years	All children	Overweight	4	3	25	8	17	       0.0733158	      -4.8018153	      -4.4155502	       0.4674194	      -4.6212675
11-15 years	All children	Overweight	5	4	25	10	15	       0.0675335	      -4.6264572	      -4.1114371	       0.5274474	      -4.3548112
11-15 years	All children	Overweight including obese	1	0	25	2	23	       0.1206463	      -5.0762578	      -5.0762578	       0.0000000	      -5.0762578
11-15 years	All children	Overweight including obese	2	1	25	4	21	       0.0736768	      -5.3119228	      -5.1831678	       0.3893157	      -5.2617965
11-15 years	All children	Overweight including obese	3	2	25	6	19	       0.0477759	      -5.4875797	      -5.2300696	       0.6788346	      -5.3127730
11-15 years	All children	Overweight including obese	4	3	25	8	17	       0.0424518	      -5.3482223	      -4.9619572	       0.7221548	      -5.0692791
11-15 years	All children	Overweight including obese	5	4	25	10	15	       0.0401446	      -5.1465939	      -4.6315738	       0.6788346	      -4.7969804
11-15 years	Boys	Obese	1	0	25	2	23	       0.3216358	      -4.0957011	      -4.0957011	       0.0000000	      -4.0957011
11-15 years	Boys	Obese	2	1	25	4	21	       0.2292328	      -4.1768728	      -4.0481177	       0.2872908	      -4.1398826
11-15 years	Boys	Obese	3	2	25	6	19	       0.1800086	      -4.1610962	      -3.9035861	       0.8719938	      -3.9365490
11-15 years	Boys	Obese	4	3	25	8	17	       0.1739130	      -3.9380354	      -3.5517703	       0.8719938	      -3.6012147
11-15 years	Boys	Obese	5	4	25	10	15	       0.1513664	      -3.8193774	      -3.3043573	       0.8719938	      -3.3702831
11-15 years	Boys	Overweight	1	0	25	2	23	       0.4018245	      -3.8731055	      -3.8731055	       0.0000000	      -3.8731055
