"sex"	"age_group"	"cancer_site"	"year"	"count"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	20-49	Colorectum	2001	689.00	711.14	NA	3.6773*	1	1
Men	20-49	Colorectum	2002	733.00	737.29	NA	3.6773*	1	1
Men	20-49	Colorectum	2003	752.00	764.40	NA	3.6773*	1	1
Men	20-49	Colorectum	2004	822.00	792.51	NA	3.6773*	1	1
Men	20-49	Colorectum	2005	852.00	821.65	NA	3.6773*	1	1
Men	20-49	Colorectum	2006	893.00	851.87	NA	3.6773*	1	1
Men	20-49	Colorectum	2007	846.00	883.19	NA	3.6773*	1	1
Men	20-49	Colorectum	2008	914.00	915.67	NA	3.6773*	1	1
Men	20-49	Colorectum	2009	952.00	949.34	NA	3.6773*	1	1
Men	20-49	Colorectum	2010	912.00	984.25	NA	3.6773*	1	1
Men	20-49	Colorectum	2011	1024.00	1020.45	NA	3.6773*	1	1
Men	20-49	Colorectum	2012	1097.00	1057.97	Joinpoint 1	NA	1	1
Men	20-49	Colorectum	2013	1083.00	1079.30	NA	2.0162	1	1
Men	20-49	Colorectum	2014	1117.00	1101.06	NA	2.0162	1	1
Men	20-49	Colorectum	2015	1078.00	1123.26	NA	2.0162	1	1
Men	20-49	Colorectum	2016	1190.00	1145.91	NA	2.0162	1	1
Men	20-49	Colorectum	2017	1131.00	1169.01	NA	2.0162	1	1
Men	20-49	Colorectum	2018	1186.00	1192.58	NA	2.0162	1	1
Men	20-49	Colorectum	2019	1237.00	1216.63	NA	2.0162	1	1
Men	20-49	Gallbladder	2001	13.00	22.22	NA	2.8922*	0	0
Men	20-49	Gallbladder	2002	26.00	22.86	NA	2.8922*	0	0
Men	20-49	Gallbladder	2003	24.00	23.52	NA	2.8922*	0	0
Men	20-49	Gallbladder	2004	27.00	24.20	NA	2.8922*	0	0
Men	20-49	Gallbladder	2005	23.00	24.90	NA	2.8922*	0	0
Men	20-49	Gallbladder	2006	25.00	25.62	NA	2.8922*	0	0
Men	20-49	Gallbladder	2007	28.00	26.36	NA	2.8922*	0	0
Men	20-49	Gallbladder	2008	27.00	27.12	NA	2.8922*	0	0
Men	20-49	Gallbladder	2009	32.00	27.91	NA	2.8922*	0	0
Men	20-49	Gallbladder	2010	25.00	28.72	NA	2.8922*	0	0
Men	20-49	Gallbladder	2011	31.00	29.55	NA	2.8922*	0	0
Men	20-49	Gallbladder	2012	26.00	30.40	NA	2.8922*	0	0
Men	20-49	Gallbladder	2013	24.00	31.28	NA	2.8922*	0	0
Men	20-49	Gallbladder	2014	44.00	32.18	NA	2.8922*	0	0
Men	20-49	Gallbladder	2015	36.00	33.12	NA	2.8922*	0	0
Men	20-49	Gallbladder	2016	33.00	34.07	NA	2.8922*	0	0
Men	20-49	Gallbladder	2017	37.00	35.06	NA	2.8922*	0	0
Men	20-49	Gallbladder	2018	26.00	36.07	NA	2.8922*	0	0
Men	20-49	Gallbladder	2019	37.00	37.12	NA	2.8922*	0	0
Men	20-49	Kidney	2001	283.00	273.02	NA	5.8204*	1	1
Men	20-49	Kidney	2002	318.00	288.91	NA	5.8204*	1	1
Men	20-49	Kidney	2003	315.00	305.73	NA	5.8204*	1	1
Men	20-49	Kidney	2004	298.00	323.52	NA	5.8204*	1	1
Men	20-49	Kidney	2005	315.00	342.35	NA	5.8204*	1	1
Men	20-49	Kidney	2006	357.00	362.28	NA	5.8204*	1	1
Men	20-49	Kidney	2007	390.00	383.36	NA	5.8204*	1	1
Men	20-49	Kidney	2008	394.00	405.68	NA	5.8204*	1	1
Men	20-49	Kidney	2009	412.00	429.29	NA	5.8204*	1	1
Men	20-49	Kidney	2010	470.00	454.27	NA	5.8204*	1	1
Men	20-49	Kidney	2011	463.00	480.71	NA	5.8204*	1	1
Men	20-49	Kidney	2012	504.00	508.69	NA	5.8204*	1	1
Men	20-49	Kidney	2013	547.00	538.30	NA	5.8204*	1	1
Men	20-49	Kidney	2014	607.00	569.63	NA	5.8204*	1	1
Men	20-49	Kidney	2015	592.00	602.79	NA	5.8204*	1	1
Men	20-49	Kidney	2016	622.00	637.87	Joinpoint 1	NA	1	1
Men	20-49	Kidney	2017	652.00	628.65	NA	-1.4456	1	1
Men	20-49	Kidney	2018	610.00	619.56	NA	-1.4456	1	1
Men	20-49	Kidney	2019	609.00	610.60	NA	-1.4456	1	1
Men	20-49	Liver	2001	100.00	87.50	NA	6.7752*	1	1
Men	20-49	Liver	2002	90.00	93.43	NA	6.7752*	1	1
Men	20-49	Liver	2003	101.00	99.76	NA	6.7752*	1	1
Men	20-49	Liver	2004	97.00	106.51	NA	6.7752*	1	1
Men	20-49	Liver	2005	110.00	113.73	NA	6.7752*	1	1
Men	20-49	Liver	2006	121.00	121.44	NA	6.7752*	1	1
Men	20-49	Liver	2007	110.00	129.66	NA	6.7752*	1	1
Men	20-49	Liver	2008	145.00	138.45	NA	6.7752*	1	1
Men	20-49	Liver	2009	159.00	147.83	Joinpoint 1	NA	1	1
Men	20-49	Liver	2010	157.00	147.03	NA	-0.5375	1	1
Men	20-49	Liver	2011	111.00	146.24	NA	-0.5375	1	1
Men	20-49	Liver	2012	144.00	145.46	NA	-0.5375	1	1
Men	20-49	Liver	2013	144.00	144.68	NA	-0.5375	1	1
Men	20-49	Liver	2014	170.00	143.90	NA	-0.5375	1	1
Men	20-49	Liver	2015	145.00	143.12	NA	-0.5375	1	1
Men	20-49	Liver	2016	155.00	142.36	NA	-0.5375	1	1
Men	20-49	Liver	2017	146.00	141.59	NA	-0.5375	1	1
Men	20-49	Liver	2018	126.00	140.83	NA	-0.5375	1	1
Men	20-49	Liver	2019	130.00	140.07	NA	-0.5375	1	1
Men	20-49	MultipleMyeloma	2001	93.00	99.61	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2002	90.00	103.86	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2003	127.00	108.29	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2004	102.00	112.90	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2005	124.00	117.72	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2006	118.00	122.74	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2007	108.00	127.97	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2008	127.00	133.43	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2009	156.00	139.12	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2010	128.00	145.05	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2011	146.00	151.23	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2012	160.00	157.68	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2013	215.00	164.40	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2014	182.00	171.41	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2015	184.00	178.72	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2016	184.00	186.34	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2017	201.00	194.29	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2018	188.00	202.57	NA	4.2639*	0	0
Men	20-49	MultipleMyeloma	2019	177.00	211.21	NA	4.2639*	0	0
Men	20-49	Oral	2001	424.00	426.88	NA	3.8619*	1	1
Men	20-49	Oral	2002	454.00	443.36	NA	3.8619*	1	1
Men	20-49	Oral	2003	453.00	460.49	NA	3.8619*	1	1
Men	20-49	Oral	2004	474.00	478.27	NA	3.8619*	1	1
Men	20-49	Oral	2005	487.00	496.74	NA	3.8619*	1	1
Men	20-49	Oral	2006	532.00	515.93	NA	3.8619*	1	1
