"sex"	"age_group"	"cancer_site"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	20-49	Colorectum	1	0	19	2	17	      27.1439882	       0.6666576	       0.6666576	       0.0000000	       0.6666576
Men	20-49	Colorectum	2	1	19	4	15	      18.8254514	       0.6106527	       0.7656231	       0.3064596	       0.6581449
Men	20-49	Colorectum	3	2	19	6	13	      17.0711184	       0.8227719	       1.1327129	       0.1511891	       0.8696316
Men	20-49	Colorectum	4	3	19	8	11	      13.7541448	       0.9166650	       1.3815764	       0.5290283	       1.1626163
Men	20-49	Gallbladder	1	0	19	2	17	      15.7133022	       0.1200096	       0.1200096	       0.0000000	       0.1200096
Men	20-49	Gallbladder	2	1	19	4	15	      13.7707785	       0.2979918	       0.4529622	       0.1236229	       0.3171497
Men	20-49	Gallbladder	3	2	19	6	13	      13.2026893	       0.5658044	       0.8757453	       0.1013085	       0.5972041
Men	20-49	Gallbladder	4	3	19	8	11	      11.5591834	       0.7428050	       1.2077164	       0.4808319	       0.9663493
Men	20-49	Kidney	1	0	19	2	17	      36.5629601	       0.9645377	       0.9645377	       0.0000000	       0.9645377
Men	20-49	Kidney	2	1	19	4	15	      14.4307580	       0.3448048	       0.4997753	       0.6053176	       0.4386112
Men	20-49	Kidney	3	2	19	6	13	       9.9030564	       0.2782273	       0.5881682	       0.7636462	       0.5149125
Men	20-49	Kidney	4	3	19	8	11	       7.3710681	       0.2928874	       0.7577988	       0.8569744	       0.6913046
Men	20-49	Liver	1	0	19	2	17	      46.4437134	       1.2037431	       1.2037431	       0.0000000	       1.2037431
Men	20-49	Liver	2	1	19	4	15	      24.4519079	       0.8721512	       1.0271216	       0.4735152	       0.9455320
Men	20-49	Liver	3	2	19	6	13	      20.5241832	       1.0069877	       1.3169287	       0.2658135	       1.0893742
Men	20-49	Liver	4	3	19	8	11	      18.4727455	       1.2116212	       1.6765327	       0.4474947	       1.4196666
Men	20-49	MultipleMyeloma	1	0	19	2	17	      37.8867152	       1.0001025	       1.0001025	       0.0000000	       1.0001025
Men	20-49	MultipleMyeloma	2	1	19	4	15	      26.8685169	       0.9663981	       1.1213686	       0.2908196	       1.0114666
Men	20-49	MultipleMyeloma	3	2	19	6	13	      19.8403553	       0.9731019	       1.2830428	       0.7054380	       1.1917460
Men	20-49	MultipleMyeloma	4	3	19	8	11	      17.6850426	       1.1680440	       1.6329555	       0.7054380	       1.4960102
Men	20-49	Oral	1	0	19	2	17	      53.4701039	       1.3446247	       1.3446247	       0.0000000	       1.3446247
