"sex"	"exposure"	"imd"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
Men	Current	1	0	0	2001	2019	-3.0788	-4.2504	-1.8927	1	-5.4246	0.000046
Men	Current	2	1	0	2001	2003	26.3053	-8.2385	73.8531	0	1.5676	0.139283
Men	Current	2	1	1	2003	2019	-2.8366	-4.0199	-1.6388	1	-5.0372	0.000182
Men	Current	3	1	0	2001	2003	14.5920	-16.3205	56.9242	0	0.9292	0.368513
Men	Current	3	1	1	2003	2019	-2.1600	-3.3325	-0.9733	1	-3.8848	0.001650
Men	Current	4	0	0	2001	2019	-2.2586	-2.7649	-1.7497	1	-9.2817	0.000000
Men	Current	5	1	0	2001	2004	-13.9616	-26.7671	1.0830	0	-2.0014	0.065119
Men	Current	5	1	1	2004	2019	-0.4247	-1.7717	0.9407	0	-0.6703	0.513596
Men	Current	All	0	0	1995	2000	-1.5749	-3.2216	0.0998	0	-2.6123	0.059277
Women	Current	1	1	0	2001	2003	13.4617	-17.2804	55.6289	0	0.8572	0.405779
Women	Current	1	1	1	2003	2019	-5.0192	-6.1632	-3.8611	1	-9.1139	0.000000
Women	Current	2	1	0	2001	2005	5.5059	-3.5187	15.3747	0	1.2856	0.219451
Women	Current	2	1	1	2005	2019	-4.0781	-5.3413	-2.7981	1	-6.7365	0.000010
Women	Current	3	0	0	2001	2019	-3.1250	-4.0225	-2.2191	1	-7.1964	0.000001
Women	Current	4	1	0	2001	2011	-4.2113	-5.4338	-2.9731	1	-7.1850	0.000005
Women	Current	4	1	1	2011	2019	-1.3971	-3.1562	0.3939	0	-1.6764	0.115839
Women	Current	5	1	0	2001	2004	-13.5169	-23.4589	-2.2836	1	-2.5505	0.023095
Women	Current	5	1	1	2004	2019	-1.2965	-2.3100	-0.2725	1	-2.7119	0.016858
Women	Current	All	0	0	1995	2000	-1.2322	-2.6782	0.2353	0	-2.3340	0.079903
Men	Healthy Weight	1	1	0	2001	2003	18.9953	-7.1373	52.4818	0	1.5043	0.154728
Men	Healthy Weight	1	1	1	2003	2019	-0.8059	-1.7446	0.1418	0	-1.8251	0.089397
Men	Healthy Weight	2	1	0	2001	2003	17.2963	-14.3495	60.6346	0	1.0882	0.294882
Men	Healthy Weight	2	1	1	2003	2019	-0.1499	-1.3467	1.0613	0	-0.2669	0.793448
Men	Healthy Weight	3	0	0	2001	2019	0.3499	-0.4296	1.1354	0	0.9450	0.357886
Men	Healthy Weight	4	0	0	2001	2019	-0.4659	-1.2437	0.3180	0	-1.2559	0.226152
Men	Healthy Weight	5	1	0	2001	2003	-22.7629	-46.4562	11.4147	0	-1.5120	0.152767
Men	Healthy Weight	5	1	1	2003	2019	-0.1437	-1.5369	1.2692	0	-0.2195	0.829422
Men	Healthy Weight	All	0	0	1997	2000	-3.5187	-8.9984	2.2909	0	-2.6359	0.118815
Women	Healthy Weight	1	1	0	2001	2003	15.4699	-3.7847	38.5779	0	1.6912	0.112935
Women	Healthy Weight	1	1	1	2003	2019	-0.4904	-1.1841	0.2082	0	-1.5072	0.153989
Women	Healthy Weight	2	1	0	2001	2006	7.6674	3.1403	12.3931	1	3.6886	0.002432
Women	Healthy Weight	2	1	1	2006	2019	-1.2516	-2.2409	-0.2522	1	-2.6828	0.017849
Women	Healthy Weight	3	0	0	2001	2019	-0.7406	-1.3640	-0.1132	1	-2.4892	0.023460
Women	Healthy Weight	4	1	0	2001	2010	-2.8337	-5.2179	-0.3895	1	-2.4817	0.026384
Women	Healthy Weight	4	1	1	2010	2019	1.2343	-1.2498	3.7808	0	1.0590	0.307519
