"sex"	"exposure"	"imd"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Men	Current	1	2001	0.03	0.04	NA	-3.0788*	0	0
Men	Current	1	2002	0.03	0.04	NA	-3.0788*	0	0
Men	Current	1	2003	0.04	0.03	NA	-3.0788*	0	0
Men	Current	1	2004	0.04	0.03	NA	-3.0788*	0	0
Men	Current	1	2005	0.04	0.03	NA	-3.0788*	0	0
Men	Current	1	2006	0.03	0.03	NA	-3.0788*	0	0
Men	Current	1	2007	0.04	0.03	NA	-3.0788*	0	0
Men	Current	1	2008	0.03	0.03	NA	-3.0788*	0	0
Men	Current	1	2009	0.03	0.03	NA	-3.0788*	0	0
Men	Current	1	2010	0.03	0.03	NA	-3.0788*	0	0
Men	Current	1	2011	0.03	0.03	NA	-3.0788*	0	0
Men	Current	1	2012	0.02	0.03	NA	-3.0788*	0	0
Men	Current	1	2013	0.02	0.02	NA	-3.0788*	0	0
Men	Current	1	2014	0.03	0.02	NA	-3.0788*	0	0
Men	Current	1	2015	0.02	0.02	NA	-3.0788*	0	0
Men	Current	1	2016	0.02	0.02	NA	-3.0788*	0	0
Men	Current	1	2017	0.02	0.02	NA	-3.0788*	0	0
Men	Current	1	2018	0.02	0.02	NA	-3.0788*	0	0
Men	Current	1	2019	0.02	0.02	NA	-3.0788*	0	0
Men	Current	2	2001	0.03	0.03	NA	26.3053	1	1
Men	Current	2	2002	0.04	0.04	NA	26.3053	1	1
Men	Current	2	2003	0.04	0.04	Joinpoint 1	NA	1	1
Men	Current	2	2004	0.04	0.04	NA	-2.8366*	1	1
Men	Current	2	2005	0.05	0.04	NA	-2.8366*	1	1
Men	Current	2	2006	0.04	0.04	NA	-2.8366*	1	1
Men	Current	2	2007	0.04	0.04	NA	-2.8366*	1	1
Men	Current	2	2008	0.04	0.04	NA	-2.8366*	1	1
Men	Current	2	2009	0.04	0.04	NA	-2.8366*	1	1
Men	Current	2	2010	0.04	0.04	NA	-2.8366*	1	1
Men	Current	2	2011	0.04	0.04	NA	-2.8366*	1	1
Men	Current	2	2012	0.04	0.03	NA	-2.8366*	1	1
Men	Current	2	2013	0.04	0.03	NA	-2.8366*	1	1
Men	Current	2	2014	0.03	0.03	NA	-2.8366*	1	1
Men	Current	2	2015	0.02	0.03	NA	-2.8366*	1	1
Men	Current	2	2016	0.03	0.03	NA	-2.8366*	1	1
Men	Current	2	2017	0.03	0.03	NA	-2.8366*	1	1
Men	Current	2	2018	0.03	0.03	NA	-2.8366*	1	1
Men	Current	2	2019	0.03	0.03	NA	-2.8366*	1	1
Men	Current	3	2001	0.04	0.04	NA	14.5920	1	1
Men	Current	3	2002	0.04	0.05	NA	14.5920	1	1
Men	Current	3	2003	0.06	0.05	Joinpoint 1	NA	1	1
Men	Current	3	2004	0.05	0.05	NA	-2.1600*	1	1
Men	Current	3	2005	0.05	0.05	NA	-2.1600*	1	1
Men	Current	3	2006	0.05	0.05	NA	-2.1600*	1	1
Men	Current	3	2007	0.06	0.05	NA	-2.1600*	1	1
Men	Current	3	2008	0.04	0.05	NA	-2.1600*	1	1
Men	Current	3	2009	0.04	0.05	NA	-2.1600*	1	1
Men	Current	3	2010	0.05	0.04	NA	-2.1600*	1	1
Men	Current	3	2011	0.04	0.04	NA	-2.1600*	1	1
Men	Current	3	2012	0.04	0.04	NA	-2.1600*	1	1
Men	Current	3	2013	0.05	0.04	NA	-2.1600*	1	1
Men	Current	3	2014	0.04	0.04	NA	-2.1600*	1	1
Men	Current	3	2015	0.04	0.04	NA	-2.1600*	1	1
Men	Current	3	2016	0.04	0.04	NA	-2.1600*	1	1
Men	Current	3	2017	0.04	0.04	NA	-2.1600*	1	1
Men	Current	3	2018	0.04	0.04	NA	-2.1600*	1	1
Men	Current	3	2019	0.04	0.04	NA	-2.1600*	1	1
Men	Current	4	2001	0.06	0.07	NA	-2.2586*	0	0
