"age_group"	"sex"	"level"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
20-49	Men	Below Recommendations	2003	0.57	0.56	NA	-1.8635*	0	0
20-49	Men	Below Recommendations	2004	0.55	0.55	NA	-1.8635*	0	0
20-49	Men	Below Recommendations	2006	0.52	0.53	NA	-1.8635*	0	0
20-49	Men	Below Recommendations	2008	0.48	0.51	NA	-1.8635*	0	0
20-49	Men	Below Recommendations	2012	0.49	0.47	NA	-1.8635*	0	0
50+	Men	Below Recommendations	2003	0.75	0.74	NA	-0.6809	0	0
50+	Men	Below Recommendations	2004	0.75	0.74	NA	-0.6809	0	0
50+	Men	Below Recommendations	2006	0.70	0.73	NA	-0.6809	0	0
50+	Men	Below Recommendations	2008	0.73	0.72	NA	-0.6809	0	0
50+	Men	Below Recommendations	2012	0.70	0.70	NA	-0.6809	0	0
20-49	Women	Below Recommendations	2003	0.70	0.68	NA	-1.4434*	0	0
20-49	Women	Below Recommendations	2004	0.67	0.67	NA	-1.4434*	0	0
20-49	Women	Below Recommendations	2006	0.64	0.65	NA	-1.4434*	0	0
20-49	Women	Below Recommendations	2008	0.62	0.63	NA	-1.4434*	0	0
20-49	Women	Below Recommendations	2012	0.61	0.60	NA	-1.4434*	0	0
50+	Women	Below Recommendations	2003	0.83	0.83	NA	-1.2030*	0	0
50+	Women	Below Recommendations	2004	0.85	0.82	NA	-1.2030*	0	0
50+	Women	Below Recommendations	2006	0.78	0.80	NA	-1.2030*	0	0
50+	Women	Below Recommendations	2008	0.79	0.78	NA	-1.2030*	0	0
50+	Women	Below Recommendations	2012	0.75	0.75	NA	-1.2030*	0	0
20-49	Men	Current	1995	0.35	0.37	NA	-1.6740*	0	0
20-49	Men	Current	1996	0.37	0.36	NA	-1.6740*	0	0
20-49	Men	Current	1997	0.34	0.36	NA	-1.6740*	0	0
20-49	Men	Current	1998	0.34	0.35	NA	-1.6740*	0	0
20-49	Men	Current	1999	0.34	0.34	NA	-1.6740*	0	0
20-49	Men	Current	2000	0.35	0.34	NA	-1.6740*	0	0
20-49	Men	Current	2001	0.33	0.33	NA	-1.6740*	0	0
20-49	Men	Current	2002	0.34	0.33	NA	-1.6740*	0	0
20-49	Men	Current	2003	0.34	0.32	NA	-1.6740*	0	0
20-49	Men	Current	2004	0.30	0.32	NA	-1.6740*	0	0
