"age_group"	"sex"	"level"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
20-49	Men	Below Recommendations	0	5	2	3	0.004363	0.001454	Uncorrelated	0	NA	NA	NA	37.092268	10.694707	3.468283	0.040397	-0.018810	0.005330	-3.529333	0.038658	NA	NA	NA	NA	114.376761	-0.057000	0.000028	1.000000	-0.999999	1.000000
50+	Men	Below Recommendations	0	5	2	3	0.001849	0.000616	Uncorrelated	0	NA	NA	NA	13.390129	6.962773	1.923103	0.150179	-0.006833	0.003470	-1.969079	0.143576	NA	NA	NA	NA	48.480206	-0.024160	0.000012	1.000000	-0.999999	1.000000
20-49	Women	Below Recommendations	0	5	2	3	0.001546	0.000515	Uncorrelated	0	NA	NA	NA	28.739808	6.366807	4.514006	0.020320	-0.014539	0.003173	-4.582225	0.019515	NA	NA	NA	NA	40.536238	-0.020201	0.000010	1.000000	-0.999999	1.000000
50+	Women	Below Recommendations	0	5	2	3	0.001987	0.000662	Uncorrelated	0	NA	NA	NA	24.059933	7.217231	3.333679	0.044597	-0.012103	0.003597	-3.364927	0.043574	NA	NA	NA	NA	52.088422	-0.025958	0.000013	1.000000	-0.999999	1.000000
20-49	Men	Current	0	25	2	23	0.039588	0.001721	Uncorrelated	0	NA	NA	NA	32.679437	2.309371	14.150798	0.000000	-0.016882	0.001151	-14.671406	0.000000	NA	NA	NA	NA	5.333193	-0.002657	0.000001	1.000000	-0.999994	1.000000
50+	Men	Current	0	25	2	23	0.097154	0.004224	Uncorrelated	0	NA	NA	NA	37.563346	3.617804	10.382913	0.000000	-0.019607	0.001803	-10.877139	0.000000	NA	NA	NA	NA	13.088506	-0.006521	0.000003	1.000000	-0.999994	1.000000
20-49	Women	Current	1	25	4	21	0.042459	0.002022	Uncorrelated	0	NA	NA	NA	16.039296	15.846264	1.012181	0.323541	-0.008607	0.007931	-1.085246	0.290721	NA	NA	NA	NA	251.104099	0.000000	17.457698	1.000000	0.000000	1.000000
20-49	Women	Current	1	25	4	21	0.042459	0.002022	Uncorrelated	1	2002	1997	2005	63.924701	4.178241	15.299429	0.000000	-0.032526	0.002078	-15.654877	0.000000	-0.023919	0.008199	-2.917392	0.008517	0.000063	0.000000	0.000004	1.000000	0.000000	1.000000
50+	Women	Current	0	25	2	23	0.033424	0.001453	Uncorrelated	0	NA	NA	NA	48.670590	2.121986	22.936344	0.000000	-0.025184	0.001057	-23.819899	0.000000	NA	NA	NA	NA	4.502823	-0.002244	0.000001	1.000000	-0.999994	1.000000
20-49	Men	Healthy Weight	1	23	4	19	0.034485	0.001815	Uncorrelated	0	NA	NA	NA	72.116019	38.414918	1.877292	0.076782	-0.036563	0.019222	-1.902139	0.073279	NA	NA	NA	NA	1475.705961	0.000000	15.412698	1.000000	0.000000	1.000000
