"year","sex","Oral","Endometrium","Pancreas","Gallbladder","Colorectum","Liver","Kidney","Thyroid","MultipleMyeloma","Breast"
1995,"Men",0.453345143826316,0,0.19009324009324,0,0.112872854471062,0.248485399052198,0,0,0,0
1995,"Women",0.420729571030172,0,0.219608435440935,0,0.0741528840468041,0.245828657963637,0,0,0,0
1996,"Men",0.460720000490464,0,0.194924949661358,0,0.112773688576882,0.24973398981165,0,0,0,0
1996,"Women",0.426679280983917,0,0.223645680819912,0,0.0752327178391576,0.249436015393462,0,0,0,0
1997,"Men",0.452624362910197,0,0.217371212554119,0.070599610562488,0.250173778957496,0.390977177708261,0.227830158239186,0.0406811992867313,0.0856221326875594,0
1997,"Women",0.422001420924017,0.437628382602483,0.251289836015625,0.191453077193158,0.207797207734043,0.392554349014507,0.252224770471971,0.0292454852688605,0.0769075716484644,0.0705097896307641
1998,"Men",0.447235112711385,0,0.21475086222753,0.0724205385549966,0.252003538682291,0.3926551883883,0.2303295062676,0.0408463175266908,0.0866834115398368,0
1998,"Women",0.422061298354812,0.448885444318205,0.253298381725143,0.19676331878497,0.211426430350729,0.398142673199356,0.258873995399138,0.0288863146036368,0.0789448815921275,0.072373872667769
1999,"Men",0.43900054756234,0,0.212210435211802,0.0780007108801433,0.251721211273371,0.393332205655909,0.233383608829464,0.0395572195995442,0.0877837601862631,0
1999,"Women",0.418306344976002,0.451745686166853,0.251085641046593,0.199156274627973,0.212801105509333,0.397834241263434,0.261717431161294,0.0297233237101358,0.0801727305159019,0.0735129279136744
2000,"Men",0.443051215249579,0,0.218216385057761,0.0865439169617956,0.259785334056851,0.404757541349979,0.244926269851849,0.0402926495640689,0.0927640593395774,0
2000,"Women",0.404767052054779,0.452547681455827,0.241862587332307,0.199844313599479,0.209262399877914,0.388766276423205,0.262532874223897,0.029973170638034,0.0805291118108844,0.0738436796903034
2001,"Men",0.431772017321705,0,0.21116798015842,0.08590911545315,0.261194293277045,0.403517011501849,0.24718408731394,0.041494782819704,0.0938912210676026,0
2001,"Women",0.407920661080958,0.468838954932523,0.247937227380032,0.207773755238034,0.218352122949143,0.403368041182694,0.272391226058556,0.0293594269203318,0.0835983525363641,0.0766531533128729
2002,"Men",0.43428846546643,0,0.214909055355099,0.0906769005081993,0.258510584190217,0.40343444472487,0.247131671980394,0.039293152239343,0.0935737413829121,0
2002,"Women",0.413423299585784,0.467454762676366,0.250297312878401,0.207771181867242,0.217316641156251,0.402243575367742,0.272292246376333,0.0300499511060602,0.0838055770526999,0.0768534200861939
2003,"Men",0.432682400087887,0,0.214246604624409,0.0912032082222283,0.257664641492502,0.402413269528433,0.247140527577743,0.0390540555237053,0.0935455689797076,0
2003,"Women",0.400983640560436,0.46686490156491,0.242589805186389,0.206697757951372,0.214538570687342,0.396135933253386,0.271071267726909,0.0293447035639049,0.0831496711732934,0.076240833151739
2004,"Men",0.414472123636982,0,0.204989119802508,0.0940437976239882,0.258876063134229,0.401286803045351,0.251378165131477,0.0394745034479932,0.0954251530707688,0
2004,"Women",0.387388444622954,0.469823771992278,0.234998837140639,0.20920857142802,0.216292572673239,0.394020619500137,0.274035524001005,0.0302042444484503,0.0844464669808988,0.0774443585648953
2005,"Men",0.659974294394036,0,0.214646173777651,0.0914047987415744,0.321082221535231,0.460406046128039,0.246609557504527,0.0387447869827751,0.0932766557647879,0
2005,"Women",0.526449054785922,0.476561619397372,0.239577359740944,0.211361741120939,0.24365202483678,0.413532991154551,0.276869317097545,0.0287858849337739,0.0849130292239761,0.14147671016538
2006,"Men",0.415439975617019,0,0.207020991953256,0.0970202696808366,0.258759321969965,0.40156884419592,0.254583065029938,0.0394134938769665,0.0968048780915957,0
2006,"Women",0.373172737548096,0.475892323684858,0.228069478040031,0.211035368809813,0.215308659367375,0.39106027641283,0.276464475099807,0.0288244856387603,0.0847889556505138,0.0777392195184807
2007,"Men",0.413390532820217,0,0.205780058375993,0.0970041652727986,0.2557599827334,0.400153322624089,0.248920072346014,0.0370820558109691,0.0940470399913976,0
2007,"Women",0.371690353326387,0.477938195930986,0.22742013423669,0.212045006927948,0.215207986041171,0.39063362173371,0.277714995629087,0.0287158248734026,0.0851762629547902,0.0780935189422811
2008,"Men",0.409826437246085,0,0.204914641282617,0.0994125995512552,0.257743948954789,0.40145957250254,0.253770693667187,0.0379538620176464,0.0962585983306349,0
2008,"Women",0.363361022680723,0.481378804505252,0.223512346533746,0.214006000943746,0.216546284060961,0.390508565707024,0.280104679963917,0.0287692851854651,0.0860098978748696,0.0788603090874215
2009,"Men",0.410327666771073,0,0.201927495060457,0.0917892758342558,0.253515512864387,0.393463708812511,0.248346952280351,0.0392755062490493,0.0940929582067756,0
2009,"Women",0.368002815267349,0.472929774904284,0.224447335107228,0.209901680747666,0.214388849839511,0.38790618355127,0.275013106021,0.0292795120316776,0.0844551334042598,0.0774390495872986
2010,"Men",0.397801270512846,0,0.20170855349434,0.107302057449659,0.264012579595415,0.408724693718043,0.263177331136499,0.0381631203470084,0.100400119111941,0
2010,"Women",0.345564582395455,0.49128561349905,0.215621770346801,0.219207560178329,0.218592254885101,0.389701410373292,0.286491126436419,0.0284108986317713,0.0880844799958468,0.0807620796876101
2011,"Men",0.639817357466225,0,0.201967581979004,0.0965216298585823,0.316494361041833,0.455721418711167,0.248648010752118,0.037196667897319,0.0939452386551744,0
