"sex","age_group","variable","cancer_site","PIF_past","PIF_future","PIF_past_future"
"Men","All","Alcohol","Breast",NA,NA,NA
"Men","All","Alcohol","Colorectum",-0.00375814110993568,-0.00834123060152346,-0.0121307192330902
"Men","All","Alcohol","Endometrium",NA,NA,NA
"Men","All","Alcohol","Gallbladder",NA,NA,NA
"Men","All","Alcohol","Kidney",NA,NA,NA
"Men","All","Alcohol","Liver",-0.00162656124450625,-0.012231689697249,-0.0138781465341716
"Men","All","Alcohol","MultipleMyeloma",NA,NA,NA
"Men","All","Alcohol","Oral",-0.0123776985314289,-0.040311962475408,-0.0531886303255678
"Men","All","Alcohol","Pancreas",NA,NA,NA
"Men","All","Alcohol","Thyroid",NA,NA,NA
"Men","All","BMI","Breast",NA,NA,NA
"Men","All","BMI","Colorectum",0.0288715626375146,0.0131274206244786,0.0416199741151645
"Men","All","BMI","Endometrium",NA,NA,NA
"Men","All","BMI","Gallbladder",0.0298481314538796,0.0172379912768004,0.0465716009010492
"Men","All","BMI","Kidney",0.0404448573724923,0.0179930004328188,0.0577101334691025
"Men","All","BMI","Liver",0.0527101642645298,0.0275364432331038,0.0787951570515558
"Men","All","BMI","MultipleMyeloma",0.0144019608982335,0.00623679531129256,0.0205489341273225
"Men","All","BMI","Oral",NA,NA,NA
"Men","All","BMI","Pancreas",0.0145996445950802,0.0085065465575367,0.0229819985961454
"Men","All","BMI","Thyroid",-0.000109809742996066,-0.00180763086899523,-0.00191763910747245
"Men","All","Fibre","Breast",NA,NA,NA
"Men","All","Fibre","Colorectum",0.00333838938638497,-0.00456437444187204,-0.00121074739629484
"Men","All","Fibre","Endometrium",NA,NA,NA
"Men","All","Fibre","Gallbladder",NA,NA,NA
"Men","All","Fibre","Kidney",NA,NA,NA
"Men","All","Fibre","Liver",NA,NA,NA
"Men","All","Fibre","MultipleMyeloma",NA,NA,NA
"Men","All","Fibre","Oral",NA,NA,NA
"Men","All","Fibre","Pancreas",NA,NA,NA
"Men","All","Fibre","Thyroid",NA,NA,NA
"Men","All","ProcessedMeat","Breast",NA,NA,NA
"Men","All","ProcessedMeat","Colorectum",-0.00691566572682996,-0.0067365443646068,-0.0136987977804163
"Men","All","ProcessedMeat","Endometrium",NA,NA,NA
"Men","All","ProcessedMeat","Gallbladder",NA,NA,NA
"Men","All","ProcessedMeat","Kidney",NA,NA,NA
"Men","All","ProcessedMeat","Liver",NA,NA,NA
"Men","All","ProcessedMeat","MultipleMyeloma",NA,NA,NA
"Men","All","ProcessedMeat","Oral",NA,NA,NA
"Men","All","ProcessedMeat","Pancreas",NA,NA,NA
"Men","All","ProcessedMeat","Thyroid",NA,NA,NA
"Men","All","RedMeat","Breast",NA,NA,NA
"Men","All","RedMeat","Colorectum",-0.00486956048950837,-0.0175195153028151,-0.0224743881318373
"Men","All","RedMeat","Endometrium",NA,NA,NA
"Men","All","RedMeat","Gallbladder",NA,NA,NA
"Men","All","RedMeat","Kidney",NA,NA,NA
"Men","All","RedMeat","Liver",NA,NA,NA
"Men","All","RedMeat","MultipleMyeloma",NA,NA,NA
"Men","All","RedMeat","Oral",NA,NA,NA
"Men","All","RedMeat","Pancreas",NA,NA,NA
"Men","All","RedMeat","Thyroid",NA,NA,NA
"Men","All","Smoking","Breast",NA,NA,NA
"Men","All","Smoking","Colorectum",-0.0165281494049633,-0.0111961660089674,-0.0279093673184897
"Men","All","Smoking","Endometrium",NA,NA,NA
"Men","All","Smoking","Gallbladder",NA,NA,NA
"Men","All","Smoking","Kidney",NA,NA,NA
"Men","All","Smoking","Liver",-0.0382369085856531,-0.0305234629897793,-0.0699274944394902
"Men","All","Smoking","MultipleMyeloma",NA,NA,NA
"Men","All","Smoking","Oral",-0.0786922069189055,-0.0910818687838385,-0.176941508967642
"Men","All","Smoking","Pancreas",-0.0317087273957905,-0.0353422511278052,-0.0681716363301609
