Site type,Year,Number of sites,Mean PM10 concentration ,95% confidence interval for 'All sites' 
Urban Background,1992,3,36.14855487,7.167286523
Urban Background,1993,6,35.21320699,4.077449194
Urban Background,1994,13,32.37278515,2.894085281
Urban Background,1995,13,31.25181087,1.910017412
Urban Background,1996,16,32.05014849,1.706548872
Urban Background,1997,26,29.85060698,1.271976973
Urban Background,1998,33,25.93355694,1.006275467
Urban Background,1999,33,24.03211336,0.876389677
Urban Background,2000,34,22.94522233,0.973193823
Urban Background,2001,43,23.29975418,1.208543141
Urban Background,2002,40,22.56919672,0.866704343
Urban Background,2003,39,24.96045759,1.093858308
Urban Background,2004,41,21.74881235,0.945728103
Urban Background,2005,39,22.23843167,1.124045018
Urban Background,2006,41,23.85309727,1.039907482
Urban Background,2007,35,21.6118618,1.044810301
Urban Background,2008,31,18.68472056,0.876027607
Urban Background,2009,22,18.85230064,1.089490511
Urban Background,2010,20,18.69912317,1.363728671
Urban Background,2011,24,19.84286807,1.241151464
Urban Background,2012,25,16.97670136,1.182679142
Urban Background,2013,21,16.87919381,1.278055112
Urban Background,2014,24,16.77320199,0.97998315
Urban Background,2015,23,15.15797749,1.031856479
Urban Background,2016,22,15.57595767,1.132604399
Urban Background,2017,24,14.22653796,1.000065792
Urban Background,2018,22,14.87318998,0.988971283
Urban Background,2019,26,15.02647863,0.844963058
Urban Background,2020,40,13.22185382,0.67568159
Urban Background,2021,38,12.97194545,0.591516901
Urban Background,2022,44,13.95684276,0.587808855
Urban Background,2023,53,12.27537143,0.502961246
Urban Traffic,1997,4,36.7313588,7.629441905
Urban Traffic,1998,7,32.97519491,4.470492439
Urban Traffic,1999,7,31.73610385,6.35042181
Urban Traffic,2000,7,30.83307598,7.576781977
Urban Traffic,2001,7,31.55093257,5.5785046
Urban Traffic,2002,9,29.16747526,5.088923497
Urban Traffic,2003,10,30.47050836,6.489799173
Urban Traffic,2004,10,26.30201534,6.318928492
Urban Traffic,2005,10,27.39191128,6.061087674
Urban Traffic,2006,10,29.89991094,6.906540628
Urban Traffic,2007,9,26.12529625,7.682274634
Urban Traffic,2008,13,22.39409561,3.791473664
Urban Traffic,2009,16,20.26608496,2.680997302
Urban Traffic,2010,16,21.65944271,2.839946996
Urban Traffic,2011,15,22.92418617,3.248864606
Urban Traffic,2012,19,20.04144489,2.007952182
Urban Traffic,2013,16,20.44818411,2.270840887
Urban Traffic,2014,15,18.74021047,2.085249918
Urban Traffic,2015,21,17.2310545,1.350801129
Urban Traffic,2016,25,18.47210531,1.744393122
Urban Traffic,2017,29,17.24844744,1.497477259
Urban Traffic,2018,30,18.54533106,1.157694851
Urban Traffic,2019,37,17.9939806,1.272222821
Urban Traffic,2020,36,16.33014706,1.2164253
Urban Traffic,2021,34,15.89658736,1.189772044
Urban Traffic,2022,35,16.90345904,1.372287959
Urban Traffic,2023,36,15.2394442,1.229532304
