Site type,Year,Number of sites,Mean daily maximum 8-hour mean ozone concentration ,95% confidence interval for 'All sites' 
Rural Background,1987,5,55.73371991,6.721002491
Rural Background,1988,12,65.64981285,4.659026534
Rural Background,1989,14,67.86464614,4.972930965
Rural Background,1990,15,69.71884823,4.508190549
Rural Background,1991,12,66.79427101,4.455004374
Rural Background,1992,14,67.8641859,5.035280424
Rural Background,1993,14,65.21502892,5.309471716
Rural Background,1994,14,69.38386976,3.869373646
Rural Background,1995,15,70.04185377,3.851553623
Rural Background,1996,15,66.70551436,3.360383385
Rural Background,1997,15,65.87804203,3.291996423
Rural Background,1998,17,68.05100491,3.233699123
Rural Background,1999,17,72.206833,2.941632471
Rural Background,2000,15,67.16857708,2.901309375
Rural Background,2001,16,66.1410939,3.111451539
Rural Background,2002,18,66.95493096,3.061101679
Rural Background,2003,19,73.12097243,3.141220033
Rural Background,2004,19,71.90554171,2.697010939
Rural Background,2005,20,69.58880415,3.175932237
Rural Background,2006,21,73.86120991,3.185508689
Rural Background,2007,20,67.68682327,2.366239859
Rural Background,2008,20,69.824075,2.776703724
Rural Background,2009,22,67.63642721,2.662142188
Rural Background,2010,21,67.06291308,2.418050673
Rural Background,2011,22,67.96161796,2.26018005
Rural Background,2012,21,65.76109515,2.326102709
Rural Background,2013,21,68.98841077,2.201390628
Rural Background,2014,22,69.45663651,2.374208316
Rural Background,2015,22,71.13813047,1.880882468
Rural Background,2016,22,67.2424137,2.002794644
Rural Background,2017,20,69.16667566,2.244808449
Rural Background,2018,20,72.44044154,1.817804972
Rural Background,2019,19,71.61775258,2.206773699
Rural Background,2020,19,71.58003089,1.985694735
Rural Background,2021,18,70.59296826,1.546363826
Rural Background,2022,18,73.92458944,1.937533101
Rural Background,2023,20,73.18533501,1.868992836
Urban Background,1988,1,NA,NA
Urban Background,1989,1,NA,NA
Urban Background,1991,1,NA,NA
Urban Background,1992,4,39.92073153,12.5257199
Urban Background,1993,8,40.17707732,4.829714791
Urban Background,1994,13,47.42963988,3.260083886
Urban Background,1995,12,50.59969072,4.459544977
Urban Background,1996,18,45.92245964,2.793073475
Urban Background,1997,30,45.25629241,2.475751401
Urban Background,1998,42,48.45682457,2.321349119
Urban Background,1999,42,55.61305353,2.437577151
Urban Background,2000,41,52.18608936,2.420435619
Urban Background,2001,43,51.53686697,2.083010892
Urban Background,2002,45,52.65908147,2.282995545
Urban Background,2003,47,59.10313252,2.320678062
Urban Background,2004,50,56.54815639,2.392868156
Urban Background,2005,49,56.16364593,2.260301709
Urban Background,2006,48,60.72603455,2.445470962
Urban Background,2007,45,56.36195477,2.216519144
Urban Background,2008,43,58.92250747,2.653131653
Urban Background,2009,41,54.77306867,2.824474435
Urban Background,2010,42,51.94562047,2.450785606
Urban Background,2011,43,57.07709119,2.499086196
Urban Background,2012,42,55.05226443,1.891500184
Urban Background,2013,41,59.20267252,2.264195061
Urban Background,2014,42,59.93868088,2.347322533
Urban Background,2015,42,60.82366233,2.017577087
Urban Background,2016,41,55.91776665,2.081088477
Urban Background,2017,41,58.05640199,2.256589299
Urban Background,2018,42,62.77388335,2.001620902
Urban Background,2019,39,61.19443647,2.181379282
Urban Background,2020,39,64.41525643,1.812746134
Urban Background,2021,38,62.53374029,1.622969629
Urban Background,2022,40,65.01646011,1.647930626
Urban Background,2023,52,66.80087636,1.208359045
