"year","sex","age_group","cancer_site","Rate","count"
2001,"Men","20-34","Bladder",0.4,21
2002,"Men","20-34","Bladder",0.3,16
2003,"Men","20-34","Bladder",0.4,18
2004,"Men","20-34","Bladder",0.1,7
2005,"Men","20-34","Bladder",0.2,11
2006,"Men","20-34","Bladder",0.3,16
2007,"Men","20-34","Bladder",0.2,8
2008,"Men","20-34","Bladder",0.2,12
2009,"Men","20-34","Bladder",0.2,10
2010,"Men","20-34","Bladder",0.3,18
2011,"Men","20-34","Bladder",0.2,10
2012,"Men","20-34","Bladder",0.1,8
2013,"Men","20-34","Bladder",0.2,12
2014,"Men","20-34","Bladder",0.1,6
2015,"Men","20-34","Bladder",0.1,5
2016,"Men","20-34","Bladder",0.1,8
2017,"Men","20-34","Bladder",0.1,6
2018,"Men","20-34","Bladder",0.2,10
2019,"Men","20-34","Bladder",0.2,9
2001,"Men","20-34","Brain and CNS",3.3,171
2002,"Men","20-34","Brain and CNS",3,153
2003,"Men","20-34","Brain and CNS",3,155
2004,"Men","20-34","Brain and CNS",2.9,149
2005,"Men","20-34","Brain and CNS",3.3,166
2006,"Men","20-34","Brain and CNS",3.4,174
2007,"Men","20-34","Brain and CNS",3.5,177
2008,"Men","20-34","Brain and CNS",3.3,176
2009,"Men","20-34","Brain and CNS",3.2,171
2010,"Men","20-34","Brain and CNS",3.3,175
2011,"Men","20-34","Brain and CNS",3.8,206
2012,"Men","20-34","Brain and CNS",3.4,188
2013,"Men","20-34","Brain and CNS",3.5,198
2014,"Men","20-34","Brain and CNS",3.5,192
2015,"Men","20-34","Brain and CNS",3.6,201
2016,"Men","20-34","Brain and CNS",3.6,201
2017,"Men","20-34","Brain and CNS",3.7,211
2018,"Men","20-34","Brain and CNS",3.4,195
2019,"Men","20-34","Brain and CNS",3.5,199
2001,"Men","20-34","Breast",0,2
2002,"Men","20-34","Breast",0,2
2003,"Men","20-34","Breast",0,1
2004,"Men","20-34","Breast",0.1,4
2005,"Men","20-34","Breast",0,1
2006,"Men","20-34","Breast",0.1,3
2007,"Men","20-34","Breast",0,1
2008,"Men","20-34","Breast",0.1,3
2009,"Men","20-34","Breast",0,0
2010,"Men","20-34","Breast",0.1,3
2011,"Men","20-34","Breast",0.1,3
2012,"Men","20-34","Breast",0,1
2013,"Men","20-34","Breast",0.1,3
2014,"Men","20-34","Breast",0,0
2015,"Men","20-34","Breast",0.1,4
2016,"Men","20-34","Breast",0.1,5
2017,"Men","20-34","Breast",0,2
2018,"Men","20-34","Breast",0,0
2019,"Men","20-34","Breast",0,1
2001,"Men","20-34","Colorectum",1.5,75
2002,"Men","20-34","Colorectum",1.3,65
2003,"Men","20-34","Colorectum",1.7,84
2004,"Men","20-34","Colorectum",1.9,96
2005,"Men","20-34","Colorectum",2,100
2006,"Men","20-34","Colorectum",2.3,118
2007,"Men","20-34","Colorectum",2.1,106
2008,"Men","20-34","Colorectum",2.6,130
2009,"Men","20-34","Colorectum",3,158
2010,"Men","20-34","Colorectum",2.5,133
2011,"Men","20-34","Colorectum",3.4,179
2012,"Men","20-34","Colorectum",3.9,209
2013,"Men","20-34","Colorectum",3.8,211
2014,"Men","20-34","Colorectum",4.4,245
2015,"Men","20-34","Colorectum",3.6,198
2016,"Men","20-34","Colorectum",4.4,247
2017,"Men","20-34","Colorectum",3.2,183
2018,"Men","20-34","Colorectum",2.9,161
2019,"Men","20-34","Colorectum",2.8,157
2001,"Men","20-34","Gallbladder",0,1
2002,"Men","20-34","Gallbladder",0.1,3
2003,"Men","20-34","Gallbladder",0,2
2004,"Men","20-34","Gallbladder",0,3
2005,"Men","20-34","Gallbladder",0,1
2006,"Men","20-34","Gallbladder",0,1
2007,"Men","20-34","Gallbladder",0.1,6
2008,"Men","20-34","Gallbladder",0.1,3
2009,"Men","20-34","Gallbladder",0,2
2010,"Men","20-34","Gallbladder",0.1,3
2011,"Men","20-34","Gallbladder",0,2
2012,"Men","20-34","Gallbladder",0.1,3
2013,"Men","20-34","Gallbladder",0,2
2014,"Men","20-34","Gallbladder",0,3
2015,"Men","20-34","Gallbladder",0,2
2016,"Men","20-34","Gallbladder",0,3
2017,"Men","20-34","Gallbladder",0.1,6
2018,"Men","20-34","Gallbladder",0,1
2019,"Men","20-34","Gallbladder",0,3
2001,"Men","20-34","Hodgkin Lymphoma",4.1,207
2002,"Men","20-34","Hodgkin Lymphoma",4.4,220
2003,"Men","20-34","Hodgkin Lymphoma",3.6,179
2004,"Men","20-34","Hodgkin Lymphoma",3.8,190
2005,"Men","20-34","Hodgkin Lymphoma",3.6,184
2006,"Men","20-34","Hodgkin Lymphoma",4.4,221
2007,"Men","20-34","Hodgkin Lymphoma",4.2,213
2008,"Men","20-34","Hodgkin Lymphoma",4.1,211
2009,"Men","20-34","Hodgkin Lymphoma",4.2,221
2010,"Men","20-34","Hodgkin Lymphoma",4.6,241
2011,"Men","20-34","Hodgkin Lymphoma",4.5,243
2012,"Men","20-34","Hodgkin Lymphoma",3.9,215
2013,"Men","20-34","Hodgkin Lymphoma",4,222
2014,"Men","20-34","Hodgkin Lymphoma",4.4,243
2015,"Men","20-34","Hodgkin Lymphoma",4.9,274
2016,"Men","20-34","Hodgkin Lymphoma",4.5,255
2017,"Men","20-34","Hodgkin Lymphoma",5,280
2018,"Men","20-34","Hodgkin Lymphoma",4.9,276
2019,"Men","20-34","Hodgkin Lymphoma",4.6,260
2001,"Men","20-34","Kaposi Sarcoma",0.4,19
2002,"Men","20-34","Kaposi Sarcoma",0.4,22
2003,"Men","20-34","Kaposi Sarcoma",0.5,24
2004,"Men","20-34","Kaposi Sarcoma",0.3,15
2005,"Men","20-34","Kaposi Sarcoma",0.5,24
2006,"Men","20-34","Kaposi Sarcoma",0.5,26
2007,"Men","20-34","Kaposi Sarcoma",0.5,26
2008,"Men","20-34","Kaposi Sarcoma",0.5,24
2009,"Men","20-34","Kaposi Sarcoma",0.4,22
2010,"Men","20-34","Kaposi Sarcoma",0.4,19
2011,"Men","20-34","Kaposi Sarcoma",0.4,23
2012,"Men","20-34","Kaposi Sarcoma",0.4,23
