"year","sex","age_group","cancer_site","Rate","count"
2001,"Men","20-49","Bladder",1.88987341772152,180
2002,"Men","20-49","Bladder",1.65316455696203,161
2003,"Men","20-49","Bladder",1.45949367088608,145
2004,"Men","20-49","Bladder",1.62658227848101,161
2005,"Men","20-49","Bladder",1.51772151898734,153
2006,"Men","20-49","Bladder",1.33291139240506,137
2007,"Men","20-49","Bladder",1.26708860759494,132
2008,"Men","20-49","Bladder",1.49620253164557,159
2009,"Men","20-49","Bladder",1.50126582278481,162
2010,"Men","20-49","Bladder",1.43670886075949,154
2011,"Men","20-49","Bladder",1.28481012658228,141
2012,"Men","20-49","Bladder",1.33924050632911,145
2013,"Men","20-49","Bladder",1.26962025316456,139
2014,"Men","20-49","Bladder",1.32658227848101,144
2015,"Men","20-49","Bladder",1.2379746835443,133
2016,"Men","20-49","Bladder",1.14810126582278,124
2017,"Men","20-49","Bladder",1.07341772151899,111
2018,"Men","20-49","Bladder",1.07594936708861,114
2019,"Men","20-49","Bladder",1.32405063291139,137
2001,"Men","20-49","Brain and CNS",4.68354430379747,485
2002,"Men","20-49","Brain and CNS",4.76075949367089,488
2003,"Men","20-49","Brain and CNS",4.25696202531646,444
2004,"Men","20-49","Brain and CNS",4.50632911392405,466
2005,"Men","20-49","Brain and CNS",4.72658227848101,503
2006,"Men","20-49","Brain and CNS",4.89367088607595,522
2007,"Men","20-49","Brain and CNS",4.80379746835443,520
2008,"Men","20-49","Brain and CNS",4.9253164556962,530
2009,"Men","20-49","Brain and CNS",4.89367088607595,528
2010,"Men","20-49","Brain and CNS",4.58354430379747,502
2011,"Men","20-49","Brain and CNS",5.0253164556962,554
2012,"Men","20-49","Brain and CNS",4.8746835443038,530
2013,"Men","20-49","Brain and CNS",5.09367088607595,557
2014,"Men","20-49","Brain and CNS",4.98607594936709,538
2015,"Men","20-49","Brain and CNS",5.27848101265823,575
2016,"Men","20-49","Brain and CNS",5.21898734177215,572
2017,"Men","20-49","Brain and CNS",5.21518987341772,570
2018,"Men","20-49","Brain and CNS",5.22025316455696,565
2019,"Men","20-49","Brain and CNS",5.10886075949367,552
2001,"Men","20-49","Breast",0.124050632911392,16
2002,"Men","20-49","Breast",0.124050632911392,15
2003,"Men","20-49","Breast",0.19493670886076,19
2004,"Men","20-49","Breast",0.245569620253165,24
2005,"Men","20-49","Breast",0.159493670886076,16
2006,"Men","20-49","Breast",0.177215189873418,23
2007,"Men","20-49","Breast",0.124050632911392,13
2008,"Men","20-49","Breast",0.19493670886076,27
2009,"Men","20-49","Breast",0.230379746835443,24
2010,"Men","20-49","Breast",0.177215189873418,25
2011,"Men","20-49","Breast",0.159493670886076,21
2012,"Men","20-49","Breast",0.177215189873418,19
2013,"Men","20-49","Breast",0.124050632911392,18
2014,"Men","20-49","Breast",0.141772151898734,17
2015,"Men","20-49","Breast",0.245569620253165,25
2016,"Men","20-49","Breast",0.154430379746835,17
2017,"Men","20-49","Breast",0.159493670886076,20
2018,"Men","20-49","Breast",0.230379746835443,25
2019,"Men","20-49","Breast",0.265822784810127,28
2001,"Men","20-49","Colorectum",7.22151898734177,689
2002,"Men","20-49","Colorectum",7.62405063291139,733
2003,"Men","20-49","Colorectum",7.66582278481013,752
2004,"Men","20-49","Colorectum",8.24303797468354,822
2005,"Men","20-49","Colorectum",8.37848101265823,852
2006,"Men","20-49","Colorectum",8.65569620253165,893
2007,"Men","20-49","Colorectum",8.05063291139241,846
2008,"Men","20-49","Colorectum",8.60506329113924,914
2009,"Men","20-49","Colorectum",8.93417721518987,952
2010,"Men","20-49","Colorectum",8.45822784810127,912
2011,"Men","20-49","Colorectum",9.45822784810127,1024
2012,"Men","20-49","Colorectum",10.1620253164557,1097
2013,"Men","20-49","Colorectum",10.1063291139241,1083
2014,"Men","20-49","Colorectum",10.3949367088608,1117
2015,"Men","20-49","Colorectum",10.0708860759494,1078
2016,"Men","20-49","Colorectum",11.1493670886076,1190
2017,"Men","20-49","Colorectum",10.7582278481013,1131
2018,"Men","20-49","Colorectum",11.3443037974684,1186
2019,"Men","20-49","Colorectum",11.9354430379747,1237
2001,"Men","20-49","Gallbladder",0.0886075949367089,13
2002,"Men","20-49","Gallbladder",0.19493670886076,26
2003,"Men","20-49","Gallbladder",0.159493670886076,24
2004,"Men","20-49","Gallbladder",0.265822784810127,27
2005,"Men","20-49","Gallbladder",0.212658227848101,23
2006,"Men","20-49","Gallbladder",0.212658227848101,25
2007,"Men","20-49","Gallbladder",0.260759493670886,28
2008,"Men","20-49","Gallbladder",0.19493670886076,27
2009,"Men","20-49","Gallbladder",0.248101265822785,32
2010,"Men","20-49","Gallbladder",0.177215189873418,25
2011,"Men","20-49","Gallbladder",0.230379746835443,31
2012,"Men","20-49","Gallbladder",0.19493670886076,26
2013,"Men","20-49","Gallbladder",0.19493670886076,24
2014,"Men","20-49","Gallbladder",0.354430379746835,44
2015,"Men","20-49","Gallbladder",0.30126582278481,36
2016,"Men","20-49","Gallbladder",0.248101265822785,33
2017,"Men","20-49","Gallbladder",0.334177215189873,37
2018,"Men","20-49","Gallbladder",0.230379746835443,26
2019,"Men","20-49","Gallbladder",0.336708860759494,37
2001,"Men","20-49","Hodgkin Lymphoma",3.69620253164557,382
2002,"Men","20-49","Hodgkin Lymphoma",3.79873417721519,397
