"","year","age_group","variable","sex","cancer_site","PAF","count","attributable","rate_type","incidence_rate"
"1",2005,"20-49","BMI","Men","Colorectum",0.138038651947139,852,118,"Rate",8.1
"2",2006,"20-49","BMI","Men","Colorectum",0.139859109972791,893,125,"Rate",8.3
"3",2007,"20-49","BMI","Men","Colorectum",0.143052661700253,846,122,"Rate",7.8
"4",2008,"20-49","BMI","Men","Colorectum",0.146073076835593,914,134,"Rate",8.4
"5",2009,"20-49","BMI","Men","Colorectum",0.150506538618715,952,144,"Rate",8.8
"6",2010,"20-49","BMI","Men","Colorectum",0.155537939358965,912,142,"Rate",8.3
"7",2011,"20-49","BMI","Men","Colorectum",0.158020227623721,1024,162,"Rate",9.3
"8",2012,"20-49","BMI","Men","Colorectum",0.158131274654783,1097,174,"Rate",9.9
"9",2013,"20-49","BMI","Men","Colorectum",0.158896296420597,1083,173,"Rate",9.8
"10",2014,"20-49","BMI","Men","Colorectum",0.159790232852171,1117,179,"Rate",10.2
"11",2015,"20-49","BMI","Men","Colorectum",0.162310315191365,1078,175,"Rate",9.8
"12",2016,"20-49","BMI","Men","Colorectum",0.16071387407547,1190,192,"Rate",10.8
"13",2017,"20-49","BMI","Men","Colorectum",0.160484708666242,1131,182,"Rate",10.2
"14",2018,"20-49","BMI","Men","Colorectum",0.15632576824765,1186,186,"Rate",10.7
"15",2019,"20-49","BMI","Men","Colorectum",0.160677911979303,1237,199,"Rate",11.2
"16",2005,"20-49","BMI","Men","Colorectum",0.138038651947139,852,118,"attributable_rate",1.11811308077183
"17",2006,"20-49","BMI","Men","Colorectum",0.139859109972791,893,125,"attributable_rate",1.16083061277417
"18",2007,"20-49","BMI","Men","Colorectum",0.143052661700253,846,122,"attributable_rate",1.11581076126197
"19",2008,"20-49","BMI","Men","Colorectum",0.146073076835593,914,134,"attributable_rate",1.22701384541898
"20",2009,"20-49","BMI","Men","Colorectum",0.150506538618715,952,144,"attributable_rate",1.3244575398447
"21",2010,"20-49","BMI","Men","Colorectum",0.155537939358965,912,142,"attributable_rate",1.29096489667941
"22",2011,"20-49","BMI","Men","Colorectum",0.158020227623721,1024,162,"attributable_rate",1.46958811690061
"23",2012,"20-49","BMI","Men","Colorectum",0.158131274654783,1097,174,"attributable_rate",1.56549961908236
"24",2013,"20-49","BMI","Men","Colorectum",0.158896296420597,1083,173,"attributable_rate",1.55718370492185
"25",2014,"20-49","BMI","Men","Colorectum",0.159790232852171,1117,179,"attributable_rate",1.62986037509214
"26",2015,"20-49","BMI","Men","Colorectum",0.162310315191365,1078,175,"attributable_rate",1.59064108887538
"27",2016,"20-49","BMI","Men","Colorectum",0.16071387407547,1190,192,"attributable_rate",1.73570984001508
"28",2017,"20-49","BMI","Men","Colorectum",0.160484708666242,1131,182,"attributable_rate",1.63694402839566
"29",2018,"20-49","BMI","Men","Colorectum",0.15632576824765,1186,186,"attributable_rate",1.67268572024986
"30",2019,"20-49","BMI","Men","Colorectum",0.160677911979303,1237,199,"attributable_rate",1.7995926141682
"31",2005,"20-49","BMI","Men","Colorectum",0.138038651947139,852,118,"non_attributable_rate",6.98188691922817
"32",2006,"20-49","BMI","Men","Colorectum",0.139859109972791,893,125,"non_attributable_rate",7.13916938722583
"33",2007,"20-49","BMI","Men","Colorectum",0.143052661700253,846,122,"non_attributable_rate",6.68418923873803
"34",2008,"20-49","BMI","Men","Colorectum",0.146073076835593,914,134,"non_attributable_rate",7.17298615458102
"35",2009,"20-49","BMI","Men","Colorectum",0.150506538618715,952,144,"non_attributable_rate",7.47554246015531
"36",2010,"20-49","BMI","Men","Colorectum",0.155537939358965,912,142,"non_attributable_rate",7.00903510332059
"37",2011,"20-49","BMI","Men","Colorectum",0.158020227623721,1024,162,"non_attributable_rate",7.83041188309939
"38",2012,"20-49","BMI","Men","Colorectum",0.158131274654783,1097,174,"non_attributable_rate",8.33450038091764
"39",2013,"20-49","BMI","Men","Colorectum",0.158896296420597,1083,173,"non_attributable_rate",8.24281629507815
"40",2014,"20-49","BMI","Men","Colorectum",0.159790232852171,1117,179,"non_attributable_rate",8.57013962490786
"41",2015,"20-49","BMI","Men","Colorectum",0.162310315191365,1078,175,"non_attributable_rate",8.20935891112462
"42",2016,"20-49","BMI","Men","Colorectum",0.16071387407547,1190,192,"non_attributable_rate",9.06429015998492
"43",2017,"20-49","BMI","Men","Colorectum",0.160484708666242,1131,182,"non_attributable_rate",8.56305597160434
"44",2018,"20-49","BMI","Men","Colorectum",0.15632576824765,1186,186,"non_attributable_rate",9.02731427975014
"45",2019,"20-49","BMI","Men","Colorectum",0.160677911979303,1237,199,"non_attributable_rate",9.4004073858318
"46",2005,"20-49","BMI","Men","Gallbladder",0.07507033991949,23,2,"Rate",0.2
"47",2006,"20-49","BMI","Men","Gallbladder",0.0764765755825357,25,2,"Rate",0.2
"48",2007,"20-49","BMI","Men","Gallbladder",0.0801573831575586,28,3,"Rate",0.2
"49",2008,"20-49","BMI","Men","Gallbladder",0.0856264635046061,27,3,"Rate",0.2
"50",2009,"20-49","BMI","Men","Gallbladder",0.0927761347945296,32,3,"Rate",0.3
"51",2010,"20-49","BMI","Men","Gallbladder",0.0979913713446856,25,3,"Rate",0.2
"52",2011,"20-49","BMI","Men","Gallbladder",0.100985160085846,31,4,"Rate",0.3
"53",2012,"20-49","BMI","Men","Gallbladder",0.101625428234768,26,3,"Rate",0.2
"54",2013,"20-49","BMI","Men","Gallbladder",0.104017350215115,24,3,"Rate",0.2
"55",2014,"20-49","BMI","Men","Gallbladder",0.105191396845576,44,5,"Rate",0.4
"56",2015,"20-49","BMI","Men","Gallbladder",0.107370042546787,36,4,"Rate",0.3
"57",2016,"20-49","BMI","Men","Gallbladder",0.107317156963599,33,4,"Rate",0.3
"58",2017,"20-49","BMI","Men","Gallbladder",0.107235279358806,37,4,"Rate",0.3
"59",2018,"20-49","BMI","Men","Gallbladder",0.102148190359984,26,3,"Rate",0.2
"60",2019,"20-49","BMI","Men","Gallbladder",0.106785788208119,37,4,"Rate",0.3
"61",2005,"20-49","BMI","Men","Gallbladder",0.07507033991949,23,2,"attributable_rate",0.015014067983898
"62",2006,"20-49","BMI","Men","Gallbladder",0.0764765755825357,25,2,"attributable_rate",0.0152953151165071
"63",2007,"20-49","BMI","Men","Gallbladder",0.0801573831575586,28,3,"attributable_rate",0.0160314766315117
"64",2008,"20-49","BMI","Men","Gallbladder",0.0856264635046061,27,3,"attributable_rate",0.0171252927009212
"65",2009,"20-49","BMI","Men","Gallbladder",0.0927761347945296,32,3,"attributable_rate",0.0278328404383589
"66",2010,"20-49","BMI","Men","Gallbladder",0.0979913713446856,25,3,"attributable_rate",0.0195982742689371
"67",2011,"20-49","BMI","Men","Gallbladder",0.100985160085846,31,4,"attributable_rate",0.0302955480257539
"68",2012,"20-49","BMI","Men","Gallbladder",0.101625428234768,26,3,"attributable_rate",0.0203250856469537
"69",2013,"20-49","BMI","Men","Gallbladder",0.104017350215115,24,3,"attributable_rate",0.020803470043023
"70",2014,"20-49","BMI","Men","Gallbladder",0.105191396845576,44,5,"attributable_rate",0.0420765587382305
"71",2015,"20-49","BMI","Men","Gallbladder",0.107370042546787,36,4,"attributable_rate",0.0322110127640361
"72",2016,"20-49","BMI","Men","Gallbladder",0.107317156963599,33,4,"attributable_rate",0.0321951470890796
"73",2017,"20-49","BMI","Men","Gallbladder",0.107235279358806,37,4,"attributable_rate",0.0321705838076418
"74",2018,"20-49","BMI","Men","Gallbladder",0.102148190359984,26,3,"attributable_rate",0.0204296380719967
"75",2019,"20-49","BMI","Men","Gallbladder",0.106785788208119,37,4,"attributable_rate",0.0320357364624357
"76",2005,"20-49","BMI","Men","Gallbladder",0.07507033991949,23,2,"non_attributable_rate",0.184985932016102
"77",2006,"20-49","BMI","Men","Gallbladder",0.0764765755825357,25,2,"non_attributable_rate",0.184704684883493
"78",2007,"20-49","BMI","Men","Gallbladder",0.0801573831575586,28,3,"non_attributable_rate",0.183968523368488
"79",2008,"20-49","BMI","Men","Gallbladder",0.0856264635046061,27,3,"non_attributable_rate",0.182874707299079
"80",2009,"20-49","BMI","Men","Gallbladder",0.0927761347945296,32,3,"non_attributable_rate",0.272167159561641
"81",2010,"20-49","BMI","Men","Gallbladder",0.0979913713446856,25,3,"non_attributable_rate",0.180401725731063
"82",2011,"20-49","BMI","Men","Gallbladder",0.100985160085846,31,4,"non_attributable_rate",0.269704451974246
"83",2012,"20-49","BMI","Men","Gallbladder",0.101625428234768,26,3,"non_attributable_rate",0.179674914353046
"84",2013,"20-49","BMI","Men","Gallbladder",0.104017350215115,24,3,"non_attributable_rate",0.179196529956977
"85",2014,"20-49","BMI","Men","Gallbladder",0.105191396845576,44,5,"non_attributable_rate",0.35792344126177
"86",2015,"20-49","BMI","Men","Gallbladder",0.107370042546787,36,4,"non_attributable_rate",0.267788987235964
"87",2016,"20-49","BMI","Men","Gallbladder",0.107317156963599,33,4,"non_attributable_rate",0.26780485291092
"88",2017,"20-49","BMI","Men","Gallbladder",0.107235279358806,37,4,"non_attributable_rate",0.267829416192358
"89",2018,"20-49","BMI","Men","Gallbladder",0.102148190359984,26,3,"non_attributable_rate",0.179570361928003
"90",2019,"20-49","BMI","Men","Gallbladder",0.106785788208119,37,4,"non_attributable_rate",0.267964263537564
"91",2005,"20-49","BMI","Men","Kidney",0.15564894791052,315,50,"Rate",3
"92",2006,"20-49","BMI","Men","Kidney",0.157752537810537,357,57,"Rate",3.3
"93",2007,"20-49","BMI","Men","Kidney",0.161767650417859,390,64,"Rate",3.6
"94",2008,"20-49","BMI","Men","Kidney",0.166098413305643,394,66,"Rate",3.6
"95",2009,"20-49","BMI","Men","Kidney",0.172202988585419,412,71,"Rate",3.8
"96",2010,"20-49","BMI","Men","Kidney",0.178322229661928,470,84,"Rate",4.3
"97",2011,"20-49","BMI","Men","Kidney",0.181448581090443,463,85,"Rate",4.2
"98",2012,"20-49","BMI","Men","Kidney",0.181725845839762,504,92,"Rate",4.6
"99",2013,"20-49","BMI","Men","Kidney",0.183087822957385,547,101,"Rate",5
"100",2014,"20-49","BMI","Men","Kidney",0.18423783209258,607,112,"Rate",5.5
