"year","age_group","sex","level","value"
1995,"11-15 years","All children","Obese",14.7152866714966
1996,"11-15 years","All children","Obese",15.0153665292779
1997,"11-15 years","All children","Obese",16.133640647715
1998,"11-15 years","All children","Obese",17.1899084610967
1999,"11-15 years","All children","Obese",16.8219146974084
2000,"11-15 years","All children","Obese",18.7207350876653
2001,"11-15 years","All children","Obese",18.5056653075491
2002,"11-15 years","All children","Obese",20.0278578824105
2003,"11-15 years","All children","Obese",21.308613051469
2004,"11-15 years","All children","Obese",25.4913080032295
2005,"11-15 years","All children","Obese",20.8194312620809
2006,"11-15 years","All children","Obese",17.597367091812
2007,"11-15 years","All children","Obese",18.7982338443525
2008,"11-15 years","All children","Obese",19.5073097344139
2009,"11-15 years","All children","Obese",17.652203254859
2010,"11-15 years","All children","Obese",18.31717
2011,"11-15 years","All children","Obese",20.23016
2012,"11-15 years","All children","Obese",18.709167
2013,"11-15 years","All children","Obese",19.9137920600756
2014,"11-15 years","All children","Obese",20.1282212416622
2015,"11-15 years","All children","Obese",16.3474199754028
2016,"11-15 years","All children","Obese",23.0963812221412
2017,"11-15 years","All children","Obese",23.321732815536
2018,"11-15 years","All children","Obese",17.8615361345924
2019,"11-15 years","All children","Obese",23.9530056962977
1995,"11-15 years","All children","Overweight",14.0772040851926
1996,"11-15 years","All children","Overweight",14.4822295950409
1997,"11-15 years","All children","Overweight",14.1634323151295
1998,"11-15 years","All children","Overweight",15.3633495493889
1999,"11-15 years","All children","Overweight",14.4650220269758
2000,"11-15 years","All children","Overweight",12.5843055986972
2001,"11-15 years","All children","Overweight",16.1488632676525
2002,"11-15 years","All children","Overweight",14.9700363923436
2003,"11-15 years","All children","Overweight",15.6388700347603
2004,"11-15 years","All children","Overweight",16.2306199578338
2005,"11-15 years","All children","Overweight",14.99325544174
2006,"11-15 years","All children","Overweight",15.8838317932588
2007,"11-15 years","All children","Overweight",15.3831636228478
2008,"11-15 years","All children","Overweight",15.6614717034415
2009,"11-15 years","All children","Overweight",14.6217832095477
2010,"11-15 years","All children","Overweight",15.5251
2011,"11-15 years","All children","Overweight",16.836941
2012,"11-15 years","All children","Overweight",16.444124
2013,"11-15 years","All children","Overweight",15.9795095653104
2014,"11-15 years","All children","Overweight",14.746593202953
2015,"11-15 years","All children","Overweight",16.1192975517203
2016,"11-15 years","All children","Overweight",13.1739847431245
2017,"11-15 years","All children","Overweight",13.3213681818905
2018,"11-15 years","All children","Overweight",15.9059591286169
2019,"11-15 years","All children","Overweight",15.304593365597
1995,"11-15 years","All children","Overweight including obese",28.7924907566891
1996,"11-15 years","All children","Overweight including obese",29.4975961243188
1997,"11-15 years","All children","Overweight including obese",30.2970729628445
1998,"11-15 years","All children","Overweight including obese",32.5532580104855
1999,"11-15 years","All children","Overweight including obese",31.2869367243843
2000,"11-15 years","All children","Overweight including obese",31.3050406863626
2001,"11-15 years","All children","Overweight including obese",34.6545285752016
2002,"11-15 years","All children","Overweight including obese",34.997894274754
2003,"11-15 years","All children","Overweight including obese",36.9474830862294
2004,"11-15 years","All children","Overweight including obese",41.7219279610633
2005,"11-15 years","All children","Overweight including obese",35.8126867038209
2006,"11-15 years","All children","Overweight including obese",33.4811988850708
2007,"11-15 years","All children","Overweight including obese",34.1813974672003
2008,"11-15 years","All children","Overweight including obese",35.1687814378554
2009,"11-15 years","All children","Overweight including obese",32.2739864644066
2010,"11-15 years","All children","Overweight including obese",33.84226
2011,"11-15 years","All children","Overweight including obese",37.067102
2012,"11-15 years","All children","Overweight including obese",35.153291
2013,"11-15 years","All children","Overweight including obese",35.8933016253861
2014,"11-15 years","All children","Overweight including obese",34.8748144446152
2015,"11-15 years","All children","Overweight including obese",32.4667175271231
2016,"11-15 years","All children","Overweight including obese",36.2703659652658
2017,"11-15 years","All children","Overweight including obese",36.6431009974265
2018,"11-15 years","All children","Overweight including obese",33.7674952632094
2019,"11-15 years","All children","Overweight including obese",39.2575990618947
1995,"11-15 years","Boys","Obese",13.9210044544256
1996,"11-15 years","Boys","Obese",14.2793659106412
1997,"11-15 years","Boys","Obese",15.9287496397291
1998,"11-15 years","Boys","Obese",16.6147073759341
1999,"11-15 years","Boys","Obese",17.9461150404159
2000,"11-15 years","Boys","Obese",18.8896279124158
2001,"11-15 years","Boys","Obese",18.9862689963891
2002,"11-15 years","Boys","Obese",20.2859819738654
2003,"11-15 years","Boys","Obese",20.4412250312245
2004,"11-15 years","Boys","Obese",24.2952626779822
2005,"11-15 years","Boys","Obese",20.5086723082836
2006,"11-15 years","Boys","Obese",17.9028220633138
2007,"11-15 years","Boys","Obese",18.1892694677211
2008,"11-15 years","Boys","Obese",20.6364461940813
2009,"11-15 years","Boys","Obese",19.733932638778
2010,"11-15 years","Boys","Obese",19.93061
2011,"11-15 years","Boys","Obese",23.828486
2012,"11-15 years","Boys","Obese",19.065217
2013,"11-15 years","Boys","Obese",20.400645243703
2014,"11-15 years","Boys","Obese",21.6757068598886
2015,"11-15 years","Boys","Obese",17.8248399459573
2016,"11-15 years","Boys","Obese",25.5987696935625
2017,"11-15 years","Boys","Obese",22.8076585874045
2018,"11-15 years","Boys","Obese",19.3465888675694
2019,"11-15 years","Boys","Obese",27.3196460298194
1995,"11-15 years","Boys","Overweight",13.8694380174358
1996,"11-15 years","Boys","Overweight",15.1706763899306
1997,"11-15 years","Boys","Overweight",12.8500273603028
1998,"11-15 years","Boys","Overweight",14.875280883079
1999,"11-15 years","Boys","Overweight",15.1782524564134
2000,"11-15 years","Boys","Overweight",10.3673254479695
2001,"11-15 years","Boys","Overweight",14.2749455813849
2002,"11-15 years","Boys","Overweight",14.5256632572228
2003,"11-15 years","Boys","Overweight",14.498828496245
2004,"11-15 years","Boys","Overweight",12.9147800586685
2005,"11-15 years","Boys","Overweight",15.4795907432406
2006,"11-15 years","Boys","Overweight",15.2832535157789
2007,"11-15 years","Boys","Overweight",15.7419219748511
2008,"11-15 years","Boys","Overweight",15.6765272487981
2009,"11-15 years","Boys","Overweight",14.011139753995
2010,"11-15 years","Boys","Overweight",14.32883
2011,"11-15 years","Boys","Overweight",14.581514
2012,"11-15 years","Boys","Overweight",14.972356
2013,"11-15 years","Boys","Overweight",15.1562911041803
2014,"11-15 years","Boys","Overweight",12.5520242032203
2015,"11-15 years","Boys","Overweight",16.1460535431952
2016,"11-15 years","Boys","Overweight",9.2831756239463
2017,"11-15 years","Boys","Overweight",13.6670722243893
2018,"11-15 years","Boys","Overweight",16.1725207935299
2019,"11-15 years","Boys","Overweight",14.2482516355143
1995,"11-15 years","Boys","Overweight including obese",27.7904424718614
1996,"11-15 years","Boys","Overweight including obese",29.4500423005718
1997,"11-15 years","Boys","Overweight including obese",28.7787770000319
1998,"11-15 years","Boys","Overweight including obese",31.489988259013
1999,"11-15 years","Boys","Overweight including obese",33.1243674968294
2000,"11-15 years","Boys","Overweight including obese",29.2569533603854
2001,"11-15 years","Boys","Overweight including obese",33.261214577774
2002,"11-15 years","Boys","Overweight including obese",34.8116452310881
2003,"11-15 years","Boys","Overweight including obese",34.9400535274695
2004,"11-15 years","Boys","Overweight including obese",37.2100427366507
2005,"11-15 years","Boys","Overweight including obese",35.9882630515242
2006,"11-15 years","Boys","Overweight including obese",33.1860755790927
2007,"11-15 years","Boys","Overweight including obese",33.9311914425722
2008,"11-15 years","Boys","Overweight including obese",36.3129734428795
2009,"11-15 years","Boys","Overweight including obese",33.745072392773
2010,"11-15 years","Boys","Overweight including obese",34.25945
2011,"11-15 years","Boys","Overweight including obese",38.41
2012,"11-15 years","Boys","Overweight including obese",34.037574
2013,"11-15 years","Boys","Overweight including obese",35.5569363478833
2014,"11-15 years","Boys","Overweight including obese",34.2277310631089
2015,"11-15 years","Boys","Overweight including obese",33.9708934891526
2016,"11-15 years","Boys","Overweight including obese",34.8819453175088
2017,"11-15 years","Boys","Overweight including obese",36.4747308117938
2018,"11-15 years","Boys","Overweight including obese",35.5191096610992
2019,"11-15 years","Boys","Overweight including obese",41.5678976653337
1995,"11-15 years","Girls","Obese",15.5379034737857
1996,"11-15 years","Girls","Obese",15.8251155179926
1997,"11-15 years","Girls","Obese",16.3528843722673
1998,"11-15 years","Girls","Obese",17.7536987723141
1999,"11-15 years","Girls","Obese",15.6217418891196
2000,"11-15 years","Girls","Obese",18.5585377470913
2001,"11-15 years","Girls","Obese",18.0151451891005
2002,"11-15 years","Girls","Obese",19.7627607688486
2003,"11-15 years","Girls","Obese",22.2374293081755
2004,"11-15 years","Girls","Obese",26.7302053836668
2005,"11-15 years","Girls","Obese",21.1457652399055
2006,"11-15 years","Girls","Obese",17.2767054542696
2007,"11-15 years","Girls","Obese",19.449860440894
2008,"11-15 years","Girls","Obese",18.2935433141054
2009,"11-15 years","Girls","Obese",15.4005237761937
2010,"11-15 years","Girls","Obese",16.59016
2011,"11-15 years","Girls","Obese",16.517604
2012,"11-15 years","Girls","Obese",18.711406
2013,"11-15 years","Girls","Obese",19.3942307124702
2014,"11-15 years","Girls","Obese",18.4805004185872
2015,"11-15 years","Girls","Obese",14.8233939371907
2016,"11-15 years","Girls","Obese",20.4877685993713
2017,"11-15 years","Girls","Obese",23.8738879561132
2018,"11-15 years","Girls","Obese",16.2294156554816
2019,"11-15 years","Girls","Obese",20.4713723103533
1995,"11-15 years","Girls","Overweight",14.2923818326091
1996,"11-15 years","Girls","Overweight",13.7247993948072
1997,"11-15 years","Girls","Overweight",15.5688419374073
1998,"11-15 years","Girls","Overweight",15.8417359648049
1999,"11-15 years","Girls","Overweight",13.7035921156797
2000,"11-15 years","Girls","Overweight",14.7133971399415
2001,"11-15 years","Girls","Overweight",18.061446018837
2002,"11-15 years","Girls","Overweight",15.4264139230145
2003,"11-15 years","Girls","Overweight",16.8596490743362
2004,"11-15 years","Girls","Overweight",19.6652601661184
2005,"11-15 years","Girls","Overweight",14.4825453509902
2006,"11-15 years","Girls","Overweight",16.5143090547103
2007,"11-15 years","Girls","Overweight",14.9992717354602
2008,"11-15 years","Girls","Overweight",15.6452877291867
2009,"11-15 years","Girls","Overweight",15.2822789244424
2010,"11-15 years","Girls","Overweight",16.80556
2011,"11-15 years","Girls","Overweight",19.163969
2012,"11-15 years","Girls","Overweight",18.028657
2013,"11-15 years","Girls","Overweight",16.8580341542875
2014,"11-15 years","Girls","Overweight",17.0833109054922
2015,"11-15 years","Girls","Overweight",16.0916975270159
2016,"11-15 years","Girls","Overweight",17.2299552277201
2017,"11-15 years","Girls","Overweight",12.9500555314239
2018,"11-15 years","Girls","Overweight",15.6129993282076
2019,"11-15 years","Girls","Overweight",16.3970161580773
1995,"11-15 years","Girls","Overweight including obese",29.8302853063948
1996,"11-15 years","Girls","Overweight including obese",29.5499149127999
1997,"11-15 years","Girls","Overweight including obese",31.9217263096748
1998,"11-15 years","Girls","Overweight including obese",33.5954347371191
1999,"11-15 years","Girls","Overweight including obese",29.3253340047994
