variable	age_group	sex	exposure	year	value	SE
fibre_consumption_mean	20-49	Men	Fibre	2008	10.1278193820588	NA
fibre_consumption_mean	20-49	Men	Fibre	2009	10.0971938077073	NA
fibre_consumption_mean	20-49	Men	Fibre	2010	10.8320416523384	NA
fibre_consumption_mean	20-49	Men	Fibre	2011	10.9590093400105	NA
fibre_consumption_mean	20-49	Men	Fibre	2012	9.63162897058	NA
fibre_consumption_mean	20-49	Men	Fibre	2013	11.2125661419205	NA
fibre_consumption_mean	20-49	Men	Fibre	2014	9.8039721676212	NA
fibre_consumption_mean	20-49	Men	Fibre	2015	9.3761089709308	NA
fibre_consumption_mean	20-49	Men	Fibre	2016	6.5101306886654	NA
fibre_consumption_mean	20-49	Men	Fibre	2017	9.7996424538571	NA
fibre_consumption_mean	20-49	Men	Fibre	2018	9.1633338994172	NA
fibre_consumption_mean	20-49	Women	Fibre	2008	12.1845958613188	NA
fibre_consumption_mean	20-49	Women	Fibre	2009	13.5681020782816	NA
fibre_consumption_mean	20-49	Women	Fibre	2010	13.0677818787188	NA
fibre_consumption_mean	20-49	Women	Fibre	2011	14.2779273800842	NA
fibre_consumption_mean	20-49	Women	Fibre	2012	13.2906480971832	NA
fibre_consumption_mean	20-49	Women	Fibre	2013	13.5817182743888	NA
fibre_consumption_mean	20-49	Women	Fibre	2014	12.930620877947	NA
fibre_consumption_mean	20-49	Women	Fibre	2015	12.8506662791391	NA
fibre_consumption_mean	20-49	Women	Fibre	2016	12.1572405697607	NA
fibre_consumption_mean	20-49	Women	Fibre	2017	12.3626965462112	NA
fibre_consumption_mean	20-49	Women	Fibre	2018	11.2611672065446	NA
fibre_consumption_mean	50+	Men	Fibre	2008	8.809071700322	NA
fibre_consumption_mean	50+	Men	Fibre	2009	10.6895921150228	NA
fibre_consumption_mean	50+	Men	Fibre	2010	10.9255443822146	NA
fibre_consumption_mean	50+	Men	Fibre	2011	8.9264755960916	NA
fibre_consumption_mean	50+	Men	Fibre	2012	9.6492960951415	NA
fibre_consumption_mean	50+	Men	Fibre	2013	10.2685322488667	NA
fibre_consumption_mean	50+	Men	Fibre	2014	9.3555813065693	NA
fibre_consumption_mean	50+	Men	Fibre	2015	9.8660195282324	NA
fibre_consumption_mean	50+	Men	Fibre	2016	8.7739198680017	NA
fibre_consumption_mean	50+	Men	Fibre	2017	9.0819838960171	NA
fibre_consumption_mean	50+	Men	Fibre	2018	9.7558926421771	NA
fibre_consumption_mean	50+	Women	Fibre	2008	12.4440373064137	NA
fibre_consumption_mean	50+	Women	Fibre	2009	12.2620630659668	NA
fibre_consumption_mean	50+	Women	Fibre	2010	12.9373575793594	NA
fibre_consumption_mean	50+	Women	Fibre	2011	11.219095735686	NA
fibre_consumption_mean	50+	Women	Fibre	2012	11.9134983185967	NA
fibre_consumption_mean	50+	Women	Fibre	2013	12.1989689196238	NA
fibre_consumption_mean	50+	Women	Fibre	2014	12.3094715805029	NA
fibre_consumption_mean	50+	Women	Fibre	2015	12.2827917832591	NA
fibre_consumption_mean	50+	Women	Fibre	2016	11.9444859630252	NA
fibre_consumption_mean	50+	Women	Fibre	2017	12.2120390836099	NA
