"year","sex","age_group","cancer_site","count"
2001,"Men","20-49","Colorectum",689
2002,"Men","20-49","Colorectum",733
2003,"Men","20-49","Colorectum",752
2004,"Men","20-49","Colorectum",822
2005,"Men","20-49","Colorectum",852
2006,"Men","20-49","Colorectum",893
2007,"Men","20-49","Colorectum",846
2008,"Men","20-49","Colorectum",914
2009,"Men","20-49","Colorectum",952
2010,"Men","20-49","Colorectum",912
2011,"Men","20-49","Colorectum",1024
2012,"Men","20-49","Colorectum",1097
2013,"Men","20-49","Colorectum",1083
2014,"Men","20-49","Colorectum",1117
2015,"Men","20-49","Colorectum",1078
2016,"Men","20-49","Colorectum",1190
2017,"Men","20-49","Colorectum",1131
2018,"Men","20-49","Colorectum",1186
2019,"Men","20-49","Colorectum",1237
2001,"Men","20-49","Gallbladder",13
2002,"Men","20-49","Gallbladder",26
2003,"Men","20-49","Gallbladder",24
2004,"Men","20-49","Gallbladder",27
2005,"Men","20-49","Gallbladder",23
2006,"Men","20-49","Gallbladder",25
2007,"Men","20-49","Gallbladder",28
2008,"Men","20-49","Gallbladder",27
2009,"Men","20-49","Gallbladder",32
2010,"Men","20-49","Gallbladder",25
2011,"Men","20-49","Gallbladder",31
2012,"Men","20-49","Gallbladder",26
2013,"Men","20-49","Gallbladder",24
2014,"Men","20-49","Gallbladder",44
2015,"Men","20-49","Gallbladder",36
2016,"Men","20-49","Gallbladder",33
2017,"Men","20-49","Gallbladder",37
2018,"Men","20-49","Gallbladder",26
2019,"Men","20-49","Gallbladder",37
2001,"Men","20-49","Kidney",283
2002,"Men","20-49","Kidney",318
2003,"Men","20-49","Kidney",315
2004,"Men","20-49","Kidney",298
2005,"Men","20-49","Kidney",315
2006,"Men","20-49","Kidney",357
2007,"Men","20-49","Kidney",390
2008,"Men","20-49","Kidney",394
2009,"Men","20-49","Kidney",412
2010,"Men","20-49","Kidney",470
2011,"Men","20-49","Kidney",463
2012,"Men","20-49","Kidney",504
2013,"Men","20-49","Kidney",547
2014,"Men","20-49","Kidney",607
2015,"Men","20-49","Kidney",592
2016,"Men","20-49","Kidney",622
2017,"Men","20-49","Kidney",652
2018,"Men","20-49","Kidney",610
2019,"Men","20-49","Kidney",609
2001,"Men","20-49","Liver",100
2002,"Men","20-49","Liver",90
2003,"Men","20-49","Liver",101
2004,"Men","20-49","Liver",97
2005,"Men","20-49","Liver",110
2006,"Men","20-49","Liver",121
2007,"Men","20-49","Liver",110
2008,"Men","20-49","Liver",145
2009,"Men","20-49","Liver",159
2010,"Men","20-49","Liver",157
2011,"Men","20-49","Liver",111
2012,"Men","20-49","Liver",144
2013,"Men","20-49","Liver",144
2014,"Men","20-49","Liver",170
2015,"Men","20-49","Liver",145
2016,"Men","20-49","Liver",155
2017,"Men","20-49","Liver",146
2018,"Men","20-49","Liver",126
2019,"Men","20-49","Liver",130
2001,"Men","20-49","MultipleMyeloma",93
2002,"Men","20-49","MultipleMyeloma",90
2003,"Men","20-49","MultipleMyeloma",127
2004,"Men","20-49","MultipleMyeloma",102
2005,"Men","20-49","MultipleMyeloma",124
2006,"Men","20-49","MultipleMyeloma",118
2007,"Men","20-49","MultipleMyeloma",108
2008,"Men","20-49","MultipleMyeloma",127
2009,"Men","20-49","MultipleMyeloma",156
2010,"Men","20-49","MultipleMyeloma",128
2011,"Men","20-49","MultipleMyeloma",146
2012,"Men","20-49","MultipleMyeloma",160
2013,"Men","20-49","MultipleMyeloma",215
2014,"Men","20-49","MultipleMyeloma",182
2015,"Men","20-49","MultipleMyeloma",184
2016,"Men","20-49","MultipleMyeloma",184
2017,"Men","20-49","MultipleMyeloma",201
2018,"Men","20-49","MultipleMyeloma",188
2019,"Men","20-49","MultipleMyeloma",177
2001,"Men","20-49","Oral",424
2002,"Men","20-49","Oral",454
2003,"Men","20-49","Oral",453
2004,"Men","20-49","Oral",474
2005,"Men","20-49","Oral",487
2006,"Men","20-49","Oral",532
2007,"Men","20-49","Oral",540
2008,"Men","20-49","Oral",566
2009,"Men","20-49","Oral",562
2010,"Men","20-49","Oral",593
2011,"Men","20-49","Oral",621
2012,"Men","20-49","Oral",639
2013,"Men","20-49","Oral",656
2014,"Men","20-49","Oral",634
2015,"Men","20-49","Oral",613
2016,"Men","20-49","Oral",601
2017,"Men","20-49","Oral",627
2018,"Men","20-49","Oral",588
2019,"Men","20-49","Oral",575
2001,"Men","20-49","Pancreas",159
2002,"Men","20-49","Pancreas",129
