"age_group","sex","variable","year","Cancer_sites","PAF"
"20-49","Men","alcohol_amt",2011,"Colorectum",0.0861057512900529
"20-49","Men","alcohol_amt",2011,"Liver",0.201732493512467
"20-49","Men","alcohol_amt",2011,"Oral",0.451761188257562
"20-49","Men","bmi",2009,"Colorectum",0.1595932127013
"20-49","Men","bmi",2009,"Gallbladder",0.164973102679913
"20-49","Men","bmi",2009,"Kidney",0.18943549396352
"20-49","Men","bmi",2009,"Liver",0.185859434197322
"20-49","Men","bmi",2009,"Multiple Myeloma",0.0792422764501555
"20-49","Men","bmi",2009,"Pancreas",0.108160373777247
"20-49","Men","bmi",2009,"Thyroid",0.102215661801978
"20-49","Men","fibre_consumption",2009,"Colorectum",0.093588373346353
"20-49","Men","physical_activity_old",2008,"Breast",0.0321404976695514
"20-49","Men","physical_activity_old",2008,"Colorectum",0.0348357196538062
"20-49","Men","physical_activity_old",2008,"Endometrium",0.0394788867663851
"20-49","Men","processed_meat_consumption",2009,"Colorectum",0.18776339771891
"20-49","Men","redmeat_consumption",2009,"Colorectum",0.0270286512884426
"20-49","Men","smoking_status",2009,"Colorectum",0.085508943547218
"20-49","Men","smoking_status",2009,"Kidney",0.121880675216326
"20-49","Men","smoking_status",2009,"Liver",0.170496388036539
"20-49","Men","smoking_status",2009,"Oral",0.489968355208084
"20-49","Men","smoking_status",2009,"Pancreas",0.219220412370458
"20-49","Women","alcohol_amt",2011,"Breast",0.0827099495092109
"20-49","Women","alcohol_amt",2011,"Colorectum",0.0210643027600839
"20-49","Women","alcohol_amt",2011,"Liver",0.11634578086302
"20-49","Women","alcohol_amt",2011,"Oral",0.192432227048458
"20-49","Women","bmi",2009,"Colorectum",0.130165978065901
"20-49","Women","bmi",2009,"Endometrium",0.331436616938046
"20-49","Women","bmi",2009,"Gallbladder",0.201249133640603
"20-49","Women","bmi",2009,"Kidney",0.253616803343317
"20-49","Women","bmi",2009,"Liver",0.194417806753601
"20-49","Women","bmi",2009,"Multiple Myeloma",0.0772809480115657
"20-49","Women","bmi",2009,"Ovary",0.0468264176232644
"20-49","Women","bmi",2009,"Pancreas",0.112279528730908
"20-49","Women","bmi",2009,"Thyroid",0.0826001245629995
"20-49","Women","fibre_consumption",2009,"Colorectum",0.110840014707324
"20-49","Women","physical_activity_old",2008,"Breast",0.0365036187415138
"20-49","Women","physical_activity_old",2008,"Colorectum",0.0614337456269977
"20-49","Women","physical_activity_old",2008,"Endometrium",0.0604523748809968
"20-49","Women","processed_meat_consumption",2009,"Colorectum",0.077585563636229
"20-49","Women","redmeat_consumption",2009,"Colorectum",0.0510108258176741
"20-49","Women","smoking_status",2009,"Colorectum",0.0513588443544461
"20-49","Women","smoking_status",2009,"Kidney",0.0979445153387754
"20-49","Women","smoking_status",2009,"Liver",0.19070997340976
"20-49","Women","smoking_status",2009,"Oral",0.349593790435904
"20-49","Women","smoking_status",2009,"Ovary",0.0156222773470426
"20-49","Women","smoking_status",2009,"Pancreas",0.270158435303707
"50+","Men","alcohol_amt",2011,"Colorectum",0.100862018430748
"50+","Men","alcohol_amt",2011,"Liver",0.150532396506736
"50+","Men","alcohol_amt",2011,"Oral",0.47993226318397
"50+","Men","bmi",2009,"Colorectum",0.188286398483742
"50+","Men","bmi",2009,"Gallbladder",0.17133194227551
"50+","Men","bmi",2009,"Kidney",0.235900801952408
"50+","Men","bmi",2009,"Liver",0.263870885994308
"50+","Men","bmi",2009,"Multiple Myeloma",0.144667413254761
"50+","Men","bmi",2009,"Pancreas",0.155234818356289
"50+","Men","bmi",2009,"Thyroid",0.137273765523339
"50+","Men","fibre_consumption",2009,"Colorectum",0.0399631485341863
"50+","Men","physical_activity_old",2008,"Breast",0.0346151591207735
"50+","Men","physical_activity_old",2008,"Colorectum",0.0480687024913631
"50+","Men","physical_activity_old",2008,"Endometrium",0.0869128530444847
"50+","Men","processed_meat_consumption",2009,"Colorectum",0.0793206061911665
"50+","Men","redmeat_consumption",2009,"Colorectum",0.0466474262330265
"50+","Men","smoking_status",2009,"Colorectum",0.113694377718679
"50+","Men","smoking_status",2009,"Kidney",0.156376524286778
"50+","Men","smoking_status",2009,"Liver",0.170849913404004
"50+","Men","smoking_status",2009,"Oral",0.338233776406356
"50+","Men","smoking_status",2009,"Pancreas",0.277949934909196
"50+","Women","alcohol_amt",2011,"Breast",0.0764731516629559
"50+","Women","alcohol_amt",2011,"Colorectum",0.0197823282681357
"50+","Women","alcohol_amt",2011,"Liver",0.0853380657074127
"50+","Women","alcohol_amt",2011,"Oral",0.196008508537066
"50+","Women","bmi",2009,"Breast",0.0858735308868801
"50+","Women","bmi",2009,"Colorectum",0.174067988481539
"50+","Women","bmi",2009,"Endometrium",0.368306381332966
"50+","Women","bmi",2009,"Gallbladder",0.273580140820243
"50+","Women","bmi",2009,"Kidney",0.319030564758804
"50+","Women","bmi",2009,"Liver",0.228135344428884
"50+","Women","bmi",2009,"Multiple Myeloma",0.0523081225845773
"50+","Women","bmi",2009,"Ovary",0.0711456167481624
"50+","Women","bmi",2009,"Pancreas",0.0896200634095043
"50+","Women","bmi",2009,"Thyroid",0.0773270942976374
"50+","Women","fibre_consumption",2009,"Colorectum",0.0585444348788734
"50+","Women","physical_activity_old",2008,"Breast",0.0454568284372342
"50+","Women","physical_activity_old",2008,"Colorectum",0.0650676521409098
"50+","Women","physical_activity_old",2008,"Endometrium",0.0826891642057146
"50+","Women","processed_meat_consumption",2009,"Colorectum",0.0703115532011574
"50+","Women","redmeat_consumption",2009,"Colorectum",0.0492763343393432
"50+","Women","smoking_status",2009,"Colorectum",0.0765310977140218
"50+","Women","smoking_status",2009,"Kidney",0.0964023939060097
"50+","Women","smoking_status",2009,"Liver",0.217345740372576
"50+","Women","smoking_status",2009,"Oral",0.428331576349648
"50+","Women","smoking_status",2009,"Ovary",0.0214701991542385
"50+","Women","smoking_status",2009,"Pancreas",0.139562332055755
"20-49","Men","alcohol_amt",2011,"Colorectum",0.15968670517985
"20-49","Men","alcohol_amt",2011,"Liver",0.0786859066039859
"20-49","Men","alcohol_amt",2011,"Oral",0.422409070605558
"20-49","Men","bmi",2009,"Colorectum",0.162602628337269
"20-49","Men","bmi",2009,"Gallbladder",0.142451330603549
"20-49","Men","bmi",2009,"Kidney",0.161412801488863
"20-49","Men","bmi",2009,"Liver",0.194744410439587
"20-49","Men","bmi",2009,"Multiple Myeloma",0.0784187627626122
"20-49","Men","bmi",2009,"Pancreas",0.0787197108249855
"20-49","Men","bmi",2009,"Thyroid",0.0591112765671444
"20-49","Men","fibre_consumption",2009,"Colorectum",0.0114110451808252
"20-49","Men","physical_activity_old",2008,"Breast",0.0311035813296948
"20-49","Men","physical_activity_old",2008,"Colorectum",0.0499647019333185
"20-49","Men","physical_activity_old",2008,"Endometrium",0.068138629887973
"20-49","Men","processed_meat_consumption",2009,"Colorectum",0.172040707824971
"20-49","Men","redmeat_consumption",2009,"Colorectum",0.0607474032721685
"20-49","Men","smoking_status",2009,"Colorectum",0.0856366717560837
"20-49","Men","smoking_status",2009,"Kidney",0.118062007860003
"20-49","Men","smoking_status",2009,"Liver",0.21409735986271
"20-49","Men","smoking_status",2009,"Oral",0.357185590175329
"20-49","Men","smoking_status",2009,"Pancreas",0.350948476573452
"20-49","Women","alcohol_amt",2011,"Breast",0.0969586634780816
"20-49","Women","alcohol_amt",2011,"Colorectum",0.060325978102688
"20-49","Women","alcohol_amt",2011,"Liver",0.195255041800508
"20-49","Women","alcohol_amt",2011,"Oral",0.252939013430002
"20-49","Women","bmi",2009,"Colorectum",0.163592021148687
"20-49","Women","bmi",2009,"Endometrium",0.31534120481909
"20-49","Women","bmi",2009,"Gallbladder",0.17485924038976
"20-49","Women","bmi",2009,"Kidney",0.242267108409368
"20-49","Women","bmi",2009,"Liver",0.17143756060775
"20-49","Women","bmi",2009,"Multiple Myeloma",0.0523320042838048
"20-49","Women","bmi",2009,"Ovary",0.063303861209513
"20-49","Women","bmi",2009,"Pancreas",0.0623416473656449
"20-49","Women","bmi",2009,"Thyroid",0.0832441272336076
"20-49","Women","fibre_consumption",2009,"Colorectum",0.042824307904313
"20-49","Women","physical_activity_old",2008,"Breast",0.0362672807884184
"20-49","Women","physical_activity_old",2008,"Colorectum",0.0289920267226991
"20-49","Women","physical_activity_old",2008,"Endometrium",0.0424815876500328
"20-49","Women","processed_meat_consumption",2009,"Colorectum",0.134074975139962
"20-49","Women","redmeat_consumption",2009,"Colorectum",0.0225971275603066
"20-49","Women","smoking_status",2009,"Colorectum",0.0897736153877997
"20-49","Women","smoking_status",2009,"Kidney",0.111881943686508
"20-49","Women","smoking_status",2009,"Liver",0.130464172119156
"20-49","Women","smoking_status",2009,"Oral",0.4755073052375
"20-49","Women","smoking_status",2009,"Ovary",0.0159644215185821
"20-49","Women","smoking_status",2009,"Pancreas",0.214159353561454
"50+","Men","alcohol_amt",2011,"Colorectum",0.148379089983474
"50+","Men","alcohol_amt",2011,"Liver",0.120623432477597
"50+","Men","alcohol_amt",2011,"Oral",0.430686861631811
"50+","Men","bmi",2009,"Colorectum",0.18068171535006
"50+","Men","bmi",2009,"Gallbladder",0.158829847334341
"50+","Men","bmi",2009,"Kidney",0.225894548722831
"50+","Men","bmi",2009,"Liver",0.269271491330495
"50+","Men","bmi",2009,"Multiple Myeloma",0.13527782502004
"50+","Men","bmi",2009,"Pancreas",0.139515301899039
"50+","Men","bmi",2009,"Thyroid",0.144209661267911
"50+","Men","fibre_consumption",2009,"Colorectum",0.116907663673789
"50+","Men","physical_activity_old",2008,"Breast",0.0505147037712531
"50+","Men","physical_activity_old",2008,"Colorectum",0.0356414804660429
"50+","Men","physical_activity_old",2008,"Endometrium",0.136537554286107
"50+","Men","processed_meat_consumption",2009,"Colorectum",0.0970709357895038
"50+","Men","redmeat_consumption",2009,"Colorectum",0.0573612014952165
"50+","Men","smoking_status",2009,"Colorectum",0.100587803068501
"50+","Men","smoking_status",2009,"Kidney",0.122066584546823
"50+","Men","smoking_status",2009,"Liver",0.175245009597539
"50+","Men","smoking_status",2009,"Oral",0.32090366354985
"50+","Men","smoking_status",2009,"Pancreas",0.225119586044686
"50+","Women","alcohol_amt",2011,"Breast",0.0821987412121175
"50+","Women","alcohol_amt",2011,"Colorectum",0.0246490916485472
"50+","Women","alcohol_amt",2011,"Liver",0.17031676050917
"50+","Women","alcohol_amt",2011,"Oral",0.163001233157571
"50+","Women","bmi",2009,"Breast",0.0754314470032866
"50+","Women","bmi",2009,"Colorectum",0.197239150232587
"50+","Women","bmi",2009,"Endometrium",0.372977884084503
"50+","Women","bmi",2009,"Gallbladder",0.265823863569185
"50+","Women","bmi",2009,"Kidney",0.287805149301092
"50+","Women","bmi",2009,"Liver",0.22897863807614
"50+","Women","bmi",2009,"Multiple Myeloma",0.100855166602003
"50+","Women","bmi",2009,"Ovary",0.0670450588193794
"50+","Women","bmi",2009,"Pancreas",0.149818842888968
"50+","Women","bmi",2009,"Thyroid",0.0960895953275313
"50+","Women","fibre_consumption",2009,"Colorectum",0.025355848415503
"50+","Women","physical_activity_old",2008,"Breast",0.0356838481103451
"50+","Women","physical_activity_old",2008,"Colorectum",0.0412549237629197
"50+","Women","physical_activity_old",2008,"Endometrium",0.0318533958354403
"50+","Women","processed_meat_consumption",2009,"Colorectum",0.0970621210468339
"50+","Women","redmeat_consumption",2009,"Colorectum",0.0210324671273583
"50+","Women","smoking_status",2009,"Colorectum",0.0647831121662085
"50+","Women","smoking_status",2009,"Kidney",0.104212880526055
"50+","Women","smoking_status",2009,"Liver",0.200286238573239
"50+","Women","smoking_status",2009,"Oral",0.345246883530208
"50+","Women","smoking_status",2009,"Ovary",0.0323573236792085
"50+","Women","smoking_status",2009,"Pancreas",0.180797336317447
"20-49","Men","alcohol_amt",2011,"Colorectum",0.104984542174108
"20-49","Men","alcohol_amt",2011,"Liver",0.139521152880637
"20-49","Men","alcohol_amt",2011,"Oral",0.418915543961363
"20-49","Men","bmi",2009,"Colorectum",0.175017917406227
"20-49","Men","bmi",2009,"Gallbladder",0.0598793716084944
"20-49","Men","bmi",2009,"Kidney",0.20664834089465
"20-49","Men","bmi",2009,"Liver",0.206163674089371
"20-49","Men","bmi",2009,"Multiple Myeloma",0.127872462153464
"20-49","Men","bmi",2009,"Pancreas",0.128447423850271
"20-49","Men","bmi",2009,"Thyroid",0.0609885710835622
"20-49","Men","fibre_consumption",2009,"Colorectum",0.0352203440719862
"20-49","Men","physical_activity_old",2008,"Breast",0.0233474205670821
"20-49","Men","physical_activity_old",2008,"Colorectum",0.0283466725295176
"20-49","Men","physical_activity_old",2008,"Endometrium",0.052070664094238
"20-49","Men","processed_meat_consumption",2009,"Colorectum",0.0969118187467366
"20-49","Men","redmeat_consumption",2009,"Colorectum",0.0731089205069996
"20-49","Men","smoking_status",2009,"Colorectum",0.078229564999084
"20-49","Men","smoking_status",2009,"Kidney",0.116760221726044
"20-49","Men","smoking_status",2009,"Liver",0.206881708068098
"20-49","Men","smoking_status",2009,"Oral",0.361358925728425
"20-49","Men","smoking_status",2009,"Pancreas",0.196372539547737
"20-49","Women","alcohol_amt",2011,"Breast",0.0817774329912876
"20-49","Women","alcohol_amt",2011,"Colorectum",0.0245637932182919
"20-49","Women","alcohol_amt",2011,"Liver",0.0568460086284281
"20-49","Women","alcohol_amt",2011,"Oral",0.274950669025944
"20-49","Women","bmi",2009,"Colorectum",0.166361838148077
"20-49","Women","bmi",2009,"Endometrium",0.316015322207166
"20-49","Women","bmi",2009,"Gallbladder",0.218764994745453
"20-49","Women","bmi",2009,"Kidney",0.251286119399172
"20-49","Women","bmi",2009,"Liver",0.205379680339088
