variable	age_group	sex	exposure	year	value	SE
BMI	20-49	Men	BMI_obese_men	1997	0.151202749140893	0.00793754702785474
BMI	20-49	Men	BMI_obese_men	1998	0.160588068985016	0.00617343211589254
BMI	20-49	Men	BMI_obese_men	1999	0.184477611940299	0.00947725077060943
BMI	20-49	Men	BMI_obese_men	2000	0.199408284023669	0.00971927324231701
BMI	20-49	Men	BMI_obese_men	2001	0.195577701650576	0.00699973448505772
BMI	20-49	Men	BMI_obese_men	2002	0.204896907216495	0.0102455095969172
BMI	20-49	Men	BMI_obese_men	2003	0.203948711158303	0.0067675042684399
BMI	20-49	Men	BMI_obese_men	2004	0.212467741817034	0.00281339781985191
BMI	20-49	Men	BMI_obese_men	2005	0.213027788738771	0.0099651271770284
BMI	20-49	Men	BMI_obese_men	2006	0.218771993666806	0.00729582518372259
BMI	20-49	Men	BMI_obese_men	2007	0.212680676219633	0.0101700131858614
BMI	20-49	Men	BMI_obese_men	2008	0.212519472574329	0.00707416385280779
BMI	20-49	Men	BMI_obese_men	2009	0.18363654023591	0.0117251046524315
BMI	20-49	Men	BMI_obese_men	2010	0.244486435473842	0.00997068038274832
BMI	20-49	Men	BMI_obese_men	2011	0.204832120653873	0.00940478983362803
BMI	20-49	Men	BMI_obese_men	2012	0.212710487580948	0.00971234829811367
BMI	20-49	Men	BMI_obese_men	2013	0.23346929230295	0.00976401843010388
BMI	20-49	Men	BMI_obese_men	2014	0.213596242032307	0.00972073665004999
BMI	20-49	Men	BMI_obese_men	2015	0.228085888886353	0.0101597559670364
BMI	20-49	Men	BMI_obese_men	2016	0.229417894023774	0.0104121783909397
BMI	20-49	Men	BMI_obese_men	2017	0.246326058177827	0.0107488116927799
BMI	50+	Men	BMI_obese_men	1997	0.212840195394278	0.0108127256518186
BMI	50+	Men	BMI_obese_men	1998	0.20936329588015	0.00787377732541179
BMI	50+	Men	BMI_obese_men	1999	0.212143928035982	0.0111933692701204
BMI	50+	Men	BMI_obese_men	2000	0.246165084002922	0.0116425906182612
BMI	50+	Men	BMI_obese_men	2001	0.245762711864407	0.00826431901606894
BMI	50+	Men	BMI_obese_men	2002	0.266122448979592	0.0126265444762683
BMI	50+	Men	BMI_obese_men	2003	0.274618474879196	0.00887188584071765
BMI	50+	Men	BMI_obese_men	2004	0.281398691548119	0.00363549317293812
BMI	50+	Men	BMI_obese_men	2005	0.263057038144007	0.0126373018472614
BMI	50+	Men	BMI_obese_men	2006	0.292598360942507	0.00941103222156064
BMI	50+	Men	BMI_obese_men	2007	0.300454323311662	0.0133024761214764
BMI	50+	Men	BMI_obese_men	2008	0.314915675244618	0.00921766637784964
BMI	50+	Men	BMI_obese_men	2009	0.304794035100261	0.0162391535930339
BMI	50+	Men	BMI_obese_men	2010	0.325260761504357	0.012414048380407
BMI	50+	Men	BMI_obese_men	2011	0.305022862637715	0.0122193128012595
BMI	50+	Men	BMI_obese_men	2012	0.308623051947755	0.0122288573448668
BMI	50+	Men	BMI_obese_men	2013	0.320720146986215	0.0118656668953691
BMI	50+	Men	BMI_obese_men	2014	0.304890061391096	0.0119269079474851
BMI	50+	Men	BMI_obese_men	2015	0.333190596197584	0.0123590111214527
BMI	50+	Men	BMI_obese_men	2016	0.315906084285447	0.0123425199185841
BMI	50+	Men	BMI_obese_men	2017	0.334021287806957	0.0125388569418237
BMI	20-49	Women	BMI_obese_women	1997	0.165426695842451	0.00777305856473562
BMI	20-49	Women	BMI_obese_women	1998	0.181344579508807	0.00606871106818978
BMI	20-49	Women	BMI_obese_women	1999	0.177731312075274	0.00874040113577506
BMI	20-49	Women	BMI_obese_women	2000	0.176200204290092	0.00861009017717893
BMI	20-49	Women	BMI_obese_women	2001	0.209496477954605	0.00657310936153038
BMI	20-49	Women	BMI_obese_women	2002	0.21079258010118	0.00967019575465623
BMI	20-49	Women	BMI_obese_women	2003	0.206210123379267	0.0069456859309702
BMI	20-49	Women	BMI_obese_women	2004	0.21243317108727	0.00282957691367591
BMI	20-49	Women	BMI_obese_women	2005	0.221959993900289	0.010152052346453
BMI	20-49	Women	BMI_obese_women	2006	0.211357096106607	0.00730773454140024
BMI	20-49	Women	BMI_obese_women	2007	0.216923437941759	0.0104592065612716
BMI	20-49	Women	BMI_obese_women	2008	0.222876389660434	0.00721892606054261
BMI	20-49	Women	BMI_obese_women	2009	0.217218159549451	0.0126866562218515
BMI	20-49	Women	BMI_obese_women	2010	0.236868243747771	0.0100109310631508
BMI	20-49	Women	BMI_obese_women	2011	0.227712749776395	0.00989647845361753
BMI	20-49	Women	BMI_obese_women	2012	0.231803121459789	0.00997706834827625
BMI	20-49	Women	BMI_obese_women	2013	0.221682655170299	0.00951331135743459
BMI	20-49	Women	BMI_obese_women	2014	0.244354902619575	0.0103030188359511
BMI	20-49	Women	BMI_obese_women	2015	0.25251670275447	0.0105633807966627
BMI	20-49	Women	BMI_obese_women	2016	0.230344462017903	0.0104724531311586
BMI	20-49	Women	BMI_obese_women	2017	0.293489596775267	0.0112143415561093
BMI	50+	Women	BMI_obese_women	1997	0.257879656160458	0.0104724427327281
BMI	50+	Women	BMI_obese_women	1998	0.265934736200061	0.00771585686580624
BMI	50+	Women	BMI_obese_women	1999	0.27367055771725	0.0113537329821666
BMI	50+	Women	BMI_obese_women	2000	0.276299112801014	0.0112568219863979
BMI	50+	Women	BMI_obese_women	2001	0.281738586616635	0.00795472561490796
BMI	50+	Women	BMI_obese_women	2002	0.271653543307087	0.0113942097383515
BMI	50+	Women	BMI_obese_women	2003	0.281625331064798	0.0085908094597043
BMI	50+	Women	BMI_obese_women	2004	0.278464463849555	0.00349998940878325
BMI	50+	Women	BMI_obese_women	2005	0.294075976928636	0.0125598226081969
BMI	50+	Women	BMI_obese_women	2006	0.303731538442627	0.00914140532827445
BMI	50+	Women	BMI_obese_women	2007	0.303706318465899	0.0129990814271382
BMI	50+	Women	BMI_obese_women	2008	0.305901549018808	0.00887890886994668
BMI	50+	Women	BMI_obese_women	2009	0.285980250883994	0.015554096856583
BMI	50+	Women	BMI_obese_women	2010	0.319457730068895	0.0120574665588852
BMI	50+	Women	BMI_obese_women	2011	0.325084488617194	0.0120686416249822
BMI	50+	Women	BMI_obese_women	2012	0.295225158683285	0.0118004881493055
BMI	50+	Women	BMI_obese_women	2013	0.279779659211044	0.0112025631567456
BMI	50+	Women	BMI_obese_women	2014	0.318246676414989	0.0117988878219388
BMI	50+	Women	BMI_obese_women	2015	0.309025330423386	0.0117748787256291
BMI	50+	Women	BMI_obese_women	2016	0.321999164973589	0.0121396521931172
BMI	50+	Women	BMI_obese_women	2017	0.329084036937735	0.0121013021977003
BMI	20-49	Men	BMI_overweight_men	1997	0.44526264113893	0.011011749460825
BMI	20-49	Men	BMI_overweight_men	1998	0.430025445292621	0.00832448320031372
BMI	20-49	Men	BMI_overweight_men	1999	0.419701492537313	0.0120583692295921
BMI	20-49	Men	BMI_overweight_men	2000	0.427810650887574	0.0120351727597831
BMI	20-49	Men	BMI_overweight_men	2001	0.452507007162878	0.00878378676210235
