"","sex","cancer_site","PAF_relative_change"
"1","Men","Colorectum",2.22838580210361
"2","Men","Gallbladder",12.170957022953
"3","Men","Kidney",3.6492244154313
"4","Men","Liver",5.6322364107223
"5","Men","MultipleMyeloma",1.4761795364393
"6","Men","Pancreas",6.5978390945884
"7","Men","Thyroid",3.77121681990225
"8","Women","Colorectum",18.2257300056098
"9","Women","Endometrium",18.690796658496
"10","Women","Gallbladder",20.6148865819694
"11","Women","Kidney",17.0665980447429
"12","Women","Liver",22.3211746267906
"13","Women","MultipleMyeloma",18.2478465519335
"14","Women","Ovary",24.6481930681744
"15","Women","Pancreas",18.3653194153497
"16","Women","Thyroid",21.861273820694
