"","year","age_group","variable","sex","cancer_site","PAF"
"1",2001,"20-49","BMI","Men","Oral",0
"2",2001,"20-49","BMI","Men","Endometrium",0
"3",2001,"20-49","BMI","Men","Pancreas",11.4052925060079
"4",2001,"20-49","BMI","Men","Gallbladder",9.92103011515857
"5",2001,"20-49","BMI","Men","Colorectum",15.9322850395597
"6",2001,"20-49","BMI","Men","Liver",19.5999779657367
"7",2001,"20-49","BMI","Men","Kidney",18.2181697781626
"8",2001,"20-49","BMI","Men","Thyroid",8.93001991003613
"9",2001,"20-49","BMI","Men","MultipleMyeloma",8.7068269438537
"10",2001,"20-49","BMI","Men","Breast",0
"11",2001,"20-49","BMI","Men","Ovary",0
"12",2001,"20-49","BMI","Women","Oral",0
"13",2001,"20-49","BMI","Women","Endometrium",29.6092791608207
"14",2001,"20-49","BMI","Women","Pancreas",9.24781998252672
"15",2001,"20-49","BMI","Women","Gallbladder",18.0694048115254
"16",2001,"20-49","BMI","Women","Colorectum",13.7775898215716
"17",2001,"20-49","BMI","Women","Liver",18.4188626316675
"18",2001,"20-49","BMI","Women","Kidney",23.5807207297015
"19",2001,"20-49","BMI","Women","Thyroid",7.86744257038539
"20",2001,"20-49","BMI","Women","MultipleMyeloma",7.28624193622513
"21",2001,"20-49","BMI","Women","Breast",0
"22",2001,"20-49","BMI","Women","Ovary",4.76450769735339
"23",2019,"20-49","BMI","Men","Oral",0
"24",2019,"20-49","BMI","Men","Endometrium",0
"25",2019,"20-49","BMI","Men","Pancreas",12.4772715505241
"26",2019,"20-49","BMI","Men","Gallbladder",11.5758111140895
"27",2019,"20-49","BMI","Men","Colorectum",16.5402568726169
"28",2019,"20-49","BMI","Men","Liver",21.1780307397547
"29",2019,"20-49","BMI","Men","Kidney",19.2314369795789
"30",2019,"20-49","BMI","Men","Thyroid",9.45202294745105
"31",2019,"20-49","BMI","Men","MultipleMyeloma",8.9661412385938
"32",2019,"20-49","BMI","Men","Breast",0
"33",2019,"20-49","BMI","Men","Ovary",0
"34",2019,"20-49","BMI","Women","Oral",0
"35",2019,"20-49","BMI","Women","Endometrium",34.5713660718126
"36",2019,"20-49","BMI","Women","Pancreas",10.8536162566024
"37",2019,"20-49","BMI","Women","Gallbladder",21.4562982802114
"38",2019,"20-49","BMI","Women","Colorectum",16.1300362967296
"39",2019,"20-49","BMI","Women","Liver",22.1082015023352
"40",2019,"20-49","BMI","Women","Kidney",27.3009928896106
"41",2019,"20-49","BMI","Women","Thyroid",9.45318483080845
"42",2019,"20-49","BMI","Women","MultipleMyeloma",8.55028079125741
"43",2019,"20-49","BMI","Women","Breast",0
"44",2019,"20-49","BMI","Women","Ovary",5.83439278701188
